GMP-Cor per sample x leiden cluster (SHX), counts from scanpy_shx.h5ad
generated 20260719_145720
4995 cells x 4042 genes; min group size 100

batch leiden  n_cells  mean_total_expression  tmrna_pct_of_counts    gmp_cor
  exp      0      538             297.384758            17.218878  35.596158
  exp      2      275              55.567273            38.079969  18.710204
  exp      4      164             128.451220            29.863287  25.291587
 dis1      1      458             245.314410             6.707371 100.374618
 dis1      2      142              28.330986            17.996520  60.425784
 dis1      3      358              49.907821            11.277775  92.084563
 dis2      1      757             403.301189            10.009532  36.199329
 dis2      3      213              67.680751            15.468923   4.377315
 reg1      0      479             253.659708            35.562908 254.870312
 reg1      2      416              48.786058            50.554324  46.790199
 reg2      0      465             365.924731            31.617643 168.724300
 reg2      2      389              62.002571            45.536714  93.924373
