Depth / cell-count tradeoff, mRNA counts (rRNA+tRNA removed)
generated 20260719_155217
detection floor: 0.05

   T  exp  dis1  dis2  reg1  reg2  min_across_samples  genes_usable  n_x_T
  25 2887  1641  9236  1879  2055                1641            48  41025
  50 1241   743  2723   769   957                 743           148  37150
  75  759   453  1449   386   567                 386           279  28950
 100  532   310   960   229   383                 229           392  22900
 125  401   250   696   158   278                 158           496  19750
 150  321   193   536   115   207                 115           630  17250
 200  204   116   357    65   134                  65           864  13000
 250  138    81   267    49   102                  49          1019  12250
 300   98    61   214    36    80                  36          1249  10800
 400   56    42   152    17    50                  17          1536   6800
 500   35    31   114    16    35                  16          1736   8000
 750   19    17    60     8    19                   8          1847   6000
1000   15     8    38     4    15                   4          1604   4000
