sample,rep,n_cells,n_genes,mean_total_expression,median_total_expression,mean_genes_detected,lambda_max,lambda_max_scrambled,gmp_cor
dis1,0,287,2046,1042.2473867595818,637.0,63.5609756097561,97.62150118613587,14.165032439088344,294.7601616182567
dis2,0,287,2046,1186.7282229965156,637.0,65.86759581881533,53.834900723901626,14.034920718842017,103.8840098779034
reg1,0,287,1800,1111.3658536585365,636.0,114.34146341463415,65.08436989616558,12.712217287999817,234.35717360221437
reg2,0,287,1800,1194.5087108013938,632.0,146.7595818815331,88.04833845181817,12.56257363395818,452.07974652218627
dis1,1,287,2046,1121.1637630662021,634.0,60.149825783972126,87.71508466117122,13.615817698261921,251.61719095945443
dis2,1,287,2046,1112.3031358885016,635.0,58.2404181184669,164.35226208801518,13.665574167025738,187.47987447407075
reg1,1,287,1800,1111.4703832752614,636.0,115.03484320557492,62.777925047394625,12.479487837896507,257.23494311590184
reg2,1,287,1800,1070.2508710801394,632.0,135.61324041811847,95.03732096653647,12.552241532335062,463.9619212567215
dis1,2,287,2046,1184.0975609756097,629.0,64.26132404181185,170.97148849338723,13.756503713828874,402.038302333356
dis2,2,287,2046,1080.6411149825783,637.0,57.00696864111498,26.962907813316324,13.15508746070073,78.6259864233399
reg1,2,287,1800,1111.5296167247386,636.0,114.1637630662021,64.97062867938163,12.68152942865962,254.99272678523977
reg2,2,287,1800,1166.5400696864112,632.0,144.06620209059233,93.56295714570467,12.593663321208242,447.9054379138699
dis1,3,287,2046,1062.4843205574914,630.0,61.26829268292683,29.867470082807042,13.72742983678556,116.96123306395191
dis2,3,287,2046,1104.5226480836236,632.0,61.41463414634146,55.63724866603008,13.608042601776319,93.17788184584464
reg1,3,287,1800,1111.554006968641,636.0,114.36933797909407,63.84083999558415,12.597950369060735,261.57920524479766
reg2,3,287,1800,1154.2543554006968,632.0,142.86759581881532,90.571802452488,12.481525650528848,459.4564747359419
dis1,4,287,2046,1112.8989547038327,637.0,57.73170731707317,89.35968263426294,13.943823827150439,267.9280863549982
dis2,4,287,2046,1108.5574912891987,636.0,60.91289198606272,77.47651413716808,13.606977903556597,104.6085187227851
reg1,4,287,1800,1111.362369337979,636.0,114.13937282229965,64.00260945521259,12.773060823305508,257.4827310222455
reg2,4,287,1800,1081.7770034843206,636.0,133.49477351916377,80.24600811258361,12.643910769321776,379.9239794953917
