sample,rep,n_new,n_published,shared_with_published,pct_of_published_retained
dis1,0,287,1000,175,17.5
dis2,0,287,1000,19,1.9
reg1,0,287,1000,284,28.4
reg2,0,287,1000,248,24.8
dis1,1,287,1000,189,18.9
dis2,1,287,1000,10,1.0
reg1,1,287,1000,284,28.4
reg2,1,287,1000,250,25.0
dis1,2,287,1000,183,18.3
dis2,2,287,1000,15,1.5
reg1,2,287,1000,284,28.4
reg2,2,287,1000,246,24.6
dis1,3,287,1000,184,18.4
dis2,3,287,1000,13,1.3
reg1,3,287,1000,284,28.4
reg2,3,287,1000,246,24.6
dis1,4,287,1000,177,17.7
dis2,4,287,1000,16,1.6
reg1,4,287,1000,284,28.4
reg2,4,287,1000,247,24.7
