sample,pair,rep,n_cells,n_genes,mean_genes_detected,median_genes_detected,mean_depth,median_depth,lambda_max,lambda_max_scrambled,gmp_cor
dis1,dis1+dis2,0,1000,2046,65.35,39.0,1153.182,672.5,59.395356102602236,6.224019857134804,260.8857249774041
dis2,dis1+dis2,0,1000,2046,64.205,39.0,1077.536,565.0,27.29533878385882,6.227626922076523,128.3509490719595
reg1,reg1+reg2,0,283,1800,116.75618374558304,79.0,1109.7491166077739,619.0,61.774715438289014,12.731732712892358,256.2473511715486
reg2,reg1+reg2,0,283,1800,118.06713780918727,80.0,1013.2367491166078,643.0,90.31775414018178,12.763654211371382,396.2202440611027
dis1,dis1+dis2,1,1000,2046,64.26,39.0,1174.987,680.5,73.57207418589088,6.479679904853427,273.14662462244183
dis2,dis1+dis2,1,1000,2046,64.613,39.0,1073.254,547.5,33.75399149219192,6.271464378766062,118.05967640226527
reg1,reg1+reg2,1,283,1800,116.773851590106,79.0,1107.8409893992932,624.0,60.473432434841186,12.716163731231083,251.7515346605196
reg2,reg1+reg2,1,283,1800,119.91872791519435,80.0,952.5053003533569,610.0,88.05465817006349,12.633120399890492,431.1398589343631
dis1,dis1+dis2,2,1000,2046,65.148,39.0,1214.614,676.0,74.95545632665618,6.456790331993249,285.94494829681844
dis2,dis1+dis2,2,1000,2046,62.775,39.0,1062.513,575.0,39.638347310802914,6.3190363722895775,177.18086290617555
reg1,reg1+reg2,2,283,1800,116.75265017667844,79.0,1108.1378091872791,624.0,61.19337564711465,12.848137720479954,246.12850693750102
reg2,reg1+reg2,2,283,1800,120.12367491166077,80.0,916.7102473498234,621.0,89.38301871362243,12.48523661905849,416.9289726303921
dis1,dis1+dis2,3,1000,2046,65.519,39.0,1207.029,688.0,77.79150933702775,6.399302353853981,288.068460402219
dis2,dis1+dis2,3,1000,2046,62.528,39.0,1102.834,573.5,41.153084449491146,6.187614734244993,194.88853748397926
reg1,reg1+reg2,3,283,1800,116.76678445229682,79.0,1105.0565371024734,632.0,60.9702329205509,12.63120517053654,255.1705465857073
reg2,reg1+reg2,3,283,1800,115.70671378091873,80.0,1010.773851590106,639.0,79.86507693275018,12.576227299657479,381.8926442108045
dis1,dis1+dis2,4,1000,2046,64.896,39.0,1187.522,668.0,65.2992099114772,6.267070695854444,244.8274095848838
dis2,dis1+dis2,4,1000,2046,64.437,39.0,1138.255,565.0,43.156084019714996,6.4156997048233295,208.76315765714946
reg1,reg1+reg2,4,283,1800,116.74911660777386,79.0,1106.2579505300353,604.0,61.72764816860424,12.965196148532522,239.4985548237332
reg2,reg1+reg2,4,283,1800,117.7844522968198,80.0,954.095406360424,628.0,88.22696060563058,12.725563265492559,401.34439409873863
