sample,scheme,n_a,n_b,overlap,overlap_frac,jaccard,tot_mean_total,tot_mean_mrna,tot_median_mrna,tot_mean_detected,tot_rrna_frac,mrna_mean_total,mrna_mean_mrna,mrna_median_mrna,mrna_mean_detected,mrna_rrna_frac
exp,top1000,1000,1000,595,0.595,0.4234875444839858,2712.943,138.387,74.0,119.651,0.9221284781877098,2408.725,166.728,104.0,145.657,0.9000687085491287
exp,top2000,2000,2000,1161,0.5805,0.40894681225783724,1678.8455,88.4235,42.0,77.701,0.9187924082353022,1474.7855,105.339,60.0,93.418,0.8961137060270798
exp,pool_umi>400 (n=2862),2862,2862,1669,0.5831586303284416,0.4115906288532676,1082.220824598183,61.144304682040534,31.0,55.820754716981135,0.9122017256230879,1163.2138364779873,82.29524807826695,44.0,73.37421383647799,0.896057454256653
dis1,top1000,1000,1000,638,0.638,0.4684287812041116,1847.373,111.669,58.5,83.996,0.9180046476807878,1658.598,124.058,68.0,94.59,0.8997171104752327
dis1,top2000,2000,2000,1341,0.6705,0.5043249341857842,1140.064,69.878,33.0,54.1885,0.9158038496084431,1046.3415,75.8035,38.0,59.278,0.9014423111383807
dis1,pool_umi>400 (n=1600),1600,1600,1054,0.65875,0.4911463187325256,1218.271875,75.03875,39.0,59.683125,0.9155612329965346,1212.556875,89.073125,47.0,69.1125,0.9005294081566277
dis2,top1000,1000,1000,665,0.665,0.49812734082397003,5072.285,250.857,147.0,185.26,0.9283240196479496,4705.767,275.314,159.0,207.237,0.9171573943206283
dis2,top2000,2000,2000,1289,0.6445,0.4754703061600885,3102.614,160.018,87.0,124.1965,0.9255406892381715,2871.9665,175.0185,97.0,138.009,0.9140287673968341
dis2,pool_umi>400 (n=15645),15645,15645,10073,0.643847874720358,0.4747608050148466,760.3041866410994,40.683413231064236,24.0,36.513390859699584,0.9196869026618755,804.9761585170982,47.43930968360498,27.0,41.378843080856505,0.91402368393721
reg1,top1000,1000,1000,487,0.487,0.3218770654329147,564.773,78.5,39.0,60.926,0.7325066885279572,464.765,99.808,65.0,76.764,0.6364506793755984
reg1,top2000,2000,2000,1040,0.52,0.35135135135135137,362.1135,52.1355,25.0,40.8985,0.724740999714178,302.4825,65.168,41.0,50.7035,0.6363062325919682
reg1,pool_umi>200 (n=1004),1004,1004,490,0.48804780876494025,0.3227931488801054,525.3266932270916,74.5378486055777,39.0,59.13446215139442,0.7311121138809468,463.72709163346616,99.5707171314741,65.0,76.59163346613546,0.6365173052222809
reg2,top1000,1000,1000,544,0.544,0.37362637362637363,749.733,120.384,56.0,99.695,0.7053604416505609,648.184,142.639,82.0,118.724,0.6302284536489638
reg2,top2000,2000,2000,1107,0.5535,0.3826477704804701,460.655,75.6935,30.5,63.5625,0.7010767277029447,405.468,88.307,48.0,74.2565,0.6344323103179536
reg2,pool_umi>200 (n=1142),1142,1142,635,0.5560420315236427,0.3850818677986659,664.1199649737302,110.30560420315237,50.0,91.5954465849387,0.6964802056894221,593.176007005254,130.54553415061295,74.0,108.89929947460595,0.6303684491007622
