sample,scope,total,n_pool,protein_coding,pseudogene,ncRNA,tRNA,rRNA,UNMAPPED,panel_share,panel_nonPC_share
exp,sum_all,11641876.0,9418,0.04166467672392319,0.0010799805804494053,9.44864899780757e-07,8.589680907097791e-08,2.5769042721293375e-07,0.9572540542434913,0.0780003154130829,0.46583963791337674
exp,sum_pool,5512014.0,9418,0.05051529259541068,0.001391505899658455,3.62843780875738e-07,0.0,3.62843780875738e-07,0.9480924758173691,0.08144409647725859,0.37975501257459554
dis1,sum_all,5929274.0,4136,0.062751527421401,0.0010922079161799572,7.083497912223318e-06,1.855201834153726e-06,1.5178924097621395e-06,0.9361458080702629,0.09999959522869073,0.37248218577391745
dis1,sum_pool,2817515.0,4136,0.06054626151058646,0.0007705371577436145,2.1295361337916567e-06,1.4196907558611045e-06,0.0,0.9386796521047803,0.08038040613803299,0.24675347613181262
dis2,sum_all,32143387.0,73642,0.04872905895075712,0.0007819648875210319,1.4933087169687501e-06,4.355483757825521e-07,1.8666358962109377e-07,0.9504868606410395,0.07186028653420998,0.32189166922457163
dis2,sum_pool,30535021.0,73642,0.04846585826811778,0.0007650887156750277,1.5392162330590832e-06,3.9299137865338295e-07,1.9649568932669147e-07,0.9507669243129061,0.07074411378331785,0.31491320371099907
reg1,sum_all,2816797.0,1005,0.10268897616690163,0.002916788110751325,3.443627638058405e-05,1.2425460549695274e-05,4.97018421987811e-06,0.8943424038011969,0.2547755482556961,0.5969433610487549
reg1,sum_pool,565778.0,1005,0.1354011644143109,0.0038389615714997756,0.0,1.7674777032687732e-06,0.0,0.860758106536486,0.26302896188964575,0.4852233630792388
reg2,sum_all,4494289.0,1143,0.10632894324330278,0.0032091839220842275,2.825808487171163e-05,1.1792744080320602e-05,6.4526335533829715e-06,0.8904153693721076,0.2433219136553079,0.5630112321328798
reg2,sum_pool,779640.0,1143,0.1569108819455133,0.004824021343184034,1.282643271253399e-06,0.0,0.0,0.8382638140680314,0.2897965727771792,0.458548179359733
