sample,gene,biotype,share_of_pool
exp,tmRNA,UNMAPPED,0.23886830867791883
exp,tetR,UNMAPPED,0.009244388210843333
exp,ygjG,UNMAPPED,0.0027376754484642065
exp,vapC,UNMAPPED,0.002318893524695882
exp,traY,UNMAPPED,0.0020270827161126344
exp,ynhG,UNMAPPED,0.001935752615716351
exp,YFP,UNMAPPED,0.001563749523858318
exp,camR,UNMAPPED,0.0015191982553723262
dis1,tmRNA,UNMAPPED,0.10914766881703337
dis1,tetR,UNMAPPED,0.012557788345630604
dis1,vapC,UNMAPPED,0.006746941136471014
dis1,traY,UNMAPPED,0.004517094753016916
dis1,YFP,UNMAPPED,0.003792946620568456
dis1,camR,UNMAPPED,0.003435288091737205
dis1,ynhG,UNMAPPED,0.0032807442829829603
dis1,LELOBEKK_gap,UNMAPPED,0.002508025239211738
dis2,tmRNA,UNMAPPED,0.14987734778649672
dis2,tetR,UNMAPPED,0.01976230607455977
dis2,vapC,UNMAPPED,0.013384113216858094
dis2,traY,UNMAPPED,0.008856235125612625
dis2,YFP,UNMAPPED,0.007279509557799306
dis2,camR,UNMAPPED,0.006914261033722762
dis2,yfp_AR,UNMAPPED,0.004185312935584326
dis2,LELOBEKK_gap,UNMAPPED,0.00359045317203761
reg1,tmRNA,UNMAPPED,0.36837436834748954
reg1,tetR,UNMAPPED,0.007788141060101064
reg1,vapC,UNMAPPED,0.001747123965165036
reg1,traY,UNMAPPED,0.0014648962477152995
reg1,yddV,UNMAPPED,0.0011289108697989463
reg1,ynhG,UNMAPPED,0.0011221911622406192
reg1,camR,UNMAPPED,0.0010751532093323298
reg1,yedV,UNMAPPED,0.0010213955488657133
reg2,tmRNA,UNMAPPED,0.3247763757153543
reg2,tetR,UNMAPPED,0.008621872468874067
reg2,vapC,UNMAPPED,0.004009967380287425
reg2,traY,UNMAPPED,0.003607200237234273
reg2,YFP,UNMAPPED,0.002704293674785449
reg2,camR,UNMAPPED,0.002403324820635841
reg2,yfp_AR,UNMAPPED,0.0015623824340413477
reg2,LELOBEKK_flmC,UNMAPPED,0.0010489649769626047
