source,batch,rep,n_cells,n_genes,target_umi,mean_total_expression,mean_genes_detected,lambda_max,lambda_max_scrambled,n_modes_above_threshold,gmp_cor
h5ad,exp,0,500,4041,73,73.0,46.762,14.861921261727947,13.317757503719784,1,1.5441637580081622
h5ad,dis1,0,500,4041,73,73.0,49.722,20.287527482713674,13.728526897889964,9,25.704637647881448
h5ad,dis2,0,500,4041,73,73.0,53.554,17.15675727686145,13.13161831357229,7,10.798993285284107
h5ad,reg1,0,500,4041,73,73.0,35.508,21.18528802398538,13.150871406659025,17,46.38231716773221
h5ad,reg2,0,500,4041,73,73.0,39.016,16.985643011332773,13.928773706630299,16,25.634260288001773
h5ad,exp,1,500,4041,73,73.0,47.004,14.949063740073813,13.489943454547353,1,1.4591202855264598
h5ad,dis1,1,500,4041,73,73.0,49.764,22.51753252012851,13.474584689085214,10,38.8933303072509
h5ad,dis2,1,500,4041,73,73.0,53.61,18.586868270261586,13.05084627338437,6,10.887092246461904
h5ad,reg1,1,500,4041,73,73.0,35.76,20.800570564362587,12.754762395715577,19,57.00411785270093
h5ad,reg2,1,500,4041,73,73.0,38.728,21.789300256968005,14.418451234779283,16,32.41377047605046
h5ad,exp,2,500,4041,73,73.0,46.634,14.464813753844444,13.242671530757582,2,1.3274794697059047
h5ad,dis1,2,500,4041,73,73.0,49.664,23.907306978769423,13.09350953101629,13,47.93831272026627
h5ad,dis2,2,500,4041,73,73.0,53.468,16.22975078081814,12.989381157507292,9,11.033252777636815
h5ad,reg1,2,500,4041,73,73.0,35.606,24.230301616135023,12.735212457390128,16,59.747473685701095
h5ad,reg2,2,500,4041,73,73.0,38.932,18.873548396158785,13.416215562011022,20,46.754820615054584
paper,exp,0,509,1096,25,25.0,14.80746561886051,6.687341429270003,6.463113936917779,1,0.22422749235222383
paper,dis1,0,509,1096,25,25.0,16.895874263261298,9.725387563517293,6.2358826383419945,4,5.097447346602374
paper,dis2,0,509,1096,25,25.0,16.333988212180746,7.348637367649636,6.075307842061947,3,1.7490297766177854
paper,reg1,0,509,1096,25,25.0,11.495088408644401,9.063831710393009,6.3762064483814935,4,3.697189322711539
paper,reg2,0,509,1096,25,25.0,12.2573673870334,6.941496408951236,6.541570100936572,3,0.599525100640812
paper,exp,1,509,1096,25,25.0,14.799607072691552,6.468045722509911,6.379355297786999,1,0.08869042472291166
paper,dis1,1,509,1096,25,25.0,17.11984282907662,7.897234958455971,6.344927248650652,4,3.397775132468965
paper,dis2,1,509,1096,25,25.0,16.30451866404715,8.709161215261018,6.294832290224312,2,2.726403399648305
paper,reg1,1,509,1096,25,25.0,11.37328094302554,7.592307387312395,6.580451753549771,3,1.9968525332280675
paper,reg2,1,509,1096,25,25.0,12.31434184675835,7.0002371310802305,6.21536561298124,7,3.0542371066297767
paper,exp,2,509,1096,25,25.0,14.801571709233793,6.769744253488253,6.306655424147218,2,0.586411459685519
paper,dis1,2,509,1096,25,25.0,17.086444007858546,7.436836294477691,5.9777734701989464,4,2.8126319326892286
paper,dis2,2,509,1096,25,25.0,16.345776031434184,6.348984210579453,6.206277405193968,2,0.20741987962901565
paper,reg1,2,509,1096,25,25.0,11.31630648330059,7.5834152243827555,6.294753044211465,4,3.0375324878467893
paper,reg2,2,509,1096,25,25.0,12.245579567779961,7.334200409000327,6.36258657863322,6,3.1054980381148223
