sample,cond,n,mean_total,panel_depth,pc_depth,tmrna,tmrna_share_of_panel,rrna_frac,det_panel,det_pc
exp,exp,500,4387.638,325.214,217.718,64.698,0.19893977504043492,0.9249208799814388,220.272,184.686
exp,exp,1000,2712.943,208.377,138.387,42.6,0.2044371499733656,0.9221284781877098,143.377,119.651
exp,exp,2000,1678.8455,134.339,88.4235,28.1195,0.2093174729601977,0.9187924082353022,93.804,77.701
dis1,dis,500,2952.03,218.736,173.05,18.174,0.08308646039060785,0.9214838602588727,146.25,125.14
dis1,dis,1000,1847.373,142.955,111.669,13.094,0.09159525724878458,0.9180046476807878,98.847,83.996
dis1,dis,2000,1140.064,90.48,69.878,8.7235,0.09641357206012378,0.9158038496084431,64.4825,54.1885
dis2,dis,500,8340.752,521.538,396.182,55.84,0.10706794135806019,0.9308712212040353,323.882,276.986
dis2,dis,1000,5072.285,329.775,250.857,34.919,0.10588734743385642,0.9283240196479496,217.204,185.26
dis2,dis,2000,3102.614,210.273,160.018,21.8775,0.10404331511891683,0.9255406892381715,146.3615,124.1965
reg1,reg,500,886.01,227.49,117.44,86.91,0.38203877093498617,0.7398878116499814,107.032,89.394
reg1,reg,1000,564.773,149.1,78.5,54.738,0.36712273641851106,0.7325066885279572,73.608,60.926
reg1,reg,2000,362.1135,98.364,52.1355,35.685,0.36278516530437965,0.724740999714178,49.8485,40.8985
reg2,reg,500,1224.252,350.188,190.308,118.65,0.3388180063280295,0.7096594491983677,185.902,154.928
reg2,reg,1000,749.733,217.504,120.384,70.824,0.3256215977637193,0.7053604416505609,120.398,99.695
reg2,reg,2000,460.655,135.452,75.6935,42.837,0.3162522517201666,0.7010767277029447,77.6755,63.5625
