sample,rep,n_cells,n_genes,mean_genes_detected,mean_depth,median_depth,lambda_max,lambda_max_scrambled,gmp_cor
dis1,0,1000,2042,62.817,89.272,46.0,8.145541979209465,6.521213842361794,3.3072431569122642
dis2,0,1000,2042,61.903,80.998,43.0,7.8191640930945905,6.3912444372642785,2.627815921886472
reg1,0,888,2100,66.47409909909909,138.58333333333334,83.0,15.49597175853629,6.9581924562669455,28.813440771599154
reg2,0,888,2100,67.21396396396396,127.16666666666667,80.0,16.635707708411214,6.818453283409184,27.897858257645787
dis1,1,1000,2042,61.96,87.155,46.5,8.24245867377386,6.501690854009091,3.0776513950931186
dis2,1,1000,2042,62.822,83.142,43.0,7.058851469777712,6.457933823090002,0.938902368255234
reg1,1,888,2100,66.47072072072072,138.20045045045046,83.0,14.974011133788173,6.963535753478472,27.756300407681653
reg2,1,888,2100,67.39527027027027,129.5641891891892,79.5,16.494993654360083,6.921391345828968,24.533125148972687
dis1,2,1000,2042,62.758,89.02,46.5,8.41188109652745,6.6148015368964845,3.957941631342062
dis2,2,1000,2042,62.372,81.301,43.0,7.934622420130642,6.509527752205019,3.1030071677675206
reg1,2,888,2100,66.46171171171171,138.24887387387386,83.5,15.335057212463076,7.24699149773009,23.04722026598956
reg2,2,888,2100,66.29504504504504,121.59909909909909,79.0,16.862230538623727,7.022713517891009,23.802543562674586
dis1,3,1000,2042,63.055,89.53,46.5,8.817809161594356,6.567308372403138,3.959824165364738
dis2,3,1000,2042,61.448,80.931,43.5,7.0171770558602,6.228538837300588,0.9405285528455991
reg1,3,888,2100,66.4481981981982,138.4177927927928,84.0,15.425582358241043,7.201438824267268,25.256062885682976
reg2,3,888,2100,67.15090090090091,126.94932432432432,80.0,16.43157892453383,6.984784662411134,22.901275734694146
dis1,4,1000,2042,62.435,87.781,47.0,8.684717730119218,6.69607168248154,4.414172420973779
dis2,4,1000,2042,61.29,78.958,44.0,7.169330021483722,6.489656397735374,0.6941518223477878
reg1,4,888,2100,66.46621621621621,138.13738738738738,83.0,15.124591740916676,7.160603174844224,22.626079097424544
reg2,4,888,2100,70.32657657657657,133.42342342342343,79.0,16.701575286326648,6.939591326915473,24.900809830549417
