batch,selection,n_cells,n_genes,mean_total_expression,median_total_expression,pct_of_all_counts_retained,mean_gene_mean,mean_gene_fano,median_cells_detected,gmp_cor,lambda_max,lambda_max_scrambled,n_modes_above_threshold,fraction_non_zero
exp,max_expr,1002,2000,132.98203592814372,73.0,84.692243154603,0.06649101796407186,1.2531694815859669,41.0,17.49777612810613,14.213140420520432,6.1923955933377215,21,0.057204091816367264
exp,mean_expr,1002,2000,141.57984031936127,78.0,90.16792515190807,0.07078992015968064,1.19867310431535,44.0,30.16239831019763,15.007442340818828,6.022818636044835,36,0.06149451097804391
exp,fano,1002,2000,133.3193612774451,72.5,84.90707548369053,0.06665968063872256,1.2322078656583972,40.0,22.69174771789511,14.152314072479637,6.056710045963974,28,0.05731936127744511
dis1,max_expr,994,2000,113.07344064386318,59.0,88.43871962734484,0.05653672032193159,1.5287262277409082,20.0,12.429359832474452,10.23284692402687,6.32547402865127,14,0.04130482897384306
dis1,mean_expr,994,2000,117.89839034205231,61.0,92.21248268916027,0.05894919517102616,1.4461486933062166,22.0,13.965358776144315,11.057555165629962,6.30811676614434,14,0.04377665995975855
dis1,fano,994,2000,116.96680080482898,61.0,91.48385370766712,0.05848340040241449,1.4288343097150964,22.0,12.081851813404738,11.167674547098155,6.509506667498762,13,0.04337625754527163
dis2,max_expr,1000,2000,251.136,149.0,87.93123369688907,0.125568,1.3155561372541238,51.0,53.30138283796315,10.708739880960579,5.980174082950058,48,0.0897735
dis2,mean_expr,1000,2000,263.099,157.0,92.11988585634005,0.13154949999999999,1.272956268839858,55.0,64.96398728682377,10.272341790651195,6.004206735026416,57,0.0956485
dis2,fano,1000,2000,246.59,147.0,86.33952486826212,0.123295,1.3171548842366938,47.0,55.19391471333133,11.633716217817316,5.998475015641701,51,0.087423
reg1,max_expr,999,2000,79.77577577577577,39.0,86.30992993058038,0.039887887887887885,1.7392463948310921,23.0,8.38741980542667,9.98062065466674,6.61370838895934,5,0.029972837022132798
reg1,mean_expr,999,2000,84.11811811811812,41.0,91.00793831291898,0.04205905905905906,1.6254900343415362,25.0,9.942709998213378,10.613470484764125,6.604441629279279,5,0.032248487903225806
reg1,fano,999,2000,83.23623623623624,41.0,90.05382457736336,0.04161811811811812,1.5755604592344263,25.0,11.448813833413507,10.60905602575018,6.393410170566292,6,0.03215822102207302
reg2,max_expr,1000,2000,113.797,53.0,79.2916518600584,0.05689850000000001,1.5300090054119386,34.0,7.427909738908585,11.181731482664075,6.47277771329925,6,0.04524699398797595
reg2,mean_expr,1000,2000,123.49,59.5,86.0455555787816,0.061745,1.4455042769814048,38.0,10.037257677454681,12.20113704188483,6.357723932416235,10,0.049937875751503005
reg2,fano,1000,2000,113.146,53.5,78.83804706062696,0.056573000000000005,1.5085544743811403,32.0,7.32416594944269,11.163931842497657,6.393668932498136,6,0.04487751004016064
