dataset,n_cells,n_genes,aspect_p_over_n,mean_total_expression,median_total_expression,cv_total_expression,mean_genes_detected,frac_nonzero,mean_gene_mean,mean_gene_fano,genes_all_zero,top1_gene,top1_pct_counts,top5_pct_counts,top20_pct_counts,batch,source,gmp_cor,lambda_max,lambda_max_scrambled,n_modes_above_threshold,top_mode_share_of_gmp,bulk_mean_eigenvalue,fraction_non_zero_after_filter
exp:h5ad,1002,4041,4.032934131736527,198.66467065868264,114.0,1.3988890364863074,139.37025948103792,0.03448905208637414,0.04916225455547703,1.1139146850662083,167,tmRNA,20.280616089459567,21.883131888557333,24.276356110156634,exp,h5ad,33.23425141447926,24.13650957520763,9.376347826825324,21,0.4441249951533948,0.9457208523805317,0.03597580265385594
exp:paper,1041,2071,1.989433237271854,146.92987512007684,94.0,1.0120762008755577,100.73006724303555,0.04863837143555555,0.07094634240467254,1.2340552770903332,0,tmRNA,23.118061639447156,25.39848581926592,28.29935797690809,exp,paper,33.4695319233526,19.408975736238958,6.06046610773088,25,0.39882570389920696,0.921807827655609,0.04863837143555555
dis1:h5ad,994,4041,4.065392354124748,142.35814889336015,73.0,1.917784071330981,98.40241448692153,0.024351005812155786,0.035228445655372476,1.253871103885526,182,tmRNA,9.232954545454545,13.375593622795115,20.955591361374942,dis1,h5ad,46.91439778630087,28.937895024321392,9.961444740396804,14,0.40449097034910175,0.9551691484650573,0.025499459571630353
dis1:paper,1000,2042,2.042,90.139,46.0,1.6149545691222644,63.164,0.030932419196865818,0.044142507345739476,1.4202442117748293,5,tmRNA,10.799986687227504,15.512708150744961,23.936364947470018,dis1,paper,2.874662627226116,8.242494324391734,6.526256606125858,5,0.597022308639378,0.9849872314675913,0.031008345606283752
dis2:h5ad,1000,4041,4.041,323.457,186.5,1.4769043840131433,214.677,0.05312472160356348,0.08004380103934669,1.1684384071712137,146,tmRNA,10.613157235737672,14.765486602546861,22.169871111152332,dis2,h5ad,26.74760197014266,14.291658992389149,9.502312963323497,24,0.17905702479092583,0.9403763593154463,0.05511604621309371
dis2:paper,1000,2042,2.042,50.409,32.0,1.8440860522819096,39.195,0.01919441723800196,0.024686092066601373,1.0976734080546222,38,tmRNA,13.910214445833086,19.74052252573945,28.48102521375151,dis2,paper,0.0,6.094979017903801,6.1841045917178405,0,,1.0000000000000004,0.019558383233532935
reg1:h5ad,999,4041,4.045045045045045,148.37937937937937,83.0,2.6666728210499797,73.01601601601601,0.018068798816138584,0.03671848042053437,1.522357498732012,189,tmRNA,36.92682367386039,38.22479778184051,39.96937212863706,reg1,h5ad,85.77904871359723,30.103816208810695,9.990893695108143,25,0.23447360183319865,0.9188525238852107,0.018955352029079962
reg1:paper,1000,2023,2.023,120.081,78.5,1.4675099403083471,59.081,0.029204646564508156,0.05935788433020267,1.6745096663370507,0,tmRNA,37.80531474587986,39.60909719272824,41.632731239746505,reg1,paper,22.536273508690375,14.258587122087889,6.520189836928689,13,0.343375193870235,0.9530852032891729,0.029204646564508156
reg2:h5ad,1000,4041,4.041,216.186,110.5,1.8959487914636313,119.49,0.02956941351150705,0.05349814402375651,1.381581833618687,42,tmRNA,32.760678304793096,34.63637793381625,36.68553930411775,reg2,h5ad,40.64189862200168,22.043472933325276,9.909302279019661,22,0.2985630855281137,0.9404962160521921,0.029879969992498125
reg2:paper,1000,2023,2.023,165.098,93.5,1.648579838931496,87.427,0.04321651013346515,0.08161047948591202,1.5112703936695815,0,tmRNA,35.510424111739695,37.9338332384402,40.50382197240427,reg2,paper,29.080780331541337,17.281707289680966,6.345792231005754,19,0.3760530128145838,0.9348049736922908,0.04321651013346515
