sample,rep,n_cells,n_genes,target_umi,mean_total_expression,mean_genes_detected,lambda_max,lambda_max_scrambled,n_modes_above_threshold,gmp_cor
dis1,0,453,673,75,70.5364238410596,51.04856512141281,8.011834328564996,4.845860702992711,5,5.933546682441546
dis2,0,453,673,75,70.439293598234,53.973509933774835,6.598664585586445,4.839257071514014,4,2.6826176843904728
dis1,1,453,673,75,70.5364238410596,51.17439293598234,8.08296066800279,4.905615621300006,5,5.675283898886057
dis2,1,453,673,75,70.32671081677704,53.54746136865342,6.526868635036758,4.9004540366305696,4,2.2329707062784516
dis1,2,453,673,75,70.5364238410596,50.9757174392936,8.002168076729136,4.854863914605179,5,5.781129896619971
dis2,2,453,673,75,70.62030905077263,53.4878587196468,6.596271665054283,4.8364580406794655,5,2.4081959118220038
dis1,3,453,673,75,70.5364238410596,50.71523178807947,7.870646681324159,4.91198568692449,5,5.318574016849282
dis2,3,453,673,75,71.41501103752759,54.05298013245033,6.163092292824377,4.8924515748548005,3,1.6508336599496207
dis1,4,453,673,75,70.5364238410596,50.966887417218544,8.097633474590829,4.9104577763096575,6,5.6708266793863595
dis2,4,453,673,75,70.73509933774834,54.015452538631344,6.224715896923895,4.900986783105625,5,2.7136640718138203
dis1,5,453,673,75,70.5364238410596,50.613686534216335,8.061654629169205,4.841490285651114,5,5.861788313758812
dis2,5,453,673,75,70.49227373068433,53.86092715231788,6.189526392941611,4.841758747043403,4,2.2156954957094968
dis1,6,453,673,75,70.5364238410596,50.64459161147903,7.825679720787175,4.908500306057471,4,5.062982663076041
dis2,6,453,673,75,70.7373068432671,53.70198675496689,6.727471831556126,4.89996555479051,7,4.508436360395107
dis1,7,453,673,75,70.5364238410596,50.95584988962472,7.832978068311879,4.919293214892123,5,4.854422629464771
dis2,7,453,673,75,70.79028697571744,53.52317880794702,6.454626464081097,4.885474829862005,4,2.2422635765541257
dis1,8,453,673,75,70.5364238410596,50.803532008830025,7.963976666338482,4.870372841238639,6,5.525428733224802
dis2,8,453,673,75,70.31567328918322,53.55187637969095,6.767736994340268,4.895334023864396,6,3.6219045337189915
dis1,9,453,673,75,70.5364238410596,50.792494481236204,7.982894125336965,4.939954705189272,5,5.341591571455573
dis2,9,453,673,75,70.50772626931567,53.75275938189846,6.260767501638529,4.938411733352519,4,2.7604298635919546
