sample,condition,rep,n_cells,n_genes,target_umi,mean_total_expression,mean_genes_detected,lambda_max,lambda_max_scrambled,n_modes_above_threshold,gmp_cor
exp,exponential,0,386,279,75,43.44041450777202,36.443005181347154,5.6154685857669895,3.350600650719623,4,3.1999256714408273
dis1,dysregulated,0,386,279,75,51.259067357512954,37.38341968911917,5.56437576176634,3.3538163103576166,6,4.626613062627616
dis2,dysregulated,0,386,279,75,47.72279792746114,38.101036269430054,4.955048550009613,3.3511860381985294,5,2.8048681339029824
reg1,regulated,0,386,279,75,36.1139896373057,27.033678756476682,5.737367906660846,3.3893017834653874,3,2.9991983769803405
reg2,regulated,0,386,279,75,38.99222797927461,31.098445595854923,4.986484019132299,3.427877042885803,4,2.7994269062420356
exp,exponential,1,386,279,75,43.347150259067355,36.33678756476684,5.279535600400007,3.3818168895922676,5,3.201978023804129
dis1,dysregulated,1,386,279,75,50.84455958549223,37.13212435233161,5.535808704227209,3.3792881098385417,6,4.337652902321247
dis2,dysregulated,1,386,279,75,48.37564766839378,38.318652849740936,4.605162594944644,3.33463305462742,6,2.7313339550289535
reg1,regulated,1,386,279,75,36.1139896373057,27.090673575129532,5.73322833715444,3.4105682962223582,3,2.9969323227854026
reg2,regulated,1,386,279,75,39.88860103626943,31.655440414507773,4.866117269910733,3.3512287068938926,4,2.5058943137334775
exp,exponential,2,386,279,75,44.023316062176164,37.266839378238345,5.1578131380911145,3.3888343005893184,6,3.1057506066345444
dis1,dysregulated,2,386,279,75,51.7279792746114,37.62435233160622,5.748382861912151,3.351767571314311,6,4.7125892734468735
dis2,dysregulated,2,386,279,75,50.21761658031088,39.72538860103627,4.8037583597704225,3.4005207420848884,6,2.0728689189734166
reg1,regulated,2,386,279,75,36.1139896373057,27.10880829015544,5.740736944190923,3.345546145584651,3,3.1043049639799216
reg2,regulated,2,386,279,75,39.303108808290155,31.09585492227979,5.013233208244474,3.3821626266989675,5,3.3832099996619522
exp,exponential,3,386,279,75,44.16580310880829,36.862694300518136,5.492185512251178,3.364521188700183,5,3.3704871110962564
dis1,dysregulated,3,386,279,75,51.512953367875646,37.512953367875646,5.609370466117395,3.3884782014721124,5,4.416120352641501
dis2,dysregulated,3,386,279,75,48.33678756476684,38.63212435233161,4.80183655506395,3.341548278694179,7,3.3406832355910705
reg1,regulated,3,386,279,75,36.1139896373057,27.189119170984455,5.753510148473126,3.4122333045030566,3,2.973980308611736
reg2,regulated,3,386,279,75,39.862694300518136,31.575129533678755,4.939108081939426,3.3808865843117326,4,2.8379473296880606
exp,exponential,4,386,279,75,44.6139896373057,37.2979274611399,5.841475029854278,3.3586013892317963,6,3.5777082012034795
dis1,dysregulated,4,386,279,75,51.43523316062176,37.44041450777202,5.398750652815526,3.3750350735845247,5,4.093799299222382
dis2,dysregulated,4,386,279,75,46.29274611398964,37.468911917098445,4.875793518276577,3.3550884358352113,5,3.432449268666711
reg1,regulated,4,386,279,75,36.1139896373057,27.093264248704664,5.744960655414847,3.377355632599688,3,3.056144295669964
reg2,regulated,4,386,279,75,39.08549222797927,31.256476683937823,5.171181329192084,3.3577146630672194,4,3.367264583956713
exp,exponential,5,386,279,75,44.64766839378238,37.119170984455955,5.41238827255704,3.341778914702851,4,3.717511872905272
dis1,dysregulated,5,386,279,75,51.556994818652846,37.54922279792746,5.764280989695767,3.3737524713010294,5,4.548892376113999
dis2,dysregulated,5,386,279,75,48.8419689119171,39.09844559585492,4.62756003578536,3.378098643964138,5,2.9389940985826635
reg1,regulated,5,386,279,75,36.1139896373057,27.064766839378237,5.744507677668859,3.3728570301932947,3,3.0399742631446327
reg2,regulated,5,386,279,75,39.233160621761655,31.354922279792746,5.04538905742271,3.3511714000068027,5,3.2110842636830155
exp,exponential,6,386,279,75,44.27461139896373,37.14248704663213,5.412112507490906,3.3502739866736753,5,3.474109458682873
dis1,dysregulated,6,386,279,75,51.07772020725388,37.32124352331606,5.844437318559135,3.343109246097845,6,4.652032998673122
dis2,dysregulated,6,386,279,75,48.681347150259064,38.33678756476684,4.933580649643406,3.3761265436969645,5,2.7455599296617628
reg1,regulated,6,386,279,75,36.1139896373057,27.06217616580311,5.721678119325809,3.356851136288667,3,3.0395172961707564
reg2,regulated,6,386,279,75,39.0699481865285,31.05699481865285,4.751316909301756,3.3700420538017455,3,2.575424760231825
exp,exponential,7,386,279,75,43.66321243523316,36.619170984455955,5.505669236522588,3.3826649804432565,4,3.0413195341291654
dis1,dysregulated,7,386,279,75,51.50777202072539,37.33678756476684,5.674887366598826,3.358366841031471,5,4.175056556135687
dis2,dysregulated,7,386,279,75,48.97409326424871,38.80829015544042,4.323504769990424,3.3488269952516148,5,2.1190026725702884
reg1,regulated,7,386,279,75,36.1139896373057,27.10103626943005,5.719561527093679,3.3638354718526147,3,3.055257514810828
reg2,regulated,7,386,279,75,40.40414507772021,31.94559585492228,4.782551637984487,3.3722721610483375,4,2.9838456282508026
exp,exponential,8,386,279,75,44.4559585492228,37.67357512953368,5.643012059367651,3.397854808336458,3,3.3297905381774022
dis1,dysregulated,8,386,279,75,51.4119170984456,37.37823834196891,5.68595142926249,3.345612702971232,6,4.557244830107093
dis2,dysregulated,8,386,279,75,47.3160621761658,37.8160621761658,4.740250132394549,3.36380067419217,5,3.1837768962636854
reg1,regulated,8,386,279,75,36.1139896373057,27.072538860103627,5.736168409073639,3.3730240280337043,3,3.0333900258833366
reg2,regulated,8,386,279,75,39.49222797927461,31.46113989637306,4.990001885266529,3.384783162116965,5,2.994815366141555
exp,exponential,9,386,279,75,44.00777202072539,36.870466321243526,5.218230581180189,3.3599878377286116,5,3.1977159165975184
dis1,dysregulated,9,386,279,75,51.2979274611399,37.2720207253886,5.781416269504693,3.3798859765171416,6,4.51662619054116
dis2,dysregulated,9,386,279,75,48.32383419689119,38.09585492227979,4.962182201497702,3.3361294607941248,6,4.095978849327183
reg1,regulated,9,386,279,75,36.1139896373057,27.033678756476682,5.731086087180936,3.3462803427993775,3,3.0691640892267453
reg2,regulated,9,386,279,75,38.79274611398964,30.818652849740932,5.138937252575598,3.3972248996456544,4,3.315366672639599
