sample,cond,n,mrna_by_total,mrna_by_mrna,mrna_random,recovery,enrichment_vs_random,det_by_total,det_recovery
exp,exp,500,217.718,255.848,7.058820000000001,0.8509661986804664,30.843398755032705,184.686,0.8423534777651084
exp,exp,1000,138.387,166.728,6.88985,0.8300165539081618,20.085633214075777,119.651,0.8214572591773824
exp,exp,2000,88.4235,105.339,7.022047500000001,0.8394184490074902,12.592267426274173,77.701,0.8317561925967157
exp,exp,5000,47.2542,55.3942,7.026641,0.85305320773655,6.725005589441669,42.1792,0.8480344849771602
dis1,dis,500,173.05,197.638,12.067040000000002,0.8755907264797256,14.340716530317293,125.14,0.8573229382184892
dis1,dis,1000,111.669,124.058,12.226205,0.9001354205291073,9.133578244434801,83.996,0.8880008457553652
dis1,dis,2000,69.878,75.8035,12.1841325,0.9218307861774192,5.735164157152756,54.1885,0.9141418401430548
dis1,dis,5000,36.3776,39.0894,12.099593,0.9306256939221376,3.006514351350496,29.0998,0.9313903096333945
dis2,dis,500,396.182,430.108,19.11194,0.9211221367656496,20.729554404210145,276.986,0.9039069026733499
dis2,dis,1000,250.857,275.314,19.220205,0.9111668858103837,13.051733839467373,185.26,0.8939523347664751
dis2,dis,2000,160.018,175.0185,19.069375,0.9142919177115563,8.391360492936974,124.1965,0.8999159475106697
dis2,dis,5000,88.5234,96.4326,19.030283999999998,0.9179820931925511,4.6517119765527415,72.662,0.9077212900130921
reg1,reg,500,117.44,148.742,20.86113,0.7895550685078861,5.629608750820306,89.394,0.7924016522771997
reg1,reg,1000,78.5,99.808,20.974080000000004,0.7865100993908304,3.7427148175271565,60.926,0.7936793288520662
reg1,reg,2000,52.1355,65.168,20.993187499999998,0.8000168794500367,2.483448499662093,40.8985,0.8066208447148618
reg1,reg,5000,29.3668,34.3636,20.939040999999996,0.8545903223178015,1.4024902095563978,23.2336,0.861837956540125
reg2,reg,500,190.308,223.666,14.779209999999999,0.8508579757316713,12.87673698391186,154.928,0.8451601640918215
reg2,reg,1000,120.384,142.639,14.81271,0.8439767525010691,8.127074654131485,99.695,0.8397206967420234
reg2,reg,2000,75.6935,88.307,14.684425000000001,0.8571630788046247,5.1546791924096445,63.5625,0.8559856712880354
reg2,reg,5000,39.5222,44.9654,14.818109999999999,0.8789469236346168,2.667155257991741,33.6164,0.8814919314659715
