,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Unnamed: 1,2486.9087723711186,-0.6905392532246858,0.04081949467899366,-16.916898620502717,3.377540612614364e-64,6.86028330988393e-63
GFP,32586.419999713315,3.3289036231694604,0.05247399114112555,63.43911623220312,0.0,0.0
INTR_alaXW,428.1764879936879,0.9515914604822807,0.10862977773476283,8.759950359152398,1.95336378376363e-18,1.925902701392417e-17
LELOBEKK,35.33457817129975,-3.8580119093894476,0.28815599395020636,-13.388622795943352,7.04754322839838e-41,1.1006604277292764e-39
LELOBEKK_appX,3.560244794069219,-4.327309502665688,0.9220914012348254,-4.69292902728595,2.6932094477267555e-06,1.428054139400906e-05
LELOBEKK_fdoG,0.39397318396810804,-1.1404473640247956,3.3448187554169126,-0.3409593904536227,0.7331341535448247,
LELOBEKK_finO,2.5220730670754263,-5.4865545929695205,1.5676066326632048,-3.499956225401024,0.00046533456659421016,0.0015159058580461694
LELOBEKK_flmC,1.8225198509131764,-6.187774500986933,2.1475769885639573,-2.8812818045347823,0.003960613539361908,0.009865874394557399
LELOBEKK_gap,1.456044200742345,-5.8649453849829785,2.1809940034769504,-2.6891157773166987,0.0071641567004342745,0.01659138346137956
LELOBEKK_lacA,0.040584925302820304,-2.044209304236388,4.728486292671732,-0.4323179084614307,0.6655103730301171,
LELOBEKK_lacY,0.22408622712436785,-2.0442329120224927,3.6519465054820195,-0.5597652947418174,0.5756395386975319,
LELOBEKK_lacZ,0.9745088305189142,-5.451916595597896,4.595040845235384,-1.1864783751054162,0.23543343648132464,0.3126495474816305
LELOBEKK_malE,1.350210453542675,-4.898995784795405,1.8748665832765998,-2.6129836802753736,0.008975558802235526,0.020134068840017772
LELOBEKK_mpaA,1.7711149915825875,-3.3265993012333515,1.1521938656174464,-2.8871871310047883,0.0038870297268076303,0.009709737563537608
LELOBEKK_psiB,0.019261140500158282,-3.0060015097987396,4.918719012289186,-0.6111350337940401,0.5411101882468171,
LELOBEKK_tisB,2.183851365203601,-4.577172822718248,3.349567711707132,-1.3664965800573288,0.17178315356782092,0.23995414573904184
LELOBEKK_trpA,0.6486617392780832,-4.864791714583885,3.925584411582611,-1.2392528613650748,0.2152518697496475,0.29051968041373993
LELOBEKK_ynhF,1.661394125410517,-5.224027592494403,1.6453468563351674,-3.1750311931979867,0.0014982039486277244,0.00424129784999943
