,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Unnamed: 1,2739.5953336220014,-1.6889170947221313,0.05101916390749026,-33.10358236729506,2.639253793217399e-240,9.439067103855812e-239
GFP,36207.21618084887,1.5473833179079854,0.0644726267071322,24.00062471375636,2.7393309794755954e-127,5.801566336978761e-126
INTR_alaXW,571.4096874934955,1.1157936749161113,0.10803390488641346,10.32818054747955,5.254783000839767e-25,4.858751794191112e-24
LELOBEKK,35.939591099310825,-6.065152458157872,0.3985180056975899,-15.219268317728993,2.6346108195623454e-52,3.432236981773489e-51
LELOBEKK_appX,3.592154189526552,-6.845841169556572,1.4962667734957753,-4.575281153615687,4.755808745540299e-06,2.051111598901396e-05
LELOBEKK_fdoG,0.3993655054229245,-3.6293174868699287,5.325082609616451,-0.681551396088358,0.4955226572714392,0.5626039189289513
LELOBEKK_finO,2.5443104450851832,-7.0717126369439125,2.064847488592198,-3.4248111185031718,0.000615226980646265,0.0016553055242228465
LELOBEKK_flmC,1.868814686611045,-5.8507576113346405,1.619304547781145,-3.6131298583405154,0.00030252309706484744,0.0008835632210884719
LELOBEKK_gap,1.4691638689585247,-6.496013477857372,4.72718393900165,-1.3741825073194183,0.16938502995411908,0.23065325019973615
LELOBEKK_lacA,0.040251989842357026,-3.6293020928028503,5.325086388252932,-0.6815480216075069,0.4955247916918408,0.5626039189289513
LELOBEKK_lacY,0.2270603653220459,-3.6293429602680565,4.265223157923004,-0.8509151399326558,0.3948164940111383,0.46831956470470126
LELOBEKK_lacZ,0.9775356723559468,-6.074215859726829,5.02767638018592,-1.20815569666841,0.22698737936928715,0.29348879781342685
LELOBEKK_malE,1.3542873832721505,-6.480319630984624,4.99727295544469,-1.296771196763248,0.1947099239354625,0.2578223268038206
LELOBEKK_mpaA,1.7650060992358438,-6.803670215334942,2.1217225587805095,-3.206672892824144,0.001342795876976633,0.003338058471880928
LELOBEKK_psiB,0.046131494705483105,-2.667516298992337,5.1498804035580354,-0.5179763586644379,0.6044747642012644,0.6621103239199635
LELOBEKK_tisB,2.20449938634432,-6.095033877181874,3.35874907295878,-1.8146737802632733,0.06957405672151586,0.10752354220597904
LELOBEKK_trpA,0.7053166458267002,-3.6636517241652253,2.7741444730654914,-1.3206420068370877,0.186620759356799,0.2488495598739448
LELOBEKK_ynhF,1.6971941162187525,-5.8477904286407005,1.611381131911811,-3.6290547982913477,0.0002844608580711504,0.0008379107326711199
LELOBEKK_yshB,1.5466322746841241,-6.483955233868241,3.2180895815593606,-2.014846097207266,0.043920777325297325,0.07149148425942557
LELOBEKKtfaE,1.2032775799719355,-6.071912528032077,2.187175548506014,-2.7761432008416502,0.005500797449759624,0.011669570862920389
LacI,114430.74447908282,-2.098033612664832,0.036711120942920845,-57.14981070523275,0.0,0.0
MS2_fwd,7.743534761827018,-7.918156927535024,1.4433823841330216,-5.4858345332315555,4.115219670049776e-08,2.2908660453977536e-07
YFP,6.755066187915156,-5.799756254371459,0.833625603393234,-6.957267424085612,3.4693602325165513e-12,2.386995397725997e-11
aaeA,57.02405575893921,0.8412552369915586,0.3128098932091439,2.6893498423628746,0.0071591347360907154,0.014575875287067616
aaeB,43.41036105646353,0.9810786727373917,0.3753901139860395,2.6134909689547055,0.008962245226038798,0.017741969531025106
aaeR,55.594488242200136,2.011713019281635,0.4654387353942514,4.322186501253719,1.5449051020896235e-05,6.100765877106003e-05
aaeX,2.480410892910279,1.0681899802108135,1.4736284032091442,0.7248706511659242,0.4685313873673732,0.5382431786393066
aas,65.49153608816641,2.184019680912466,0.4237485290063806,5.154046637126096,2.5492449834964384e-07,1.3077385294228686e-06
aat,15.55635230496563,2.7960037338556307,1.0335449706616553,2.705256000680535,0.006825176847049415,0.013970974852680524
abgB,40.52046094513251,1.7332990044133088,0.4866163953972284,3.5619412350428608,0.0003681227929382655,0.0010500778841451952
abgR,52.60027851446731,0.47140895637683716,0.2952281716255872,1.5967614261916887,0.11031889738185836,0.16005317258883467
abgT,46.23168586003064,3.4384270159185517,0.7280625869846195,4.722708016297491,2.327248549746006e-06,1.05384818409728e-05
abrB,4.203429092477046,1.8504202860549865,1.418270806495616,1.3047016673967662,0.19199445350293876,0.25502526867427033
accA,254.79123582540402,-2.208854971810384,0.10863756680880805,-20.33233104067732,6.656392434164612e-92,1.1959423562994334e-90
accB,196.36214103036107,-3.543598271695304,0.12128084737703668,-29.218119334860855,1.1415823188951956e-187,3.38104575854038e-186
accC,83.3033582340556,-2.1737678600730854,0.1617217002540056,-13.441411119589343,3.4577924418334314e-41,3.866811547784819e-40
accD,16.72178688796894,-3.188496951430521,0.39109119357466754,-8.152822164792033,3.5552823669500926e-16,2.756252648897301e-15
aceA,952.4265250681599,-5.8279418580883915,0.08236321973549462,-70.7590339086371,0.0,0.0
aceB,394.9594631536415,-5.218653854728604,0.10365768602882472,-50.345073816112595,0.0,0.0
aceE,150.01650154865013,-2.8390507479078146,0.13441939583733842,-21.12084145463177,5.117527458694578e-99,9.604230988074825e-98
aceF,241.8916783417473,-2.6328337965434585,0.11042055083779607,-23.843693737871305,1.1772823520324174e-125,2.465788616881157e-124
aceK,41.25398700767637,-1.6230634804922917,0.21875626381565297,-7.419506313474322,1.1755769673612154e-13,8.488785301459748e-13
ackA,76.02604913874877,-0.9873026439004545,0.1988153606382168,-4.965927384740878,6.837353702629788e-07,3.3402587482821554e-06
acnA,66.2866739641882,-0.8822439037179922,0.21596209736377867,-4.085179364747005,4.404278099908612e-05,0.00015648189575214196
acnB,86.14046821862581,-4.2231629274948315,0.18697170355699141,-22.587176814204703,5.79336335274867e-113,1.1559284458036953e-111
acpP,763.6296037185696,-4.505187066205406,0.07756557984833239,-58.08229726400047,0.0,0.0
acpS,1.5374834952250942,-2.6327961368914994,1.1877634584122256,-2.216599709517044,0.02665045744891888,0.04615435549970374
acpT,2.681483416665223,2.3572736548551454,1.9835993892250845,1.188381922105774,0.23468297539649008,0.3018776776329912
acrA,16.996293771302543,-0.6430598487253768,0.4372933188250797,-1.4705457893872032,0.1414139937917182,0.1968063327696049
acrB,23.898742157457168,-0.822678499379536,0.32718456343338254,-2.5144172168349868,0.011922929035226768,0.022874404844405203
acrD,7.691791686195121,2.2191591202948002,1.4149585195600194,1.568356308413088,0.11679800165590089,0.16791096863007973
acrE,6.825315877065051,3.335067831888995,1.9667694600521177,1.6957085716597504,0.0899410844217667,0.13434462216033
acrF,60.76526748154118,2.8299414230378437,0.551442424515911,5.131889200440345,2.868483499527406e-07,1.4616157186436016e-06
acrR,116.59457442737418,0.6619497571190599,0.21957237218400055,3.0147224376860553,0.0025721452484481497,0.005909698567798142
acs,112.1372182390172,-3.0363892480485775,0.1312168077679193,-23.140246281703348,1.822699040561144e-118,3.7149742272942456e-117
actP,26.68399928505162,-2.820204300149986,0.3457938840473498,-8.155737941749756,3.4705423399662e-16,2.6960709038548906e-15
add,17.923410662931882,1.5606628073438316,0.7416149768028746,2.1044111245863695,0.0353425998461234,0.05904971177463809
ade,25.56025868079979,2.0087507656590575,0.6568089943990725,3.0583484434419224,0.002225606247670873,0.005227554699454945
adhE,101.63555545830503,-2.1101016682372915,0.14732793140364767,-14.322482153476077,1.583643303948215e-46,1.905902147704026e-45
adhP,117.80561066375859,1.2980569941304902,0.2625934183841332,4.94321983436628,7.68427503284155e-07,3.7395489922339304e-06
adiA,34.26918257349084,2.2158349603421,0.5644140734664607,3.92590309935596,8.640493716549176e-05,0.00028708248623521407
adiC,13.552214779321169,4.503968384842655,1.949598740796734,2.3102027563897782,0.020876931523096814,0.037455961857103655
adiY,40.76297140760623,3.556482943586799,0.839912285023141,4.234350428019769,2.2921328255505395e-05,8.758731021783041e-05
adk,3.146557591057266,-5.628889042062627,1.1930679071624117,-4.7179955208504065,2.3817973694266855e-06,1.0736496822231349e-05
aegA,23.772240565032337,0.5664539323620852,0.43690534555193056,1.2965140805189725,0.1947984321952021,0.2578494610516799
aer,1.8438346995626516,-3.0459113560958584,1.0455152955891498,-2.9133111384845707,0.0035761808528882106,0.007937530218559254
aes,17.50342284880872,2.443702160471711,0.8447345526939123,2.89286398038128,0.0038174657865007637,0.008399310967280554
afuB,13.310060130684171,3.436283675259689,1.400576039359629,2.453478839200209,0.014148186338698429,0.026607653988220088
afuC,28.953482851697053,0.987428174146706,0.5017419502038218,1.9680000321790607,0.049068034007825355,0.07895454877914512
agaB,28.86117218171842,2.3294626642308884,0.6543400973120767,3.560018213464136,0.00037082907325658806,0.0010570022682073123
agaC,10.59902105482803,4.484217281081988,1.9595190565090346,2.2884274925454458,0.022112638128554733,0.03939333230514614
