,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Unnamed: 1,2129.689007735139,-2.278488859270854,0.042636292380509935,-53.44012652264308,0.0,0.0
GFP,22485.267698059142,-0.47652223904315555,0.059642770229814984,-7.989606069721852,1.3537061224973847e-15,1.0162367578182388e-14
INTR_alaXW,319.2241967404379,1.1448575317421033,0.10913970355055956,10.489835453985284,9.619577018225338e-26,8.739938435140673e-25
LELOBEKK,34.74677754014917,-6.748586029805363,0.4347673610497436,-15.522292228908205,2.4513533843635628e-54,3.173947448186411e-53
LELOBEKK_appX,3.5445862869755866,-8.211334226221114,2.04180515387371,-4.021605200987265,5.780288171800519e-05,0.00019616028170238106
LELOBEKK_fdoG,0.32827497325121846,-4.032842594744267,4.628051106625346,-0.8713911108222204,0.3835406377353806,
LELOBEKK_finO,2.5922807730993296,-5.032117473793149,1.1108906540057375,-4.5298044912412765,5.903829263727855e-06,2.4899265376825e-05
LELOBEKK_flmC,1.9085319126094253,-5.357552043711972,1.3839042718436279,-3.871331386653412,0.00010824251905892857,0.00034466940944556857
LELOBEKK_gap,1.5233682707366152,-6.892212348866221,2.175460726048397,-3.168162158176737,0.0015340592930473702,0.0037234254297609584
LELOBEKK_lacA,0.0,,,,,
LELOBEKK_lacY,0.18999328634162757,-3.0710501049972034,4.425341249127249,-0.6939691047787253,0.4877015842946619,
LELOBEKK_lacZ,1.0172477456578122,-6.477771480097574,3.7489441895385194,-1.7278922151399012,0.0840075502933363,0.12363249777823274
LELOBEKK_malE,1.3694777555963737,-5.924762944071386,2.2723082583610736,-2.607376407787508,0.009123900150367728,0.01770465428656213
LELOBEKK_mpaA,1.6784662679110967,-7.201720476057087,3.4812988318068228,-2.068687815667733,0.038575391312173024,0.06306474004225031
LELOBEKK_psiB,0.02055849232301172,-3.0710462578873714,4.425342385469604,-0.6939680572447913,0.48770224124373307,
LELOBEKK_tisB,2.1879686151186184,-7.468417921274362,2.728371443491859,-2.737317141729074,0.0061942545737234496,0.012654123142361924
LELOBEKK_trpA,0.6787339829554622,-5.8937094162794885,3.932343571584477,-1.498777843031836,0.133931274484654,0.18473964958610775
LELOBEKK_ynhF,1.6942189104131926,-7.213081635195842,2.175632936080353,-3.3153945757922836,0.0009151385199550084,0.00234527913113987
LELOBEKK_yshB,1.5206113442111329,-6.8900137985755805,2.1743205667781798,-3.1688123195122624,0.0015306319900429608,0.003717534950980158
