,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
CDN75_RS00290,119.29455969829768,-1.4094108446515994,0.3164352555761785,-4.454025965233504,8.427490194855865e-06,1.2338027003497794e-05
CDN75_RS00615,14.491754052256246,-5.320257270224008,0.6264517994467642,-8.492684153708977,2.0191850119804624e-17,5.229941429008289e-17
CDN75_RS00685,64.65742125812662,-3.709707898607715,0.36229240538516216,-10.239540888702404,1.3186059469250706e-24,4.6600732897011015e-24
CDN75_RS01980,353.83519695051086,-5.1660129864144375,0.3769321826244334,-13.705417644217807,9.422358044579595e-43,7.668214378710198e-42
CDN75_RS02765,12.589186819532612,-5.3501584377916505,0.8742501667015228,-6.119711086790384,9.374517083696707e-10,1.692934358457713e-09
CDN75_RS05190,8.05549844380325,-0.4287665291825884,0.5940298554917172,-0.7217928951191694,0.47042181829546215,0.500908925619575
CDN75_RS05665,13384.337878967717,-6.08098074117975,0.32197127410131443,-18.886718258183038,1.46686099998467e-79,7.788674138942991e-78
CDN75_RS07125,4.738064906374487,-1.2171135605804644,0.7816163232389343,-1.557175207826874,0.11942889288160352,0.13471331596023361
CDN75_RS07385,4.1124563334414725,-7.326075525494842,1.606104020668897,-4.561395420978859,5.081478342226029e-06,7.540816871865075e-06
CDN75_RS07395,1.2716713166504965,-3.5770035560596796,1.530868679101625,-2.336584192289314,0.01946081520002503,0.02334225602779862
CDN75_RS09705,1.5957765348962956,-3.654183759035611,1.526551500339263,-2.3937507239182563,0.016677078745958182,0.020086307291812426
CDN75_RS10005,3.672861619645884,-4.516813717678007,1.0077989627272377,-4.481859859683631,7.399533017493945e-06,1.0862294928580119e-05
CDN75_RS10700,33.2938478842694,-2.043076398969449,0.40689034069237057,-5.021196609123039,5.135056366051704e-07,8.028019898667547e-07
CDN75_RS12755,169.7576745991939,-4.580672475540637,0.3223080168905546,-14.212095993554158,7.708334643972227e-46,7.360107245582253e-45
CDN75_RS12855,1.2731909354616202,-3.016767571531678,1.6087789166611297,-1.8751908918552322,0.06076646675029103,0.07027282768413469
CDN75_RS13515,70.36026461059123,-1.6677763294296224,0.3202324655920385,-5.2080176391431,1.9086878445491289e-07,3.071111188162198e-07
CDN75_RS13680,1.0468971332524426,-3.1973996931027586,1.7614771124533202,-1.8151809470005198,0.06949610670369329,0.08002804776193614
CDN75_RS17410,185.0329785698968,-2.804326178052621,0.37177704319786026,-7.543032119280574,4.5916800425357186e-14,1.0262923462628602e-13
CDN75_RS17475,12.751711960849727,-3.6831932141841803,0.5925192448069796,-6.216157950083166,5.094752103153522e-10,9.312573743547621e-10
CDN75_RS17695,28.102170947706043,-3.0883135337978564,0.38911427243882973,-7.936777837629565,2.075012371997269e-15,4.926174409856112e-15
CDN75_RS18610,1.429944791843922,-5.933871710907286,1.697913851308379,-3.4948014036959303,0.0004744146157437952,0.0006248037619323908
CDN75_RS19670,14.905851735016864,0.6665335537045444,0.9264090360983844,0.7194808424059441,0.47184470193192185,0.5021783994650667
CDN75_RS20180,64.55244380923564,-0.6124726187597881,0.3250943104722871,-1.8839844286109053,0.05956708176426581,0.06894074269048733
CDN75_RS20440,2.1822161000156854,-3.90157832425172,1.2151959662597187,-3.210657731411406,0.0013243156686320555,0.0016999028364457459
CDN75_RS21730,1.9133530304318238,-5.419854052265194,1.406110153486218,-3.8545017535273187,0.00011596555247358148,0.00015823065354746905
CDN75_RS23015,66.66709898610017,-3.090168875631087,0.32207067450608245,-9.594691849452216,8.416822982023412e-22,2.6009118001227777e-21
CDN75_RS23280,0.6582263799174017,-1.9508646525291353,1.68821479491462,-1.155578459805998,0.24785362286486712,0.2714854525669513
CDN75_RS23435,1.8689405347313437,-4.256329450098226,1.2125013471321,-3.510370904053525,0.00044748203463868246,0.0005904050844899465
CDN75_RS23975,1.1114055100994515,-2.489444973285103,1.9766276374576313,-1.2594405370588995,0.20787125534622475,0.2296552767768238
CDN75_RS23980,1.8589012460479712,0.6379593832154001,1.4557669360351564,0.4382290649854363,0.6612202411884913,0.6880526441999226
CDN75_RS24090,0.5714317853537191,-0.7534931642737172,2.1998247514055627,-0.34252417779747135,0.7319564519171158,0.755377670454402
CDN75_RS24150,1.083492199902593,-3.069732894196428,1.6706283614037232,-1.8374720345446103,0.06614024120457178,0.07634533674568014
CDN75_RS24155,11.607922056158483,-3.30799937980082,0.7253363633224578,-4.5606418581418975,5.099749637931495e-06,7.560200859228372e-06
CDN75_RS24160,3.4872144441791706,-3.3864013230272962,0.9463915279704852,-3.5782244694110434,0.00034593629489639173,0.0004596297308449465
CDN75_RS24260,0.5891106213216429,-0.753493081981959,2.172577185504863,-0.3468199367134855,0.7287265983735373,0.7522227618109012
CDN75_RS24270,0.3461063490151343,-2.996035454004155,3.9115498491554317,-0.7659458704459688,0.4437085107271529,0.4737388071863717
CDN75_RS24275,0.7750754614936091,-3.483805171717793,1.725456850374239,-2.0190624708825267,0.043480726889564954,0.050863805716594795
CDN75_RS24315,0.8679833247804136,-1.331058219369702,1.7504301785638101,-0.7604177736822422,0.447004902471677,0.47702434935335336
CDN75_RS24320,0.8804601413075013,-2.703195652176768,1.7405627350223989,-1.5530584435624961,0.12040917287580959,0.1357487153550686
CDN75_RS24420,0.05016956472589719,-0.7534916485187468,4.1341199337891394,-0.18226168098324422,0.8553773690989545,0.86793592753597
CDN75_RS24555,1.719147788250119,-0.3538626348340251,1.2755350270820052,-0.2774229067182449,0.781455394619232,0.8011435809211528
ERCC-00002,3234015.9189683166,0.043092362268077784,0.17696098807183655,0.24351334572445213,0.8076077478266191,0.824794036642627
ERCC-00003,92287.2563236709,-0.24649834665556658,0.19074429454353622,-1.2922973515168752,0.19625418881412948,0.2172065933138586
ERCC-00004,366012.0401048486,-0.2639540671338199,0.19197577447222033,-1.374934248133559,0.16915183031571268,0.18797526013134586
ERCC-00009,130440.91414308127,-0.046529475552479445,0.17516481583338078,-0.26563254344833115,0.7905222196874704,0.8096762513571504
