,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
3'ETS-leuZ,3635.313658762592,0.8531747301181724,0.21532857907835273,3.9621992295213317,7.426252984766119e-05,0.00014859008818030283
C0293,9.540483442877951,-0.3242716548532923,0.42482117732585023,-0.763313300185519,0.44527657197195014,0.5012103285497074
ERCC-00002,6690.504878268512,-0.14657355815398235,0.1525977592013364,-0.9605223492213555,0.33679238839774783,0.39243784165673323
ERCC-00003,210.63436525670167,-0.010921331927090347,0.2224310396324513,-0.04909985560080524,0.9608397184841139,0.9697521010318906
ERCC-00004,95.57267527602,-0.20627093521372192,0.17783374307879704,-1.159908865677559,0.24608591274506075,0.2972806294594046
ERCC-00009,145.25013296627208,-0.04379872692024576,0.17806212615739667,-0.24597441278180743,0.805702039725883,0.8360713718318086
ERCC-00012,0.0,,,,,
ERCC-00013,0.16343609624958083,-1.2522079628183405,5.740607173079359,-0.21813162354856533,0.8273265585792713,0.8544366943971231
ERCC-00014,2.9277013013465223,0.48467278344683584,0.906765515329578,0.5345072957154463,0.5929906031968003,0.6426291336517376
ERCC-00016,0.0,,,,,
ERCC-00017,0.0,,,,,
ERCC-00019,0.6378206290298446,0.32601803184659844,1.6334576352958479,0.19958768737063134,0.8418030580913041,0.8666456353857309
ERCC-00022,53.20409777931817,-0.25409106351937866,0.2741258546296671,-0.9269138945782599,0.35397124246074807,0.4090135469141893
ERCC-00024,0.0,,,,,
ERCC-00025,19.455697044905502,0.5526448679897509,0.31268789113711365,1.7674009248647755,0.07716110817388243,0.10272274264920724
ERCC-00028,0.14688052163788137,1.2088540097542602,5.626196160820237,0.21486168899913055,0.82987515501653,0.8563395377181102
ERCC-00031,0.42128839930678824,0.18410479929837612,2.5185074535377723,0.07310075617992008,0.9417259399256461,0.9536361450428424
ERCC-00033,0.20202730225783552,0.22196530768808356,4.779978236044071,0.046436468269734826,0.9629623703756699,0.9712509451813752
ERCC-00034,4.59643022386736,0.03035565999875778,0.6742700076762668,0.04502003596952552,0.9640913387502065,0.9721750701872118
ERCC-00035,27.377258311502356,-0.15820209721855574,0.29698855184696443,-0.5326875269592071,0.5942499017800167,0.6438411690693875
ERCC-00039,0.7802731941582238,-0.7183103268170513,2.110816098564243,-0.34029981451517227,0.7336307568254903,0.7714185310607281
ERCC-00040,0.1150025943043782,0.7977956733871499,5.594786265144671,0.14259627366953942,0.8866090405873135,0.9042185484231249
ERCC-00041,0.0,,,,,
ERCC-00042,81.69501067423609,-0.16710186225365295,0.21909615740509378,-0.7626873252034861,0.4456498913547584,0.501383555758554
ERCC-00043,99.63492837438535,-0.16376265788604347,0.14776496590089372,-1.1082644447390828,0.26774762604660207,0.31981355228253305
ERCC-00044,29.29864093248672,-0.07684948353586323,0.24791632515559495,-0.30998153706752335,0.7565749965831675,0.7917443861655772
ERCC-00046,285.1707394364867,-0.10598534748410163,0.18413227404399649,-0.5755935402110851,0.564889948378926,0.6164152493055616
ERCC-00048,0.0,,,,,
ERCC-00051,0.9881255031983246,0.6059245148988985,1.6040521543871584,0.3777461432545484,0.7056191857452011,0.7455906771920391
ERCC-00053,5.378817695551938,-0.6118661513131955,0.6043064456402967,-1.0125097220581338,0.311294400617786,0.3655229729761773
ERCC-00054,0.3935415460843194,1.6824997257391767,2.841786606203725,0.5920570256986284,0.5538124026679476,0.6057737386770035
ERCC-00057,0.0,,,,,
ERCC-00058,1.1099738415239582,2.511873993982597,1.674498166077861,1.5000756912538773,0.13359479695230417,0.17120813855076558
ERCC-00059,2.9615723513387695,-2.3453429725479733,1.0145612343254513,-2.311682028840098,0.02079521245793309,0.030636402621777636
ERCC-00060,10.723012634826695,-0.015013543551933305,0.3861356585245027,-0.0388815257552304,0.9689848457419635,0.9760288521069782
ERCC-00061,0.0,,,,,
ERCC-00062,1.2449359499634076,-1.008995225581635,1.3204082537330903,-0.7641539824739653,0.44477548588932747,0.5008100275461734
ERCC-00067,0.27993801478281477,-1.317906066196471,3.0817464253603455,-0.4276490938226267,0.6689066173734732,0.7130635039413978
ERCC-00069,0.37263282258115143,-0.5907747075641733,2.6563687660763264,-0.22239935776567488,0.824003011731929,0.8513890489746587
ERCC-00071,16.74947146926981,-0.00830264052110212,0.2978908154775168,-0.02787142164082182,0.9777647018121929,0.9820625686333454
ERCC-00073,0.025520197729741557,-0.3283783593267159,5.798993627092305,-0.05662678396343908,0.9548424982553028,0.9649779338847266
ERCC-00074,1240.8345642735212,0.007004433594457167,0.17726214970004572,0.03951454727537562,0.9684801555265173,0.9757394864982769
ERCC-00075,0.0,,,,,
ERCC-00076,20.872546512347874,-0.1695390160738686,0.27671569770686594,-0.6126830442899805,0.5400859360273813,0.5921767580722487
ERCC-00077,0.4237903494320003,1.1959592908001733,1.9630445025536238,0.60923697310194,0.5423673765855104,0.5945355987037138
ERCC-00078,7.815525706048276,0.10421159902278626,0.5029258450555879,0.20721066544366565,0.835845338253155,0.8610940477495307
ERCC-00079,9.17308812692206,-0.9603326223871342,0.470153334329953,-2.042594516012034,0.04109259443502466,0.057605262750939475
ERCC-00081,0.09191209791497525,1.1514228433649727,6.010827713049612,0.19155811783878177,0.8480883519883333,0.8709581502452802
ERCC-00083,0.01916072694050047,0.12234286387510192,5.843524104045337,0.020936486561321233,0.9832963209294645,0.9863179927807801
ERCC-00084,4.06131575250464,-0.6316450992679095,0.6156362435442349,-1.0260037577247096,0.30488981282119976,0.35910990840022755
ERCC-00085,0.49354551586299883,0.0396748455805625,2.403592408090029,0.01650647815620677,0.9868303339715699,0.9892113678986784
ERCC-00086,0.07666202409268957,0.08534879656883859,5.654654012614584,0.015093548849927819,0.9879575476489705,0.9899070363419853
ERCC-00092,10.103887827601126,-0.13501693200177084,0.5825239625423785,-0.23177918967058525,0.8167095211906289,0.845190786195918
ERCC-00095,2.8137024412524494,-1.6205321815763374,0.9182966822324549,-1.7647152744107604,0.07761163017405907,0.10325622995500727
ERCC-00096,2661.6937398333,-0.12319084043261525,0.1556989102431307,-0.7912119631424993,0.42882031159556855,0.48531669737289457
ERCC-00097,0.0,,,,,
ERCC-00098,0.0,,,,,
ERCC-00099,6.22670923505713,-0.14211099499276836,0.6149992740147402,-0.231075061381881,0.8172564889929667,0.8455653508485075
ERCC-00104,0.03157263559332669,0.1223419183527583,5.843523996034501,0.02093632514143542,0.9832964496956749,0.9863179927807801
ERCC-00108,71.35008426861405,-0.12155280954250505,0.23579115539708742,-0.5155104708563064,0.6061963545612548,0.6550762214104834
ERCC-00109,0.0,,,,,
ERCC-00111,124.78549986878477,-0.13174634890821055,0.20797291608244067,-0.6334783941577573,0.5264212856955923,0.579558004246894
ERCC-00112,65.41793703763281,-0.2601205752826484,0.19170076835885663,-1.3569094037000022,0.17480999852624823,0.21903880194620262
ERCC-00113,1405.9843258599822,-0.05445440182842524,0.13235381095947812,-0.41143055446357474,0.6807568533051065,0.7236703465001947
ERCC-00116,35.48899147200775,-0.25304191367617224,0.24952155220507322,-1.0141084465048764,0.3105310080767427,0.36472030504001907
ERCC-00117,0.0,,,,,
ERCC-00120,0.0,,,,,
ERCC-00123,0.6475231606789897,5.475070718729991,5.764756344473019,0.9497488517410168,0.3422398808198994,0.3975689515370972
ERCC-00126,1.4201255651242886,0.46786372274894156,1.1895644275986121,0.39330675320665365,0.6940929309962229,0.7354520506962066
ERCC-00130,1625.3561170963476,-0.11616445183464025,0.1457252556693399,-0.797147009974887,0.4253656569448666,0.4820037322682967
ERCC-00131,2.543120744902437,-0.3653959638263924,0.7469228961769087,-0.4892017177364026,0.6246988935487835,0.6718931380367005
ERCC-00134,0.012760098864870778,0.22306930482027573,5.8554198232881784,0.03809621027224801,0.9696109728831485,0.9760288521069782
ERCC-00136,106.37453766544047,-0.06514802296190157,0.1807731992987377,-0.3603854067672989,0.7185589382093027,0.7573372572916313
ERCC-00137,0.35352179884542534,-0.39854580962767805,2.8467310004248874,-0.1400012187903224,0.8886590274177921,0.9061070404505377
ERCC-00138,0.0,,,,,
ERCC-00142,0.0,,,,,
ERCC-00143,0.6869561638624252,-0.16140342056845106,1.5775588405362577,-0.10231213975738959,0.9185089197416445,0.9334191156814133
ERCC-00144,0.7403016804020653,-0.9548574322363628,1.3601113252745956,-0.7020435860598283,0.48265198216170535,0.536932706543085
ERCC-00145,222.8924444370125,-0.06593780297994957,0.12275571795576992,-0.5371464896136863,0.5911664301852755,0.6409562481486855
ERCC-00147,0.0,,,,,
ERCC-00148,0.5063487846788499,-0.47671531914940096,1.5874101936880798,-0.3003101032391844,0.7639406274343603,0.7979905525428632
ERCC-00150,0.33060618004499887,0.42139566128901745,2.2069126787104008,0.19094351369409776,0.8485698483082773,0.8712568426800331
ERCC-00154,0.225997800258442,2.99484142497422,4.578966196839357,0.6540431390477215,0.5130840131447747,0.56596522811287
ERCC-00156,0.0,,,,,
ERCC-00157,2.4475017642197496,0.2274286430948856,0.8555798642245713,0.2658181341154033,0.790379276508405,0.8224119521046018
ERCC-00158,0.05042517390287463,1.1514228433836997,6.0108277130757894,0.19155811784106305,0.8480883519865462,0.8709581502452802
ERCC-00160,3.747567338796847,-0.5774817697649148,0.7286328497978709,-0.7925552216388725,0.4280370063491472,0.4846621363273444
ERCC-00162,3.405174071770521,0.7318389004068003,0.7882227118606959,0.9284671570541343,0.3531652965769848,0.4081854844099192
ERCC-00163,3.7311971515613123,0.15903863674896349,0.6769163277055716,0.23494578316352593,0.8142508141231569,0.8430281423975593
ERCC-00164,0.3159753112481405,1.1514201990962956,5.474796513752315,0.21031287577611454,0.8334234866005551,0.8589863179441897
ERCC-00165,17.31670696502122,-0.5635630711415941,0.31843644272278254,-1.7697819581291094,0.07676347053970103,0.10227669398438301
ERCC-00168,0.1467976493191585,0.22306863192790052,5.855416052260319,0.03809611988917357,0.969611044946096,0.9760288521069782
ERCC-00170,0.5841873378822001,0.48285364016668264,2.014014181478043,0.2397468918576961,0.8105264804049147,0.8397429189413875
ERCC-00171,221.3319430863211,-0.19872648027713247,0.1541996067400624,-1.288761265209515,0.19748109609707898,0.24352094149046166
KanR,722.1882847236242,0.9275309832400874,0.10924819130073793,8.490126675752318,2.0641198432946982e-17,9.765039010203697e-17
TetR,181.78422130750724,0.14493762407789948,0.14259415415634547,1.0164345441467717,0.3094225027212526,0.36351178340260265
