contrast,lobe,alpha,genes_tested,regulon_tested,lobe_size,regulon_in_lobe,regulon_out,other_in_lobe,other_out,pct_regulon_in_lobe,pct_other_in_lobe,pct_of_lobe_that_is_regulon,pct_of_universe_that_is_regulon,odds_ratio,p_greater,p_less,p_two_sided,q_across_all_tests
from counts/deseq2_results_disrupted.csv,up,0.05,4333,301,1306,106,195,1200,2832,35.22,29.76,8.12,6.95,1.283,0.028320437944087604,0.9789713848880244,0.050707245698421166,0.10141449139684233
from counts/deseq2_results_disrupted.csv,down,0.05,4333,301,1138,77,224,1061,2971,25.58,26.31,6.77,6.95,0.963,0.6324788647757145,0.41996645383027725,0.8386440614903499,1.0
from counts/deseq2_results_regulated.csv,up,0.05,4333,301,1155,113,188,1042,2990,37.54,25.84,9.78,6.95,1.725,1.1778739738349988e-05,0.9999933584655969,1.887082779891523e-05,5.489695359684431e-05
from counts/deseq2_results_regulated.csv,down,0.05,4333,301,1278,75,226,1203,2829,24.92,29.84,5.87,6.95,0.78,0.9707841795844715,0.03943884376788498,0.07678603775040427,0.14453842400076097
exp0224/deseq2_results_casp-t0_vs_exp-t0.csv,up,0.05,4481,341,1140,159,182,981,3159,46.63,23.7,13.95,7.61,2.813,9.419756886876329e-19,1.0,1.3951829307092333e-18,4.4645853782695465e-17
exp0224/deseq2_results_casp-t0_vs_exp-t0.csv,down,0.05,4481,341,1099,66,275,1033,3107,19.35,24.95,6.01,7.61,0.722,0.9923302007325782,0.01111152104362309,0.02177714269467343,0.04977632615925355
exp0224/deseq2_results_casp-t1_vs_casp-t0.csv,up,0.05,1382,136,8,0,136,8,1238,0.0,0.64,0.0,9.84,0.0,1.0,0.4356281216441612,1.0,1.0
exp0224/deseq2_results_casp-t1_vs_casp-t0.csv,down,0.05,1382,136,0,0,136,0,1246,0.0,0.0,,9.84,inf,1.0,1.0,1.0,1.0
exp0224/deseq2_results_casp-t1_vs_exp-t0.csv,up,0.05,4570,341,1107,149,192,958,3271,43.7,22.65,13.46,7.46,2.65,1.6128600501148092e-16,1.0,2.889586968386566e-16,3.232386407278526e-15
exp0224/deseq2_results_casp-t1_vs_exp-t0.csv,down,0.05,4570,341,1091,64,277,1027,3202,18.77,24.28,5.87,7.46,0.72,0.9921504943104629,0.01140138780620271,0.020833834803084837,0.04977632615925355
exp0224/deseq2_results_casp-t2_vs_casp-t0.csv,up,0.05,2975,259,10,0,259,10,2706,0.0,0.37,0.0,8.71,0.0,1.0,0.40160592755315405,1.0,1.0
exp0224/deseq2_results_casp-t2_vs_casp-t0.csv,down,0.05,2975,259,2,0,259,2,2714,0.0,0.07,0.0,8.71,0.0,1.0,0.8334348668855571,1.0,1.0
exp0224/deseq2_results_casp-t2_vs_exp-t0.csv,up,0.05,4570,341,1133,151,190,982,3247,44.28,23.22,13.33,7.46,2.628,2.2209486208021525e-16,1.0,3.030362256823618e-16,3.232386407278526e-15
exp0224/deseq2_results_casp-t2_vs_exp-t0.csv,down,0.05,4570,341,1077,69,272,1008,3221,20.23,23.84,6.41,7.46,0.811,0.9440352172795664,0.07317743790916151,0.14443358469320952,0.2567708172323725
exp0224/deseq2_results_vapc-t0_vs_exp-t0.csv,up,0.05,3240,279,19,1,278,18,2943,0.36,0.61,5.26,8.61,0.588,0.8201931799474118,0.5036790433277394,1.0,1.0
