,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
aaea,24.48718294890824,1.0430830211638142,0.9822334232461324,1.0619502416407123,0.28825827483704336,0.48522074366177864
aaeb,22.462537144565925,0.811780898911343,0.9132909715118657,0.888852429546651,0.3740823941843501,0.5691070570060692
aaer,21.340450867554054,1.4880560326343697,0.8822990928608923,1.6865664315819309,0.0916867512200437,0.2295235227030191
aaex,2.5061450464237316,-2.4982307468551994,2.0519781749580104,-1.217474326648879,0.22342379870106532,
aas,42.70077074630751,0.6763079811650381,0.7899581498129021,0.8561314056006871,0.3919250989447395,0.5869044506403887
aat,17.9530948893234,-0.0875887864890988,1.0520212193629803,-0.08325762339863786,0.933646694887055,0.9579637438285958
abgb,8.981158205508905,-1.1161229892035232,1.1685584748624844,-0.9551280600954677,0.33951294042407765,0.5328645266420745
abgr,23.154756298800066,0.01386713924671762,0.9848488524762059,0.014080474594503987,0.9887657779291991,0.9920793361662271
abgt,7.1755046500036075,1.5318500205490015,1.2962371378239212,1.1817668047380736,0.23729824267318833,
abpa,41.16251306186944,0.5685276485859496,0.8452541099063923,0.6726115163745389,0.5011944731600261,0.6797287894774698
abpb,60.41617607474668,0.36604866453630425,0.8561868057858365,0.4275336434323263,0.668990685909741,0.8096760504704394
abrb,8.62254614251579,-0.5165252936882725,1.4370806418811533,-0.359426798075949,0.7192758303272336,
acca,177.18485847340955,-0.7960802634391106,0.639704379761582,-1.244450231426913,0.21333390544365005,0.40045248457572935
accb,161.52080940168068,-3.934553967909146,0.6912594404074116,-5.691862906914103,1.2566073317284407e-08,8.178874676510764e-07
accc,278.04648214365983,-1.5573848283153924,0.6190261996134525,-2.5158625423090215,0.01187414834118191,0.05924081485699694
accd,82.22003307019729,-1.870708080424206,0.8373638993425863,-2.2340443406897497,0.025480155687016386,0.09730559454965186
acea,638.6251165112509,-5.814339309399905,0.857170341776993,-6.783178355595276,1.175603531289283e-11,2.664239148495521e-09
aceb,323.34934868315884,-2.872584982621131,0.7780900241520983,-3.691841423813973,0.00022263626856029617,0.002873159431334167
acee,192.4387524476281,-3.3646853370005534,0.7068018266807758,-4.760436674027159,1.931745407768256e-06,5.7836457508581584e-05
acef,281.16221102209823,-5.38311351373885,0.731541862546282,-7.358585734248777,1.858688660162161e-13,6.183237609472789e-11
acek,20.28219131087315,-3.111915080512274,1.0062290055016425,-3.092650940787449,0.0019837732108040204,0.015548212023945646
acka,42.12163468730323,-1.0512400900432133,0.7454702020928688,-1.4101705032500444,0.15848934326878827,0.3324359251724864
acna,83.73564766624459,1.3797422152882586,0.6790327774685324,2.0319228483078615,0.042161467068077996,0.13720807869763643
acnb,115.63606614022093,-2.8038106530591818,0.7009129423383014,-4.0002266810845954,6.328183760408853e-05,0.0010644147291384329
acpp,622.6864049459141,-1.9747219181171238,0.6079748432473436,-3.2480322829965247,0.0011620608517943676,0.010232971147859813
acps,6.624640197114694,-2.9423940504253423,1.6367616271486936,-1.7976924688484506,0.07222575554427291,
acra,42.979533839999796,0.03735222547060633,0.8401142219006699,0.044460889361092895,0.9645370268982121,0.9792133326801021
acrb,3.0975704063922342,-0.42500900915670203,1.8664043581971168,-0.22771539687533,0.819867501907674,
acrd,6.356627347067216,0.699771772384823,1.3359915201810282,0.5237845913048934,0.6004283717945935,
acre,20.094232438744985,-1.027459276461543,0.910618334424577,-1.128309454817641,0.2591892518665204,0.4546061043282731
acrf,13.354788209937249,1.787249110320864,1.098733288741284,1.6266450908831098,0.10381249683529165,0.24825448524350094
acrr,33.13144396883454,-0.6258206221878995,0.8285240496592028,-0.7553439425751354,0.4500426389784028,0.6381034806117416
acrz,17.277163405251695,-1.3470787810305032,0.9783531660305204,-1.376883959496974,0.16854812724053236,0.3463507844599546
acs,109.79643927447326,-1.3380608081214844,0.8558254838964192,-1.5634739012789554,0.11794116970122086,0.2728870649810319
actp,23.642218900387334,-2.0720818144486146,1.0191219905052127,-2.033202927376157,0.04203202543862124,0.1369631015753218
