,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
aaea,24.48718294890824,1.805145002443539,0.9779409423215145,1.8458630008457784,0.06491210010155937,0.12865054609836177
aaeb,22.462537144565925,1.7233477395691752,0.9058706489585665,1.9024214346169848,0.05711608099467926,0.1160234004524846
aaer,21.340450867554054,0.1765246674976614,0.9150899347665118,0.19290417344903074,0.8470340164853074,0.8907052195936166
aaex,2.5061450464237316,-1.3146924162654423,1.9515316464378296,-0.67367209681953,0.5005198054402453,
aas,42.70077074630751,2.3710849408635903,0.7768456034978145,3.0521958677343033,0.002271738111853661,0.008397475510743106
aat,17.9530948893234,1.2624401599920456,1.034709792492877,1.2200910527293927,0.22243035996902227,0.3379139263921713
abgb,8.981158205508905,-0.23174494474950685,1.1493735614393543,-0.20162717546703782,0.8402081985771142,
abgr,23.154756298800066,-0.09998879368681136,0.9941063743930323,-0.10058158388518647,0.9198826164886323,0.9433844753481836
abgt,7.1755046500036075,0.7444047331730101,1.3363815122819247,0.55703010430151,0.5775068610388815,
abpa,41.16251306186944,3.218546174223046,0.8174331612299901,3.937381460497768,8.237560193181072e-05,0.0005114824956550339
abpb,60.41617607474668,3.04763289650698,0.8363313562066714,3.6440495431500466,0.0002683817241984628,0.0013658712749386054
abrb,8.62254614251579,2.633049800107364,1.3209216270161355,1.9933429404553167,0.046223907375190214,
acca,177.18485847340955,-2.9088292677594474,0.6590914359028593,-4.4133926027650086,1.0176321081302215e-05,9.635387070335985e-05
accb,161.52080940168068,-5.150846066504801,0.7377278313029901,-6.982041137593075,2.9092190758529745e-12,1.9741129443288042e-10
accc,278.04648214365983,-4.092817723057749,0.6437501076492375,-6.357774040618596,2.0469827741645502e-10,8.839243797528739e-09
accd,82.22003307019729,-2.3883239674848644,0.8484351400036321,-2.8149753055662456,0.004878098216061245,0.015906842008895365
acea,638.6251165112509,-7.242305808164842,0.898442842205948,-8.060953316053805,7.570173789900099e-16,1.1986108500675157e-13
aceb,323.34934868315884,-4.821762180186236,0.8001240714124143,-6.0262681157369125,1.6778875335830847e-09,5.831682281355843e-08
acee,192.4387524476281,-4.056615362849809,0.7224742092731483,-5.614892975807404,1.966839437375739e-08,5.288200374076279e-07
acef,281.16221102209823,-5.4858389405544035,0.7458637089063704,-7.355015232740128,1.9090534573046898e-13,1.8136007844394555e-11
acek,20.28219131087315,-3.0379139799172172,1.0288217750698903,-2.952808789171326,0.0031489695011861123,0.011107132522748045
acka,42.12163468730323,-2.311179067334115,0.7822687895420449,-2.9544564454464854,0.0031322036220075306,0.011061685653929941
acna,83.73564766624459,-1.3120136786476315,0.7104743940905086,-1.8466727155271578,0.06479458837237198,0.12851539846904098
acnb,115.63606614022093,-5.172059240673792,0.7850393477585133,-6.588280263201246,4.449501499906799e-11,2.3274712245552147e-09
acpp,622.6864049459141,-4.722554122627478,0.624604102566509,-7.560875926402694,4.0036400766572105e-14,4.07513364945466e-12
acps,6.624640197114694,0.94243502238257,1.3200568874846716,0.7139351578842571,0.4752672759575445,
acra,42.979533839999796,-1.0193524583658569,0.8587677558198454,-1.186994331654552,0.23522985636477944,0.35081375752989086
acrb,3.0975704063922342,-1.1906260569820026,1.9593258424150275,-0.6076712873415989,0.5434055099745181,
acrd,6.356627347067216,0.25552996669173655,1.3693348385763904,0.18660882604680873,0.8519673461274723,
acre,20.094232438744985,-2.2295424205286696,0.9682871852162479,-2.3025631801899196,0.021303432800665406,0.05351045918069951
acrf,13.354788209937249,1.5726641641886283,1.1112490577180791,1.415222045198448,0.15700340283963157,0.2590965246629705
acrr,33.13144396883454,-0.4300957517030732,0.8322792704287624,-0.5167685499141439,0.6053177368575524,0.7042090718292654
acrz,17.277163405251695,-0.8801944215297295,0.9775046510028693,-0.9004503667851559,0.3678806273510299,0.49112389867327955
acs,109.79643927447326,-1.8896462704666337,0.8626991557342342,-2.1903884545457513,0.028496076626273924,0.06779116726617752
actp,23.642218900387334,-0.273019473481724,0.9842077369821337,-0.27740025121005535,0.7814727887539601,0.8445951641823233
acts,34.08075039783893,-0.2842181674137487,0.9205708853585526,-0.3087412082373741,0.7575183945059373,0.8267179369243524
add,7.873809739820253,-1.303041536533523,1.3581186986149032,-0.9594459879408543,0.3373341170792772,
aded,9.345121617567722,1.3589440411709623,1.2754353693499723,1.0654746401329223,0.286661195705458,
adep,13.36042610886257,-0.6734879486231324,1.2226594082980724,-0.550838560642673,0.5817443478186948,0.6842638841449773
adeq,26.485165413945946,2.376008050524742,0.8941761666030954,2.6572035123134725,0.007879186241459026,0.023612703247274682
adhe,238.4278513074994,0.0676978147019426,0.6764500119655003,0.10007807451320626,0.9202823419341515,0.943454918889328
adhp,158.89529906159672,0.19106306807394635,0.7238178713261512,0.26396566821966966,0.7918063735254631,0.8522511493962383
adia,37.081150256462195,3.136842909144869,0.9009384540685632,3.481750495807063,0.0004981476121645133,0.0023427734235459785
adic,11.302046290343185,4.052033368085187,1.3449844674665297,3.0126990058983885,0.002589355997311255,0.009424858994044797
adiy,25.839345240164445,4.722639184888851,1.0813951903451737,4.367172359423401,1.2586540121159566e-05,0.00011351784602944545
adk,26.10966380589878,-7.156018306796946,1.8184442891745374,-3.9352419809601873,8.31129127820862e-05,0.0005143255454567064
aega,33.30408202782899,2.767465621122308,0.8837726467499435,3.1314225794378316,0.001739616466616781,0.006690832563910696
aer,4.151393267037444,-2.1636404327789753,1.8856361479292667,-1.1474326238150463,0.2512028644157758,
aes,14.480782347797463,2.46074901402443,1.075375763752507,2.288268991145648,0.022121861155065054,0.05506314785321869
afub,10.495503838047787,2.204346318614961,1.1984247167480708,1.8393698726411964,0.06586080224517239,0.13025904677220076
afuc,13.207198255495998,3.8715751799302804,1.2993180256484689,2.9796978903590894,0.0028853279407580774,0.010330633958744373
agab,12.505488078753089,2.039774298888381,1.1744947323241681,1.7367249445656863,0.08243573259575457,0.15559062112443744
agac,4.949303899349906,0.04088575847135059,1.612967178421556,0.025348165181737454,0.9797772559981898,
agai,5.807980961563367,1.5310958379531463,1.4964750905841797,1.023134863778756,0.30624408490025556,
agar,7.87405152387852,-2.238133150152977,1.3864825539873364,-1.614252659520604,0.10647263399301868,
agav,3.855104437305306,1.0055935309426647,1.714216462770629,0.5866199239023516,0.5574589985061438,
agaw,1.0110446682958376,-1.6001130718369594,3.257381693367762,-0.4912267650717422,0.6232660705947013,
agp,42.7416597163242,-0.8386855197357644,0.9082914179972011,-0.9233661169947869,0.355816442937809,0.4808330309970392
ahpc,369.99892475634255,-4.816524369493202,0.7181856161011162,-6.706517453859817,1.993240165204371e-11,1.1593335654760117e-09
ahpf,34.26979478090242,-2.6100914119975505,0.9487169379100742,-2.7511803655021834,0.005938093824210499,0.01880396377666658
ahr,52.81953461820885,1.0681254278367085,0.7613137196186059,1.4030029937879032,0.16061594620344533,0.26429298307148913
aidb,21.12948732952383,-0.9858885854710058,1.0264421045279561,-0.9604911773610453,0.3368080692097729,0.46127006114745445
ais,39.72629031527114,4.441649518919143,0.923298742536644,4.810630962971189,1.5045458310959973e-06,1.9490707357379964e-05
alaa,53.44126131964944,-2.6000390553130925,0.9417507344233602,-2.760856944704283,0.005764992225830658,0.01837833092127223
alac,8.154373561140865,0.8222484501232181,1.386458842722826,0.5930565154811436,0.5531433305938165,
alae,14.508429260647958,2.8028494834192315,1.1541311687247588,2.4285363391720898,0.01515990580590548,0.04068336303844691
alas,124.90282411567716,-1.91599833158565,0.6553217328711369,-2.9237521594029197,0.003458399855243742,0.011932735578020177
alat,121.16948749395864,0.10530210295227235,0.8298547360805916,0.12689221182205304,0.8990257108782813,0.930026597460291
alda,454.1231010670944,-4.282012468019588,0.9547743756832725,-4.48484225915177,7.2967894661918156e-06,7.146340198847654e-05
aldb,6.767057368291931,1.6035601857886155,1.3960213161954835,1.148664541999064,0.2506943321705498,
alkb,37.95240220822832,3.3775700884470465,0.8774148428368288,3.8494562931335854,0.00011838030380362431,0.0006899465559106939
alla,5.873982633035587,0.2673331374103035,1.341779550160054,0.19923774913577624,0.8420767717704538,
allb,12.077823317205501,1.5404671645935664,1.1178424419100572,1.3780718165982055,0.16818111608592556,0.2742478634101452
