,EXP_biorep_t0A,adam_matrix,sample_13a,sample_15a,sample_13b,sample_15b
aaea,8,9,20,36,24,46
aaeb,6,18,17,31,23,43
aaer,5,30,26,73,7,22
aaex,1,15,1,1,2,1
aas,7,35,23,43,45,120
aat,1,47,7,27,24,27
abgb,6,19,3,12,5,14
abgr,16,16,15,50,12,29
abgt,1,11,9,21,2,12
abpa,3,28,12,29,69,102
abpb,11,19,19,36,107,129
abrb,0,12,2,4,17,17
acca,140,581,137,335,27,48
accb,202,812,20,59,5,20
accc,234,1329,176,331,19,48
accd,19,668,43,70,22,36
acea,1231,1025,26,61,5,20
aceb,513,655,98,184,18,36
acee,105,1684,40,85,15,44
acef,168,2734,15,36,8,28
acek,28,57,4,11,2,10
acka,32,153,24,76,8,21
acna,24,144,142,266,13,36
acnb,75,920,34,77,4,12
acpp,601,3005,318,603,35,65
acps,3,12,1,1,11,8
acra,9,178,51,75,21,21
acrb,0,18,4,3,2,1
acrd,1,16,5,19,2,11
acre,14,80,11,38,2,14
acrf,2,13,7,52,8,24
acrr,23,55,18,55,18,39
acrz,7,80,12,12,6,24
acs,128,125,69,123,41,48
actp,22,26,6,15,23,22
acts,23,31,24,76,11,50
add,2,16,13,25,1,4
aded,1,10,11,31,2,19
adep,1,103,0,5,11,16
adeq,5,19,15,23,40,49
adhe,69,537,294,374,164,204
adhp,21,415,177,410,91,151
adia,6,14,8,31,71,69
adic,0,5,5,12,23,18
adiy,1,5,8,36,47,53
adk,3,338,2,3,0,1
aega,7,15,8,21,57,73
aer,0,34,4,4,0,4
aes,3,10,6,8,26,24
afub,1,15,1,11,18,21
afuc,1,4,4,20,29,13
agab,1,7,19,40,5,19
agac,0,14,7,14,1,7
agai,1,4,7,19,2,10
agar,1,77,2,2,3,4
agav,0,8,5,8,3,5
agaw,1,4,0,0,1,0
agp,32,46,44,71,9,52
ahpc,538,1281,73,122,24,39
ahpf,9,234,21,65,3,19
ahr,6,61,74,162,31,51
aidb,2,62,31,71,3,15
