GO_ID,Term,Category,p_value,FDR,Ratio_in_study,Ratio_in_pop
GO:0002181,cytoplasmic translation,BP,3.0219636424909237e-28,3.490368007077017e-25,"(23, 39)","(45, 1507)"
GO:0006412,translation,BP,4.1093412149975307e-26,2.373144551661074e-23,"(24, 39)","(61, 1507)"
GO:0000028,ribosomal small subunit assembly,BP,2.552138223792023e-10,9.825732161599287e-08,"(8, 39)","(14, 1507)"
GO:0000027,ribosomal large subunit assembly,BP,4.640166545469865e-10,1.3398480900044235e-07,"(9, 39)","(21, 1507)"
GO:0006417,regulation of translation,BP,3.687694610170006e-06,0.0008518574549492713,"(5, 39)","(11, 1507)"
GO:0031564,transcription antitermination,BP,6.202501766788963e-06,0.0011939815901068755,"(5, 39)","(12, 1507)"
GO:0032784,regulation of DNA-templated transcription elongation,BP,1.2711680751505816e-05,0.00209742732399846,"(4, 39)","(7, 1507)"
GO:0006353,DNA-templated transcription termination,BP,1.605370224257432e-05,0.002317753261271667,"(3, 39)","(3, 1507)"
GO:0046677,response to antibiotic,BP,2.1478113254947043e-05,0.002756357867718204,"(7, 39)","(36, 1507)"
GO:0090605,submerged biofilm formation,BP,0.0001548267497861092,0.015752790475312185,"(3, 39)","(5, 1507)"
GO:0048870,cell motility,BP,0.0001548267497861092,0.015752790475312185,"(3, 39)","(5, 1507)"
GO:0006879,intracellular iron ion homeostasis,BP,0.00016366535558765905,0.015752790475312185,"(4, 39)","(12, 1507)"
