GO_ID,Term,Category,p_value,FDR,Ratio_in_study,Ratio_in_pop
GO:0002181,cytoplasmic translation,BP,5.64468767704728e-41,6.547837705374845e-38,"(34, 86)","(38, 1471)"
GO:0006412,translation,BP,4.1834225273377555e-32,2.4263850658558982e-29,"(36, 86)","(61, 1471)"
GO:0000027,ribosomal large subunit assembly,BP,3.613611230718005e-15,1.397263009210962e-12,"(13, 86)","(15, 1471)"
GO:0000028,ribosomal small subunit assembly,BP,6.907137684933161e-11,2.0030699286306168e-08,"(10, 86)","(13, 1471)"
GO:0031564,transcription antitermination,BP,1.1463615309474482e-06,0.000265955875179808,"(7, 86)","(12, 1471)"
GO:0032784,regulation of DNA-templated transcription elongation,BP,3.496716202301453e-06,0.0006760317991116142,"(5, 86)","(6, 1471)"
GO:0006633,fatty acid biosynthetic process,BP,1.2273642107079153e-05,0.0020339178348874024,"(6, 86)","(11, 1471)"
GO:0044780,bacterial-type flagellum assembly,BP,2.970330648272133e-05,0.004306979439994593,"(5, 86)","(8, 1471)"
GO:0090605,submerged biofilm formation,BP,5.2203413311134064e-05,0.006055595944091552,"(4, 86)","(5, 1471)"
GO:0048870,cell motility,BP,5.2203413311134064e-05,0.006055595944091552,"(4, 86)","(5, 1471)"
GO:0046677,response to antibiotic,BP,0.00016268512074209428,0.017155885460075397,"(10, 86)","(45, 1471)"
GO:0017148,negative regulation of translation,BP,0.0003335386153145073,0.02976190721267911,"(4, 86)","(7, 1471)"
GO:0006352,DNA-templated transcription initiation,BP,0.0003335386153145073,0.02976190721267911,"(4, 86)","(7, 1471)"
GO:0006417,regulation of translation,BP,0.0005398541334651881,0.04473077105854416,"(5, 86)","(13, 1471)"
GO:2000142,regulation of DNA-templated transcription initiation,BP,0.0006373739241462931,0.04929025013398,"(4, 86)","(8, 1471)"
