GO_ID,Term,Category,p_value,FDR,Ratio_in_study,Ratio_in_pop
GO:0002181,cytoplasmic translation,BP,5.800543658635974e-56,6.6996279257245505e-53,"(43, 88)","(45, 1507)"
GO:0006412,translation,BP,7.769294337103451e-50,4.486767479677243e-47,"(46, 88)","(61, 1507)"
GO:0000027,ribosomal large subunit assembly,BP,9.625071372494559e-23,3.7056524784104055e-20,"(19, 88)","(21, 1507)"
GO:0000028,ribosomal small subunit assembly,BP,6.192637800173728e-14,1.788124164800164e-11,"(12, 88)","(14, 1507)"
GO:0031564,transcription antitermination,BP,1.142938642652352e-06,0.0002640188264526933,"(7, 88)","(12, 1507)"
GO:0032784,regulation of DNA-templated transcription elongation,BP,1.1636031469615813e-05,0.002018411381494264,"(5, 88)","(7, 1507)"
GO:0006417,regulation of translation,BP,1.2232796251480387e-05,0.002018411381494264,"(6, 88)","(11, 1507)"
GO:0046677,response to antibiotic,BP,2.005453568293829e-05,0.0028953735892242156,"(10, 88)","(36, 1507)"
GO:0006633,fatty acid biosynthetic process,BP,2.332265386030841e-05,0.0029930739120729126,"(6, 88)","(12, 1507)"
GO:0006353,DNA-templated transcription termination,BP,0.00019276387671420675,0.02226422776049088,"(3, 88)","(3, 1507)"
GO:0042254,ribosome biogenesis,BP,0.0003469708907196682,0.036431943525565155,"(5, 88)","(12, 1507)"
