GO_ID,Term,Category,p_value,FDR,Ratio_in_study,Ratio_in_pop
GO:0002181,cytoplasmic translation,BP,1.3161420685348949e-53,1.7070362628897586e-50,"(45, 98)","(52, 1712)"
GO:0006412,translation,BP,4.406408056055491e-41,2.857555624351986e-38,"(49, 98)","(94, 1712)"
GO:0000027,ribosomal large subunit assembly,BP,5.749472808143325e-20,2.485688744053964e-17,"(19, 98)","(25, 1712)"
GO:0006526,L-arginine biosynthetic process,BP,1.4266395024618337e-13,4.625878586732496e-11,"(11, 98)","(12, 1712)"
GO:0000028,ribosomal small subunit assembly,BP,3.1078097321347487e-12,8.061658445157538e-10,"(12, 98)","(17, 1712)"
GO:0042450,arginine biosynthetic process via ornithine,BP,5.573662821415095e-07,0.00012048401132292297,"(5, 98)","(5, 1712)"
GO:0031564,transcription antitermination,BP,1.3785725217633217e-06,0.0002554297943895755,"(8, 98)","(17, 1712)"
GO:0017148,negative regulation of translation,BP,5.277888524976586e-06,0.0008556776771118291,"(6, 98)","(10, 1712)"
GO:0042254,ribosome biogenesis,BP,3.081824978550412e-05,0.004441252219088761,"(7, 98)","(18, 1712)"
GO:0046677,response to antibiotic,BP,5.8282147328196384e-05,0.006877806460098399,"(11, 98)","(49, 1712)"
GO:0032784,regulation of DNA-templated transcription elongation,BP,5.833143489674818e-05,0.006877806460098399,"(5, 98)","(9, 1712)"
GO:0042777,proton motive force-driven plasma membrane ATP synthesis,BP,0.00030973535109395773,0.030902057720681782,"(4, 98)","(7, 1712)"
GO:0006414,translational elongation,BP,0.00030973535109395773,0.030902057720681782,"(4, 98)","(7, 1712)"
GO:0006417,regulation of translation,BP,0.0004462416114849276,0.04134109786399651,"(6, 98)","(19, 1712)"
GO:0006754,ATP biosynthetic process,BP,0.0005923160062391064,0.048014616255757564,"(4, 98)","(8, 1712)"
GO:0015986,proton motive force-driven ATP synthesis,BP,0.0005923160062391064,0.048014616255757564,"(4, 98)","(8, 1712)"
