GO_ID,Term,Category,p_value,FDR,Ratio_in_study,Ratio_in_pop
GO:0002181,cytoplasmic translation,BP,1.8077202014161181e-68,2.9538148091139374e-65,"(46, 98)","(53, 3339)"
GO:0006412,translation,BP,9.008041181968826e-56,7.359569645668532e-53,"(50, 98)","(98, 3339)"
GO:0000027,ribosomal large subunit assembly,BP,5.969425390525555e-27,3.251347029372919e-24,"(20, 98)","(26, 3339)"
GO:0000028,ribosomal small subunit assembly,BP,1.1333382998118645e-15,4.629686954731467e-13,"(12, 98)","(17, 3339)"
GO:0006526,L-arginine biosynthetic process,BP,2.67562270577104e-15,8.743935002459758e-13,"(11, 98)","(14, 3339)"
GO:0017148,negative regulation of translation,BP,7.973302253530844e-07,0.0002004141832364854,"(6, 98)","(13, 3339)"
GO:0031564,transcription antitermination,BP,8.585674924451637e-07,0.0002004141832364854,"(7, 98)","(20, 3339)"
GO:0042450,arginine biosynthetic process via ornithine,BP,1.0277733216497363e-06,0.00020992270094695868,"(5, 98)","(8, 3339)"
GO:0046677,response to antibiotic,BP,1.0605477993293381e-05,0.0017849093226012848,"(11, 98)","(77, 3339)"
GO:0006417,regulation of translation,BP,1.0923557665858536e-05,0.0017849093226012848,"(6, 98)","(19, 3339)"
GO:0042254,ribosome biogenesis,BP,2.082912303903879e-05,0.003094071549617216,"(6, 98)","(21, 3339)"
GO:0006414,translational elongation,BP,2.2839286010339902e-05,0.003109949445074617,"(4, 98)","(7, 3339)"
GO:0042777,proton motive force-driven plasma membrane ATP synthesis,BP,4.4650798699030085e-05,0.005612261928785781,"(4, 98)","(8, 3339)"
GO:0006754,ATP biosynthetic process,BP,7.856439417103975e-05,0.008558281338365264,"(4, 98)","(9, 3339)"
GO:0015986,proton motive force-driven ATP synthesis,BP,7.856439417103975e-05,0.008558281338365264,"(4, 98)","(9, 3339)"
GO:0032784,regulation of DNA-templated transcription elongation,BP,0.00019662530215468007,0.020080358982546703,"(4, 98)","(11, 3339)"
GO:0042255,ribosome assembly,BP,0.00023500082929660068,0.0225877267688615,"(3, 98)","(5, 3339)"
GO:0090605,submerged biofilm formation,BP,0.0004599879192657724,0.04175668111557067,"(3, 98)","(6, 3339)"
