GO_ID,Term,Category,p_value,FDR,Ratio_in_study,Ratio_in_pop
GO:0002181,cytoplasmic translation,BP,1.4861595659394474e-31,1.8562132978583699e-28,"(30, 95)","(40, 1685)"
GO:0006412,translation,BP,2.1351826602730763e-25,1.3334215713405361e-22,"(32, 95)","(64, 1685)"
GO:0000027,ribosomal large subunit assembly,BP,1.4421523697798932e-12,6.004161032850289e-10,"(13, 95)","(20, 1685)"
GO:0006417,regulation of translation,BP,3.5462235424366147e-07,0.0001107308301125833,"(8, 95)","(15, 1685)"
GO:0000028,ribosomal small subunit assembly,BP,9.157766796003882e-07,0.00022876101456417697,"(7, 95)","(12, 1685)"
GO:0009408,response to heat,BP,2.1083071060615096e-05,0.0043887926257847095,"(9, 95)","(30, 1685)"
GO:0006353,DNA-templated transcription termination,BP,4.5500113882425145e-05,0.00811852031987843,"(4, 95)","(5, 1685)"
GO:0046677,response to antibiotic,BP,8.214106893567841e-05,0.012824274387582792,"(10, 95)","(43, 1685)"
GO:0006352,DNA-templated transcription initiation,BP,0.00010331052986445255,0.01433720575563347,"(5, 95)","(10, 1685)"
GO:0080135,regulation of cellular response to stress,BP,0.00017390349052944946,0.018837370973666976,"(3, 95)","(3, 1685)"
GO:1990145,maintenance of translational fidelity,BP,0.00017390349052944946,0.018837370973666976,"(3, 95)","(3, 1685)"
GO:2000142,regulation of DNA-templated transcription initiation,BP,0.00018098354818575155,0.018837370973666976,"(5, 95)","(11, 1685)"
