GO_ID,Term,Category,p_value,FDR,Ratio_in_study,Ratio_in_pop
GO:0002181,cytoplasmic translation,BP,6.041655491341165e-27,6.978112092499046e-24,"(29, 89)","(45, 1507)"
GO:0006412,translation,BP,2.0721817222722144e-24,1.1966849446122038e-21,"(31, 89)","(61, 1507)"
GO:0000027,ribosomal large subunit assembly,BP,1.6409360165616669e-10,6.317603663762418e-08,"(12, 89)","(21, 1507)"
GO:0000028,ribosomal small subunit assembly,BP,2.5877484044060507e-10,7.472123517722472e-08,"(10, 89)","(14, 1507)"
GO:0065002,intracellular protein transmembrane transport,BP,0.0001994881979949349,0.03233495366613914,"(3, 89)","(3, 1507)"
GO:0006886,intracellular protein transport,BP,0.0001994881979949349,0.03233495366613914,"(3, 89)","(3, 1507)"
GO:0006353,DNA-templated transcription termination,BP,0.0001994881979949349,0.03233495366613914,"(3, 89)","(3, 1507)"
GO:0006417,regulation of translation,BP,0.00022396504703819318,0.03233495366613914,"(5, 89)","(11, 1507)"
GO:0032784,regulation of DNA-templated transcription elongation,BP,0.0003475387120782293,0.038444766422171116,"(4, 89)","(7, 1507)"
GO:0031564,transcription antitermination,BP,0.0003661406325921059,0.038444766422171116,"(5, 89)","(12, 1507)"
GO:0042254,ribosome biogenesis,BP,0.0003661406325921059,0.038444766422171116,"(5, 89)","(12, 1507)"
