GO_ID,Term,Category,p_value,FDR,Ratio_in_study,Ratio_in_pop
GO:0071973,bacterial-type flagellum-dependent cell motility,BP,3.779094971905731e-18,4.901486178561733e-15,"(20, 92)","(34, 1712)"
GO:0006935,chemotaxis,BP,1.340493451037497e-16,8.693100029978168e-14,"(18, 92)","(30, 1712)"
GO:0044781,bacterial-type flagellum organization,BP,2.1296722861610625e-08,6.9361259200692335e-06,"(9, 92)","(16, 1712)"
GO:0097588,archaeal or bacterial-type flagellum-dependent cell motility,BP,2.1391290424269032e-08,6.9361259200692335e-06,"(8, 92)","(12, 1712)"
GO:0071978,bacterial-type flagellum-dependent swarming motility,BP,6.57182035646869e-07,0.0001704730200467978,"(7, 92)","(12, 1712)"
GO:0006221,pyrimidine nucleotide biosynthetic process,BP,1.5135844510404075e-06,0.0003271865054999014,"(6, 92)","(9, 1712)"
GO:0050920,regulation of chemotaxis,BP,7.833751534080621e-06,0.001287869994689919,"(4, 92)","(4, 1712)"
GO:0044780,bacterial-type flagellum assembly,BP,7.943685395157557e-06,0.001287869994689919,"(7, 92)","(16, 1712)"
GO:1902021,regulation of bacterial-type flagellum-dependent cell motility,BP,0.0001080252808185731,0.01273716265651721,"(4, 92)","(6, 1712)"
GO:0006207,'de novo' pyrimidine nucleobase biosynthetic process,BP,0.0001080252808185731,0.01273716265651721,"(4, 92)","(6, 1712)"
GO:0044205,'de novo' UMP biosynthetic process,BP,0.0001080252808185731,0.01273716265651721,"(4, 92)","(6, 1712)"
GO:0006090,pyruvate metabolic process,BP,0.00024169706803650652,0.02612342477027908,"(4, 92)","(7, 1712)"
GO:0007165,signal transduction,BP,0.00031482720995437306,0.03141006856237091,"(6, 92)","(19, 1712)"
GO:0042867,pyruvate catabolic process,BP,0.0005782012789592766,0.04999513725401211,"(3, 92)","(4, 1712)"
GO:0019856,pyrimidine nucleobase biosynthetic process,BP,0.0005782012789592766,0.04999513725401211,"(3, 92)","(4, 1712)"
