GO_ID,Term,Category,p_value,FDR,Ratio_in_study,Ratio_in_pop
GO:0002181,cytoplasmic translation,BP,1.4414447407817467e-26,1.8003644812364018e-23,"(27, 93)","(40, 1685)"
GO:0006412,translation,BP,1.1274477726807758e-21,7.040911340391446e-19,"(29, 93)","(64, 1685)"
GO:0000027,ribosomal large subunit assembly,BP,8.980599588894159e-10,3.7389229621762684e-07,"(11, 93)","(20, 1685)"
GO:0006417,regulation of translation,BP,2.9943439765729433e-07,9.349839066849016e-05,"(8, 93)","(15, 1685)"
GO:0000028,ribosomal small subunit assembly,BP,7.894185070197468e-07,0.00019719674305353275,"(7, 93)","(12, 1685)"
GO:0006353,DNA-templated transcription termination,BP,4.177118460887185e-05,0.008695368262746823,"(4, 93)","(5, 1685)"
GO:0046677,response to antibiotic,BP,6.817215510950862e-05,0.01216386024739661,"(10, 93)","(43, 1685)"
GO:0009408,response to heat,BP,0.0001365310848932088,0.020363315883180026,"(8, 93)","(30, 1685)"
GO:1990145,maintenance of translational fidelity,BP,0.00016303695663074478,0.020363315883180026,"(3, 93)","(3, 1685)"
GO:0080135,regulation of cellular response to stress,BP,0.00016303695663074478,0.020363315883180026,"(3, 93)","(3, 1685)"
