GO_ID,Term,Category,p_value,FDR,Ratio_in_study,Ratio_in_pop
GO:0002181,cytoplasmic translation,BP,1.6310047347108103e-26,1.883810468590986e-23,"(28, 82)","(45, 1507)"
GO:0006412,translation,BP,6.954578953916182e-23,4.0162693458865955e-20,"(29, 82)","(61, 1507)"
GO:0000027,ribosomal large subunit assembly,BP,5.965341882053815e-11,2.2966566245907188e-08,"(12, 82)","(21, 1507)"
GO:0000028,ribosomal small subunit assembly,BP,1.2626254210059133e-07,3.0136255593111553e-05,"(8, 82)","(14, 1507)"
GO:0046677,response to antibiotic,BP,1.3045998092256084e-07,3.0136255593111553e-05,"(12, 82)","(36, 1507)"
GO:0006417,regulation of translation,BP,0.00015083929199852865,0.025668357440572595,"(5, 82)","(11, 1507)"
GO:0006353,DNA-templated transcription termination,BP,0.00015556580267013693,0.025668357440572595,"(3, 82)","(3, 1507)"
GO:0031564,transcription antitermination,BP,0.000247584262159524,0.03232402796267829,"(5, 82)","(12, 1507)"
GO:0032784,regulation of DNA-templated transcription elongation,BP,0.0002518755425663243,0.03232402796267829,"(4, 82)","(7, 1507)"
GO:0042128,nitrate assimilation,BP,0.00038522744044209044,0.04449376937106145,"(5, 82)","(13, 1507)"
