GO_ID,Term,Category,p_value,FDR,Ratio_in_study,Ratio_in_pop
GO:0002181,cytoplasmic translation,BP,1.3080459068389563e-53,2.137347011774855e-50,"(46, 180)","(53, 3339)"
GO:0006412,translation,BP,1.0951632805793282e-39,8.947484002333112e-37,"(50, 180)","(98, 3339)"
GO:0000027,ribosomal large subunit assembly,BP,2.6398889059132864e-21,1.4378594907541032e-18,"(20, 180)","(26, 3339)"
GO:0000028,ribosomal small subunit assembly,BP,2.058851674072891e-12,8.41040908858776e-10,"(12, 180)","(17, 3339)"
GO:0006526,L-arginine biosynthetic process,BP,1.3918955044015117e-07,4.54871450838414e-05,"(8, 180)","(14, 3339)"
GO:0034220,monoatomic ion transmembrane transport,BP,1.019089230493277e-05,0.0027753196710433576,"(8, 180)","(22, 3339)"
GO:0017148,negative regulation of translation,BP,2.8247544916425824e-05,0.006593784056205686,"(6, 180)","(13, 3339)"
GO:0006417,regulation of translation,BP,3.4178714270976096e-05,0.006981002389846868,"(7, 180)","(19, 3339)"
GO:0031564,transcription antitermination,BP,5.0208985254608237e-05,0.009115720211781095,"(7, 180)","(20, 3339)"
GO:0006414,translational elongation,BP,0.0002516473143477689,0.04111917116442544,"(4, 180)","(7, 3339)"
