GO_ID,Term,Category,p_value,FDR,Ratio_in_study,Ratio_in_pop
GO:0002181,cytoplasmic translation,BP,3.7136348817041785e-30,4.2892482883683264e-27,"(29, 72)","(45, 1507)"
GO:0006412,translation,BP,2.5682062486912582e-26,1.4831391086192017e-23,"(30, 72)","(61, 1507)"
GO:0000027,ribosomal large subunit assembly,BP,1.1721655275342305e-11,4.512837281006787e-09,"(12, 72)","(21, 1507)"
GO:0000028,ribosomal small subunit assembly,BP,1.3024946049930956e-09,3.7609531719175634e-07,"(9, 72)","(14, 1507)"
GO:0046677,response to antibiotic,BP,3.173896683116926e-07,7.331701338000098e-05,"(11, 72)","(36, 1507)"
GO:0006417,regulation of translation,BP,8.00638535991085e-05,0.015412291817828388,"(5, 72)","(11, 1507)"
GO:0006353,DNA-templated transcription termination,BP,0.00010476450396620335,0.017286143154423554,"(3, 72)","(3, 1507)"
GO:0031564,transcription antitermination,BP,0.00013216757275354222,0.01908169331629266,"(5, 72)","(12, 1507)"
GO:0032784,regulation of DNA-templated transcription elongation,BP,0.00015062667639449725,0.019330423470627148,"(4, 72)","(7, 1507)"
GO:0042128,nitrate assimilation,BP,0.0002068205268865167,0.02388777085539268,"(5, 72)","(13, 1507)"
