gene,gene_clean,coordination_score
dinj,dinj,0.6046788141361712
yoba,yoba,0.6046788141361712
yfci,yfci,0.6046788141361712
alsk,alsk,0.6046788141361712
insd-2,insd-2,0.6046788141361712
nird,nird,0.6046788141361712
ssuc,ssuc,0.6046788141361712
ydcp,ydcp,0.6046788141361712
kdpa,kdpa,0.6046788141361712
mutm,mutm,0.6046788141361712
yadi,yadi,0.6046788141361712
ybij,ybij,0.6046788141361712
glca,glca,0.6046788141361712
yjep,yjep,0.6046788141361712
ydin,ydin,0.6046788141361712
mdtc,mdtc,0.6046788141361712
acps,acps,0.6046788141361408
mraz,mraz,0.5463600686423079
yeda,yeda,0.5463600686423079
rpib,rpib,0.5463600686423079
kefb,kefb,0.5463600686423079
emry,emry,0.5463600686423079
ygfi,ygfi,0.5463600686423079
ddpf,ddpf,0.5463600686423079
yjfj,yjfj,0.4855459305159974
ygcg,ygcg,0.45161616358390827
yiel,yiel,0.42094190054506514
essq,essq,0.3944531219718916
yehr,yehr,0.39445312197188465
cusf,cusf,0.3906184176561679
yhdz,yhdz,0.3906184176561679
teha,teha,0.3906184176561679
ydcd,ydcd,0.3906184176561679
yjhf,yjhf,0.3906184176561679
argk,argk,0.3906184176561679
lelobekk_fino,fino,0.3906184176561679
yfbb,yfbb,0.3906184176561679
yjin,yjin,0.3906184176561679
yfap,yfap,0.3906184176561679
yfax,yfax,0.3906184176561679
yhjr,yhjr,0.3783573779996129
glcf,glcf,0.3547139217488286
baes,baes,0.3447101414386442
ycjr,ycjr,0.34363898746235755
ydeh,ydeh,0.34037370669281924
sapd,sapd,0.3387683778101205
ydhw,ydhw,0.33030136886918554
rna,rna,0.2755326422195953
ydhb,ydhb,0.2734752007473718
ygfg,ygfg,0.2661478576782838
exur,exur,0.24714973359525877
ypdb,ypdb,0.23273116988364304
seta,seta,0.22440790043794853
inso-2,inso-2,0.1628275099767823
alsb,alsb,0.15452824383885894
racr,racr,0.14762847145827948
sgrr,sgrr,0.13909882347775518
tqsa,tqsa,0.1390988234777544
pdxj,pdxj,0.1390988234777544
prov,prov,0.1390988234777544
ytfg,ytfg,0.1390988234777544
acrf,acrf,0.13909882347775424
ribd,ribd,0.13165872320887007
dcub,dcub,0.12636090945439524
gnsa,gnsa,0.12636090945439524
kdpd,kdpd,0.12636090945439524
kdpb,kdpb,0.12636090945439524
atob,atob,0.12636090945439524
trph,trph,0.12636090945439524
alla,alla,0.12636090945439507
yibd,yibd,0.12048535067988533
metc,metc,0.11891306966167298
wcaa,wcaa,0.11853218858367787
ydgj,ydgj,0.11853218858367787
degq,degq,0.11853218858367787
ydjf,ydjf,0.11853218858367787
aidb,aidb,0.11853218858367784
gapc,gapc,0.11853218858366958
ybin,ybin,0.11683897915547552
evgs,evgs,0.11491372355195224
ilva,ilva,0.11491372355195224
tus,tus,0.11491372355195224
glcg,glcg,0.11491372355195224
ugd,ugd,0.11491372355195224
