gene,gene_clean,coordination_score
fimD,fimD,0.019215807006806952
yaiL,yaiL,0.015897624486923913
tbpA,tbpA,0.01373083768128033
hipB,hipB,0.012622493091770598
ycgN,ycgN,0.010739252746615323
ygcJ,ygcJ,0.00968808377502091
rplO,rplO,0.009241963580352494
yidA,yidA,0.008828981878316934
ihfA,ihfA,0.008809784827244127
citC,citC,0.008697838646610256
yjeF,yjeF,0.008672541055573505
fpr,fpr,0.008603097082702967
ugd,ugd,0.00790442584220545
yqjC,yqjC,0.0076627593211623215
yeeL,yeeL,0.007534320412602994
ydeT,ydeT,0.007512051850036929
ybeQ,ybeQ,0.007494279606784969
rplL,rplL,0.007446714065292333
tetR,tetR,0.007414647492540144
hlyE,hlyE,0.007118319069593968
yehU,yehU,0.00699558340891535
ybdM,ybdM,0.0069393059062121945
sfcA,sfcA,0.006726425988513498
phoE,phoE,0.006706764331583867
ddpA,ddpA,0.0063622421542155255
fusA,fusA,0.006324404633760216
ydeP,ydeP,0.0060924981875021345
rpoH,rpoH,0.006010887982268522
wcaD,wcaD,0.005965360082067842
yagL,yagL,0.005719658753244572
rpmC,rpmC,0.005687459387339497
ompG,ompG,0.0056578375048873
hflX,hflX,0.00565381154077553
gapA,gapA,0.005494383092644632
asmA,asmA,0.005445803015264044
pspA,pspA,0.0054113956636228245
rplE,rplE,0.005346277074556337
aspA,aspA,0.005289144690010314
rplJ,rplJ,0.005112987852437771
fbaB,fbaB,0.005031803675532096
acpP,acpP,0.005024697635254014
rplA,rplA,0.004848845211611944
rpoA,rpoA,0.00483796092333512
gltB,gltB,0.004834533537381482
wcaF,wcaF,0.004825840863619584
yfjK,yfjK,0.004752474988184534
ribA,ribA,0.004736630034857692
yqjK,yqjK,0.004652190599482544
ybfQ,ybfQ,0.004588643177018194
yeaS,yeaS,0.004519882184882989
chbF,chbF,0.004512869667808962
ycbC,ycbC,0.0044876358235289605
yddA,yddA,0.0043575874701695366
wzxC,wzxC,0.00433249315041796
