gene,gene_clean,coordination_score
rplQ,rplQ,0.04921889026714082
rpoA,rpoA,0.03782301362374408
rplO,rplO,0.036763104151209466
rplA,rplA,0.03656369697081611
rpsD,rpsD,0.03466072834454357
YFP,YFP,0.032465054579238095
yjhE,yjhE,0.0321648081652353
fusA,fusA,0.03128325224295299
intE,intE,0.031074549598754213
rpsE,rpsE,0.03099357755808116
rplD,rplD,0.030375331621143985
rpsQ,rpsQ,0.027444961989151435
appB,appB,0.02667569807634575
eutB,eutB,0.026243698057285565
gcvP,gcvP,0.026174491986163652
yadS,yadS,0.025854887307970847
rpoD,rpoD,0.025317872625323784
yqjC,yqjC,0.024748144325933252
ybhT,ybhT,0.023964045746165404
ygaY,ygaY,0.023780701193038222
crr,crr,0.023582615283777267
rpoH,rpoH,0.02356725416317492
motB,motB,0.023324463630521573
nrdA,nrdA,0.02258717225473344
rpmC,rpmC,0.021981307425373242
rplC,rplC,0.021414539750947398
xerC,xerC,0.021074394133734964
ihfA,ihfA,0.020726272981065563
rrmJ,rrmJ,0.020192217321804616
rpsA,rpsA,0.019647001188155398
cheA,cheA,0.01964191201481122
yrbL,yrbL,0.018819282586535747
rpsK,rpsK,0.01840901124649071
rplF,rplF,0.018170471823829068
ldcC,ldcC,0.01715069529022614
hyaF,hyaF,0.017067675457633803
rplI,rplI,0.01695004119797541
pspA,pspA,0.01694009583047498
rplL,rplL,0.01685628922717055
rplE,rplE,0.01676994103753549
gapA,gapA,0.01675307438758931
rplW,rplW,0.016561702945959593
cysN,cysN,0.016462683767237574
hisQ,hisQ,0.015177934235996029
hisG,hisG,0.015162796224836295
yfaP,yfaP,0.01512199154140277
rplN,rplN,0.014933109831176935
yebC,yebC,0.014840409956000524
yohC,yohC,0.014742478604579107
elbA,elbA,0.014610952506098684
osmY,osmY,0.014361044646705002
ydcW,ydcW,0.014228190573272527
artJ,artJ,0.014112956331035176
flgK,flgK,0.014057701522241558
tap,tap,0.013994990868685749
secY,secY,0.013979740915888354
rpsH,rpsH,0.013825027737413663
iscA,iscA,0.01380200140765576
rpsC,rpsC,0.013322834204347852
yhjG,yhjG,0.013296137533157658
elaC,elaC,0.013286548611489724
yfaX,yfaX,0.013157879806367548
cheW,cheW,0.013058410250349815
ftsH,ftsH,0.012883307721398514
deaD,deaD,0.01286259929192568
cheB,cheB,0.01263376688079088
pgk,pgk,0.012521083544132294
folX,folX,0.012476232014566196
cheZ,cheZ,0.012410808098435653
ydgA,ydgA,0.012409316366701948
yebF,yebF,0.012395920777936689
yiaT,yiaT,0.012363790495957
yaeH,yaeH,0.012304100055016656
yegZ,yegZ,0.012183880762654926
sirA,sirA,0.012152318226571803
wzc,wzc,0.011861925279490362
zipA,zipA,0.01172655822824467
ycgZ,ycgZ,0.011668041154298243
rpmD,rpmD,0.011650427074944554
cspA,cspA,0.01163991263324299
hmp,hmp,0.01153294586198868
metI,metI,0.011467311900113663
LELOBEKK_sgrT,sgrT,0.011454968254017008
narP,narP,0.011447423867095748
dsbC,dsbC,0.01140657939450793
pnp,pnp,0.011342680266046921
yehC,yehC,0.01128457409344609
mntH,mntH,0.011282385827444006
rho,rho,0.011268291909019595
rplX,rplX,0.011264862712847604
amn,amn,0.011249139283079064
yafK,yafK,0.011044247935624904
degP,degP,0.011039027464076609
ydhR,ydhR,0.01092719695131893
rpsF,rpsF,0.010910998391811096
rplV,rplV,0.010777149944986495
pspC,pspC,0.010729647820489508
yqcE,yqcE,0.010649214778775541
dnaK,dnaK,0.010542969517745731
ytfE,ytfE,0.010496043373173582
hns,hns,0.010395595290162388
abgR,abgR,0.010361288494230634
htrG,htrG,0.010199623416235546
yqiI,yqiI,0.010194476324270061
proP,proP,0.010176315370478322
fabF,fabF,0.010151731731375273
gadW,gadW,0.010122450033047877
stfQ,stfQ,0.010111018629116694
nudD,nudD,0.010110355855551418
yqeH,yqeH,0.010081586800895785
LELOBEKK_rpsL,rpsL,0.010076835296020851
speC,speC,0.010022716191593593
ybaB,ybaB,0.009991265066520462
trmD,trmD,0.009969584635737393
camR,camR,0.009890534690722062
yraP,yraP,0.009875526170226847
ptsI,ptsI,0.009760301377862485
yahA,yahA,0.009728670910868896
yejH,yejH,0.009642489556532616
yebU,yebU,0.009593512976226229
cysK,cysK,0.009511299014929612
ybhI,ybhI,0.009507940423785773
tktB,tktB,0.00948676373895888
gyrB,gyrB,0.009483218114590842
slyB,slyB,0.009472806780423795
xthA,xthA,0.009438290967074894
ygcL,ygcL,0.009393950026047948
infB,infB,0.009335659345766365
yeaJ,yeaJ,0.009314189536779498
frsA,frsA,0.009278866080420164
recN,recN,0.009197589381780301
wza,wza,0.009159834789418392
dapE,dapE,0.009121033241665919
yhgA,yhgA,0.009092017874542497
gph,gph,0.009090440696139323
yncK,yncK,0.009032944234831116
yfbQ,yfbQ,0.00901541878417524
rplJ,rplJ,0.00900224671554465
nusA,nusA,0.008945667521834419
tsr,tsr,0.008896300077122925
yiaU,yiaU,0.008810159315736742
secM,secM,0.008802023224719844
yhhI,yhhI,0.008698733882224976
pspB,pspB,0.008669819217930102
rpoB,rpoB,0.008649441698161954
cusR,cusR,0.008645612642768637
metA,metA,0.008570355157521761
yoaC,yoaC,0.008546102086475032
LELOBEKK_appX,appX,0.008521703188373522
yfgL,yfgL,0.008504117349821125
LELOBEKK_lacY,lacY,0.008460637421516004
yebG,yebG,0.00844518620852788
ybaQ,ybaQ,0.00844417878131145
yggT,yggT,0.008434222153361388
dkgB,dkgB,0.008425917260829476
yeiJ,yeiJ,0.008364065911576438
wzxC,wzxC,0.008349315229710252
kgtP,kgtP,0.008344705143015536
ygfB,ygfB,0.008292481809791643
hokC,hokC,0.008291489227754282
sufA,sufA,0.008282353623161603
ydcC,ydcC,0.008274875022810223
yniB,yniB,0.008272910575127865
yfeT,yfeT,0.00826727705175865
rplT,rplT,0.008262545727730875
iscR,iscR,0.008181037044206611
ygiP,ygiP,0.00812997409829546
gatR,gatR,0.008048289162455233
relE,relE,0.008012345816000882
pyrH,pyrH,0.007996157137842654
yiaO,yiaO,0.007971260090836443
yffP,yffP,0.007969739799227887
sdaC,sdaC,0.007969013669087885
pqqL,pqqL,0.007886668941987914
gspM,gspM,0.00785051080636935
ycgY,ycgY,0.007826149691251613
yqiK,yqiK,0.007806809174651671
flhA,flhA,0.007784715396456585
yjeP,yjeP,0.007732973111246332
yeaL,yeaL,0.00773175008692503
yqjK,yqjK,0.0077144630872782805
lafU,lafU,0.007708223351439847
yhhS,yhhS,0.0077043398116540185
yghO,yghO,0.007644894521154676
cysD,cysD,0.007625096281265891
paaE,paaE,0.007615867338455416
serS,serS,0.007607403756753246
yaeF,yaeF,0.007514464989103504
fepE,fepE,0.00746634747498291
chbC,chbC,0.00743523406480696
mscS,mscS,0.007420269970646893
acpP,acpP,0.007413133202979123
lpxB,lpxB,0.007392643943902849
fliA,fliA,0.007386925350645102
sdaA,sdaA,0.007364380957986079
LELOBEKK_uidA,uidA,0.00735279901585031
rpsN,rpsN,0.007351434438694298
yedS,yedS,0.007335072815883346
yehI,yehI,0.007302208079402185
folK,folK,0.0072951470499743
ynbB,ynbB,0.007285158149268137
cmtB,cmtB,0.007250848650891399
grxA,grxA,0.007232507636045966
ompG,ompG,0.007191722791432904
thrS,thrS,0.0071901454543970055
rpoE,rpoE,0.0071749383260520695
cydD,cydD,0.007145210240084747
gltF,gltF,0.007112059352385782
ysgA,ysgA,0.007089246243763511
menE,menE,0.007089168812200281
yjhI,yjhI,0.0070843699061408074
clpB,clpB,0.007038221331904373
bcsB,bcsB,0.0070330311414829715
aspA,aspA,0.007015242200702958
ydfJ,ydfJ,0.007007367403942634
ygdI,ygdI,0.007000142050004412
sulA,sulA,0.006967664635217771
xapB,xapB,0.006962648668293349
agaB,agaB,0.006949467044725828
ivy,ivy,0.006930852754237134
yjbI,yjbI,0.006914104479355452
tatC,tatC,0.006906710192509792
yeeE,yeeE,0.006899130462675012
ydeE,ydeE,0.0068968048138017685
cbrC,cbrC,0.006870777430797368
yccX,yccX,0.006814905066957284
tar,tar,0.006804308138894724
gcvR,gcvR,0.006803202766151563
yfhA,yfhA,0.00678883568594335
rplK,rplK,0.006722278603170561
yffI,yffI,0.006714486329881864
ygfG,ygfG,0.006687724452573074
ycjV,ycjV,0.006649259566927252
LELOBEKK_ynhF,ynhF,0.006645719593248474
motA,motA,0.00664279248239992
yhaK,yhaK,0.006639083877216733
ybfD,ybfD,0.006611169421033708
dnaC,dnaC,0.006573172620319696
lit,lit,0.006572757257539467
fldA,fldA,0.0065683028485965375
ybeU,ybeU,0.00656570999715821
ybcS,ybcS,0.006563199836560918
nfrA,nfrA,0.0065301322387738385
setC,setC,0.006526200937855683
flgE,flgE,0.006521089226377872
hemB,hemB,0.006515351722164554
lpxC,lpxC,0.006501744023320039
purF,purF,0.006500029584540113
flgL,flgL,0.006488472653406344
yeeD,yeeD,0.00648283781962233
tdcA,tdcA,0.006478831947921394
yedL,yedL,0.006470503000736928
yhiL,yhiL,0.006468671134326081
yieH,yieH,0.006432440343981149
lpxP,lpxP,0.006406435747625473
mukF,mukF,0.006380907222113005
envY,envY,0.006319117899234043
rplS,rplS,0.006309158868105906
accD,accD,0.0062811969921307866
yfhQ,yfhQ,0.006262556406695268
paaA,paaA,0.006260376401612911
rhsB,rhsB,0.006257749302135586
yhbC,yhbC,0.006254245789712505
ilvB,ilvB,0.006237408369132103
nadK,nadK,0.006232790393136634
yidR,yidR,0.0062147858740113195
tldD,tldD,0.006211253377651652
purA,purA,0.006202320643773369
ybaY,ybaY,0.0061822156410047575
yhdP,yhdP,0.00614399329419623
yfdP,yfdP,0.006142992061907973
ybcM,ybcM,0.006129027601708213
glnK,glnK,0.006124060819407263
yphH,yphH,0.006099330730187351
lolD,lolD,0.0060948222934206
ycaP,ycaP,0.006076151793879168
mrcA,mrcA,0.006074979106523886
pyrG,pyrG,0.006047184078183216
yfeN,yfeN,0.006021477620023969
ydfP,ydfP,0.006014640214298344
ydcE,ydcE,0.006011399043446533
fimA,fimA,0.005991737692075755
talB,talB,0.005991693687285381
yfhK,yfhK,0.005990165983403579
yadL,yadL,0.005959628477067196
purH,purH,0.005959076040904988
recQ,recQ,0.005949071434241037
yjgA,yjgA,0.005910464591761349
yraJ,yraJ,0.005910425818253278
rpsG,rpsG,0.005909271723333507
fliC,fliC,0.00588918497352774
puuB,puuB,0.005888082877287215
pepN,pepN,0.005876845868927495
yibA,yibA,0.005853090561915475
srlR,srlR,0.0058413426980997935
thiI,thiI,0.005821138883236869
metE,metE,0.005815005391301928
serB,serB,0.0058033965638300015
rpmF,rpmF,0.005793511360205594
nrdE,nrdE,0.005768649651500992
ydcH,ydcH,0.005766173275787328
fliS,fliS,0.005763878293449169
phnN,phnN,0.0057303114687803055
yjgM,yjgM,0.0057179578452280794
mcrA,mcrA,0.005710462317637442
ycfJ,ycfJ,0.005612688302688583
nikA,nikA,0.005588369638112023
ybdG,ybdG,0.005582586793660278
dhaR,dhaR,0.005581313739825863
aroG,aroG,0.005579931337063184
kch,kch,0.005565007673398904
norV,norV,0.005559030379043007
clpX,clpX,0.00555454819472005
ydaG,ydaG,0.005546722842100845
lpp,lpp,0.005537800529469604
yihF,yihF,0.0055344461714310796
glmM,glmM,0.005531834620339527
aegA,aegA,0.00552719547991867
mutY,mutY,0.005520562344104667
entD,entD,0.0055031536455798615
sbp,sbp,0.005493927362739649
yfaA,yfaA,0.005484867274870511
LELOBEKK_mpaA,mpaA,0.00547061153656593
yiaD,yiaD,0.005467781037268282
rfbD,rfbD,0.005465554059115559
yjjG,yjjG,0.0054548917775384545
sgcQ,sgcQ,0.005452947549849312
phnK,phnK,0.005446869219777578
ygeX,ygeX,0.005443307717736678
yjfP,yjfP,0.00544225566469056
ycdT,ycdT,0.005379499673334066
proV,proV,0.005377760594329278
rssB,rssB,0.005365294803485623
yhjA,yhjA,0.005363672653502243
yfeW,yfeW,0.005323569244517534
rpmI,rpmI,0.005323075073788145
fliY,fliY,0.0053174945824767785
kdsA,kdsA,0.005302566767455707
yadN,yadN,0.005300629340604762
csgD,csgD,0.0052782369345358805
pheA,pheA,0.005276540651644824
bfr,bfr,0.005262285094650072
rffA,rffA,0.005249088945099374
yecR,yecR,0.00524110138564303
ygcW,ygcW,0.005240089132253684
ptsN,ptsN,0.005221482904242946
nhaR,nhaR,0.005213948830714004
aroA,aroA,0.0052062520138548875
yeiN,yeiN,0.005202892406499977
LELOBEKK_gpt,gpt,0.005202614680157594
gspL,gspL,0.005200291867263974
ybhD,ybhD,0.005183973172653743
ydjR,ydjR,0.005176707609665127
yqjD,yqjD,0.005172595244815687
rseB,rseB,0.005167931740242733
hscC,hscC,0.005144364390731343
yibH,yibH,0.00514173520876969
yneK,yneK,0.0051282512517301015
yjbB,yjbB,0.0051277371635100885
intA,intA,0.005118121319424531
yheU,yheU,0.005088003708488525
purU,purU,0.005085282571392643
xapA,xapA,0.005079583215216247
rep,rep,0.005077208690994538
yraN,yraN,0.005074043605335852
uspE,uspE,0.005064186638805222
ygjK,ygjK,0.005062159441014073
yehU,yehU,0.00504936174753813
yfaQ,yfaQ,0.005048507480326506
stpA,stpA,0.005047863912677942
yhdJ,yhdJ,0.005043310733365948
bglF,bglF,0.005022826602608115
yidE,yidE,0.005018497617211961
abgT,abgT,0.005011777771861441
ycjN,ycjN,0.004990026095442984
LELOBEKK_galK,galK,0.004988506357837899
hokD,hokD,0.004978765848887334
yebN,yebN,0.004944433020596651
ycbR,ycbR,0.004941719286275812
ydiP,ydiP,0.0049380835158563995
ypdA,ypdA,0.00491869031505323
rcsD,rcsD,0.004905843744074882
yigG,yigG,0.004899213218626624
ydcI,ydcI,0.004891669503413331
yjjI,yjjI,0.004880366385172017
yciF,yciF,0.004875877965294475
ybaW,ybaW,0.004870754255316785
ygiT,ygiT,0.004864840001700105
yhfZ,yhfZ,0.0048637767593771464
fur,fur,0.004845890787760482
ybcQ,ybcQ,0.004843458469781518
idnD,idnD,0.00483145467455756
fadB,fadB,0.004827469736404959
yjjK,yjjK,0.004827136489512333
ykgK,ykgK,0.0048158638168771155
tig,tig,0.00480433965869807
ubiA,ubiA,0.0048042503444659206
napA,napA,0.004782372339477434
ndh,ndh,0.004757322237671503
narZ,narZ,0.004754103351746101
ftsB,ftsB,0.004740193880416167
wcaJ,wcaJ,0.004738918093370571
hyi,hyi,0.004736187258572422
rhaR,rhaR,0.00472167108043394
yliK,yliK,0.004718910343067652
yfeS,yfeS,0.004710649607224929
ftsK,ftsK,0.00468827762681518
ydfT,ydfT,0.004676739903762422
rfaG,rfaG,0.004646485893365998
basS,basS,0.004639532061038907
yiaY,yiaY,0.004636925956093939
diaA,diaA,0.004636389613435921
yafL,yafL,0.004635387189124761
yfjO,yfjO,0.004634412429422728
ymfP,ymfP,0.004632669604467974
yabI,yabI,0.004631644211881554
bglA,bglA,0.004618983029867259
yliE,yliE,0.004617059906260137
LELOBEKK_lacZ,lacZ,0.004614109622572255
ydiA,ydiA,0.004611575083641126
envR,envR,0.004607755730418105
yjcD,yjcD,0.004598745300650537
yjhA,yjhA,0.004594752771319423
yncB,yncB,0.004580456245394471
der,der,0.004558503170190987
aaeA,aaeA,0.004553666687535991
yfdE,yfdE,0.004542438521273419
ydcM,ydcM,0.004536957147058319
sohA,sohA,0.004533596429502739
ybfL,ybfL,0.004533117763665452
fhlA,fhlA,0.00453261435119471
yihE,yihE,0.004531871720112291
yjiV,yjiV,0.004522714744528351
ompL,ompL,0.004517419983275221
gldA,gldA,0.00451088616951493
ylbH,ylbH,0.004490389131869845
