gene,gene_clean,coordination_score
pcm,pcm,0.3606928891114426
cbrA,cbrA,0.28822773801399776
fucI,fucI,0.26010565085984777
wcaL,wcaL,0.2590712311293787
rbn,rbn,0.25363887628118753
wbbH,wbbH,0.25280960084489357
flgG,flgG,0.251175097711856
yfaT,yfaT,0.24111719556461816
yeeV,yeeV,0.2327702619627917
yraH,yraH,0.21715149830788008
ybjH,ybjH,0.19963797098350586
yhhY,yhhY,0.19963797098350586
yphD,yphD,0.1992386820826243
thrU---thrToperon,thrU---thrToperon,0.18690901604607543
glxR,glxR,0.18474586519221708
rhaS,rhaS,0.1656447293245388
yehE,yehE,0.15986390331400654
yjiO,yjiO,0.14985495809836455
tff,tff,0.1494464175431863
ybbV,ybbV,0.14072547816275005
php,php,0.1364509341128363
alsE,alsE,0.13182471333082657
csrb,csrb,0.12998810490525498
ydfK,ydfK,0.12887008108634745
tyrT,tyrT,0.12023066169876304
garP,garP,0.11839392480244097
ycfK,ycfK,0.11748161554403516
envZ,envZ,0.11292965511699136
ftsI,ftsI,0.11265704923045064
yceF,yceF,0.11249730824227015
poxB,poxB,0.11212345185138048
rpsD,rpsD,0.10890909937667226
yhdW,yhdW,0.10835466271641882
lafU,lafU,0.10699172449859609
rrfB,rrfB,0.1065041052684196
ymfI,ymfI,0.10611281906350359
ygaU,ygaU,0.10545848060624877
yahC,yahC,0.1007653224448819
yhcO,yhcO,0.10048331049117688
ydhB,ydhB,0.10004158340772334
atoS,atoS,0.09975911764208548
znuA,znuA,0.09824610692332812
gabP,gabP,0.09688400902238814
ydjJ,ydjJ,0.09571052878748854
yfbK,yfbK,0.09167420575159722
setA,setA,0.09153652630769016
dppF,dppF,0.09139954771857309
rplO,rplO,0.09027242540807244
yhfW,yhfW,0.08951587232436475
cybB,cybB,0.08913455438424957
rpoA,rpoA,0.08899005652646069
rpmC,rpmC,0.0878506901045608
rpsK,rpsK,0.08769159955481867
yjcC,yjcC,0.08533450457879034
nanA,nanA,0.08379590901930635
creD,creD,0.0802685462316308
gatR,gatR,0.08005468537796422
ydiR,ydiR,0.0794156454937353
ykgO,ykgO,0.07872897541039771
yqjG,yqjG,0.0787231630906955
malY,malY,0.07868408143585197
gadC,gadC,0.07847687375454739
yhjY,yhjY,0.07842163701463842
alaw,alaw,0.07821376937811028
yegT,yegT,0.07774250509786876
yhgA,yhgA,0.07692629915457522
kefA,kefA,0.07673683946006866
yedX,yedX,0.07629047641065927
yjiC,yjiC,0.07594224905582407
lpp,lpp,0.07593541222212555
aspv,aspv,0.07576233656630378
xylF,xylF,0.07479641857655606
ybdM,ybdM,0.07443466449810156
tetR,tetR,0.07430297127095944
eutE,eutE,0.07410095555176147
dinI,dinI,0.07213542317565821
pioO,pioO,0.07137857383076418
ybhB,ybhB,0.07111297570854577
glgC,glgC,0.07086800219701873
ychH,ychH,0.07062447336819742
rplC,rplC,0.07061968913233874
mpl,mpl,0.0696065076664465
eptB,eptB,0.06933995811676462
tqsA,tqsA,0.06787939886643078
arnC,arnC,0.06756161424537357
yafE,yafE,0.067228024711041
yagN,yagN,0.06683017310361884
hybB,hybB,0.06603117794760285
ybaY,ybaY,0.06530107020325249
yidP,yidP,0.06503840256896727
macA,macA,0.06497724310917975
rnd,rnd,0.06494934484980416
yadK,yadK,0.06475928891655881
rplD,rplD,0.06436465305580924
rplW,rplW,0.06365264981536961
yqcE,yqcE,0.06347638426331464
xdhA,xdhA,0.06301319800408253
ygjG,ygjG,0.06301161794095043
fecE,fecE,0.06201197210180402
ybbS,ybbS,0.06035377009274172
yjhW,yjhW,0.05993200811888903
kdsB,kdsB,0.059083199677962085
yfjX,yfjX,0.05876924464511407
ybdH,ybdH,0.05859798656683073
intQ,intQ,0.058586505056989695
osmB,osmB,0.05852248935913447
dipZ,dipZ,0.058410081653878794
yggR,yggR,0.05837228487317059
potH,potH,0.05784200007427531
ydhZ,ydhZ,0.056422995712025234
rpsE,rpsE,0.05637522426703035
kanR,kanR,0.05635676912356933
narH,narH,0.05620776343971738
ycbR,ycbR,0.055886554240360944
lldD,lldD,0.055244215344326775
cydD,cydD,0.054640190756219405
bssR,bssR,0.05419683397336605
yfhD,yfhD,0.053987964218398285
ldrB,ldrB,0.05356443612649974
ycjW,ycjW,0.052900182603940755
mpaA,mpaA,0.05286073052608038
yihS,yihS,0.05274042640718626
yiiG,yiiG,0.051719144368789396
tesA,tesA,0.05137372543469668
ydeJ,ydeJ,0.051121555691781714
ffs,ffs,0.05076514603097869
paaI,paaI,0.0507162428791149
serV,serV,0.0504243948806267
rplF,rplF,0.049437075607816745
caiF,caiF,0.04924712170868673
ydiA,ydiA,0.049236088191774746
secF,secF,0.04900677554068957
ligB,ligB,0.048862104699984865
rfaL,rfaL,0.0487313140522368
yhjK,yhjK,0.04846240878184382
hemB,hemB,0.04834876395869894
katE,katE,0.04807886823732877
ydfE,ydfE,0.04757359607584369
rplL,rplL,0.047435558676718295
yiiR,yiiR,0.04725870803944045
yfcL,yfcL,0.04683420401286131
ycaP,ycaP,0.046791358662836784
phnJ,phnJ,0.04675218349457822
ilvB,ilvB,0.046288378934237144
ycjN,ycjN,0.045939497250415226
rpsN,rpsN,0.045659411635923304
cueO,cueO,0.04517815445831374
rplE,rplE,0.04498337858568254
ggt,ggt,0.044968452812692516
ygeX,ygeX,0.04448758069920599
edd,edd,0.0440719027213045
yehU,yehU,0.044066185959400185
dam,dam,0.04402254354406924
hrpB,hrpB,0.043871506316033704
asnB,asnB,0.043820192177237774
yfaH,yfaH,0.04341430534739477
yjdK,yjdK,0.0428019524918865
yrhB,yrhB,0.04271473035131971
otsA,otsA,0.04263861244532343
dsbB,dsbB,0.04260475695410624
rpsA,rpsA,0.04234746517064289
aaeB,aaeB,0.04188403277234112
cho,cho,0.04162079687458612
pgaD,pgaD,0.04157395049649634
rplR,rplR,0.04144760788118658
ampE,ampE,0.041183668139228684
yifB,yifB,0.04100502215870391
ybaP,ybaP,0.0401436518492688
tauA,tauA,0.04007516657168393
ydfO,ydfO,0.0399707189309549
ydhO,ydhO,0.03984456289414222
ybcN,ybcN,0.03974737591196851
yicI,yicI,0.03935003514283032
fepC,fepC,0.03922903510964821
yiaG,yiaG,0.03910870057704256
rcsB,rcsB,0.03854241844799156
nuoM,nuoM,0.038412671954511715
yohM,yohM,0.03834245551494044
yibG,yibG,0.03823801664928501
xdhD,xdhD,0.03814893078534442
ilvC,ilvC,0.03807573027087767
ycgX,ycgX,0.03787689020738718
ygcS,ygcS,0.03744954052248024
yhiD,yhiD,0.03735965314688248
yfaS,yfaS,0.03729575076448616
yeaG,yeaG,0.03648580519921874
emrB,emrB,0.03587801021143571
raiA,raiA,0.035829257004852844
xylB,xylB,0.03574483067935389
yiaD,yiaD,0.03555296645035077
lit,lit,0.0355495482266918
mdtA,mdtA,0.035255674768513004
yqgA,yqgA,0.035031074412784684
yihG,yihG,0.03491739918540889
yhaK,yhaK,0.03488603948399045
glgP,glgP,0.03464465024466678
yjbJ,yjbJ,0.034343944639570856
hslU,hslU,0.03431179161698289
yccS,yccS,0.03425357716064622
astE,astE,0.03417837261419463
dcuD,dcuD,0.034167248829670295
rpsQ,rpsQ,0.03296211586199546
ubiD,ubiD,0.03293513144321348
ykgL,ykgL,0.03260426790563135
cydC,cydC,0.03245002511632469
yciF,yciF,0.03223712231867665
bdm,bdm,0.032052383178540415
malZ,malZ,0.03191401334373801
yebT,yebT,0.03190049984228399
rpmD,rpmD,0.03164116039066719
npr,npr,0.03161598993801215
ybdG,ybdG,0.03152255546598118
yiaT,yiaT,0.03141336654588562
ybbL,ybbL,0.031220588718915896
csgE,csgE,0.03107792980211449
yjcF,yjcF,0.031016812887533416
rplN,rplN,0.030797343850650066
yjfC,yjfC,0.030553110883919675
atoB,atoB,0.030443354334209423
yjhV,yjhV,0.03038231382145162
yeaL,yeaL,0.0298771471227867
erfK,erfK,0.02978437085539813
yqeG,yqeG,0.029729923638907006
galU,galU,0.02964733006908269
rplV,rplV,0.029594068188863145
ydeM,ydeM,0.02942408305288938
ydaC,ydaC,0.029366236875320365
yjhC,yjhC,0.029106666667758522
hscB,hscB,0.02901010166695262
yecR,yecR,0.028891885047489546
ycjM,ycjM,0.02880055662429482
yhiJ,yhiJ,0.028597612116436414
rhlB,rhlB,0.028555525528314987
yieH,yieH,0.02851651333379597
ygdI,ygdI,0.028448846474387408
flgJ,flgJ,0.02824116505628123
dctA,dctA,0.02813028436615809
endA,endA,0.02806601180682263
yedN,yedN,0.028045944283957853
hycH,hycH,0.027973031687150738
evgS,evgS,0.02792261662979176
yobH,yobH,0.027720958197891308
rbsA,rbsA,0.02766827074049712
yagX,yagX,0.02725412979186588
yehA,yehA,0.027159776320404904
dmsD,dmsD,0.026922133909082935
yciA,yciA,0.026807443705339
ulaG,ulaG,0.026666418226814686
rplJ,rplJ,0.02640245610793017
ycfP,ycfP,0.026387833430380193
ybhO,ybhO,0.026195608287905976
acrR,acrR,0.026112534833126397
ygcP,ygcP,0.02608660392335479
arnT,arnT,0.02605348846095285
cca,cca,0.025913452786243373
intA,intA,0.025839272110766212
hdeD,hdeD,0.025744840170906374
yciQ,yciQ,0.025652293777132792
yafQ,yafQ,0.02544232457804364
dcuA,dcuA,0.02538595253044564
agaW,agaW,0.025361361916552704
ansB,ansB,0.02535726247625019
dacD,dacD,0.025265572960622117
yqiK,yqiK,0.02518823047292212
tatC,tatC,0.02507298852808232
ygcU,ygcU,0.024906772345694442
ycbJ,ycbJ,0.024748428023212306
dgt,dgt,0.024594456683235365
fdnI,fdnI,0.02456380544453482
yafX,yafX,0.024537562473362605
pdxH,pdxH,0.024524188432012452
caiC,caiC,0.024447917626028312
yghB,yghB,0.024369334234817807
dcuR,dcuR,0.024359057184641868
yncG,yncG,0.02435677884659745
yfgH,yfgH,0.024264251939367605
yidK,yidK,0.024260967585357434
yecT,yecT,0.02417883708364557
agaB,agaB,0.024168941024420493
aspS,aspS,0.023855398667848617
yegK,yegK,0.02367340101064979
fliJ,fliJ,0.023640551945939156
adiY,adiY,0.023623015366164412
yfeS,yfeS,0.023556691207133156
paaJ,paaJ,0.023351232126671957
yigL,yigL,0.023280091003393948
intE,intE,0.023268018269034296
yecS,yecS,0.023227308721431097
fliC,fliC,0.02316052442837547
INTR_alaXW,alaXW,0.023156039848959895
xerD,xerD,0.02300139892576829
ycjZ,ycjZ,0.02294111800908045
yohN,yohN,0.022842739060501625
yqaE,yqaE,0.022680384705150512
btuB,btuB,0.022676788202099736
ftn,ftn,0.02262937942808588
yijE,yijE,0.0225726333092215
yzcX,yzcX,0.022385477920119565
yjdL,yjdL,0.022379082855210775
rnb,rnb,0.02229239806874132
yieI,yieI,0.022025035275853894
fimH,fimH,0.022017686997715825
yfdQ,yfdQ,0.021983772798015222
yahD,yahD,0.021942188657195823
rplI,rplI,0.021937101528984773
csgB,csgB,0.02182746193697405
yiaB,yiaB,0.021814161453997616
xerC,xerC,0.021647103233018685
argD,argD,0.02157755070327546
kbaY,kbaY,0.021524336467170255
intR,intR,0.021521798180196828
rcsA,rcsA,0.02151090094393834
ompN,ompN,0.021501004172583993
yebR,yebR,0.021210726416332513
rplX,rplX,0.021168571261701387
yghJ,yghJ,0.021111054981175298
fes,fes,0.021021003524776163
dgsA,dgsA,0.021016542414372178
menC,menC,0.020889688577661967
sapD,sapD,0.02088905893255804
sgcC,sgcC,0.020832301574517136
ychG,ychG,0.020828050892854676
xni,xni,0.020827020011855036
xylG,xylG,0.02078643244937167
ybhN,ybhN,0.020760009186067217
ybhT,ybhT,0.02072045526948592
frc,frc,0.02063374248132672
mCherry,mCherry,0.020524156091834146
yabI,yabI,0.02046216752904707
molR,molR,0.020430358323176072
yliI,yliI,0.020392005843146984
chbC,chbC,0.020338506271071748
dsdX,dsdX,0.020253757604789112
dmsB,dmsB,0.020204852588021
essQ,essQ,0.020146187684933623
ybhI,ybhI,0.020111129805906913
coaA,coaA,0.019898719394571492
inaA,inaA,0.019872294852271037
yeaK,yeaK,0.019831405692351905
deaD,deaD,0.019829347350852213
avtA,avtA,0.019822897985463727
recJ,recJ,0.01978587681187326
exbD,exbD,0.019689159637879195
ybeZ,ybeZ,0.019565722727654843
gntK,gntK,0.019527817019236077
yaiT,yaiT,0.019519468914544796
cdh,cdh,0.019411082636991504
aldA,aldA,0.01940864904268921
garD,garD,0.019363785160585192
yihM,yihM,0.019359619499424715
nupC,nupC,0.019344887432270953
ybhA,ybhA,0.019268427786075546
malF,malF,0.019207454720426093
selD,selD,0.019088449714201882
dsbG,dsbG,0.018939643449590544
gspE,gspE,0.01890425266657633
yejO,yejO,0.01889478726982631
yagY,yagY,0.018768501476372587
ykgA,ykgA,0.01873145026960312
rpsM,rpsM,0.018712096125415207
ptrB,ptrB,0.018690099053267895
melB,melB,0.018550595214920886
rffG,rffG,0.018515342209116194
yaeQ,yaeQ,0.018425891883646506
ydiO,ydiO,0.018410068683527174
yfbN,yfbN,0.018377856447602745
yciM,yciM,0.01819917695247743
trxC,trxC,0.018097865673180405
ilvA,ilvA,0.018083513568651555
pepA,pepA,0.01798154336331322
lolC,lolC,0.01793994644733017
yedS,yedS,0.017923860344361053
ompW,ompW,0.01784088403584254
yhdA,yhdA,0.017820489610659587
deoA,deoA,0.01780118247230019
insH-1,insH-1,0.01764727444202973
eamA,eamA,0.017628839483226116
yqfE,yqfE,0.017593503004068083
nusG,nusG,0.017591505432280257
ypdD,ypdD,0.01757244779748459
yedJ,yedJ,0.017554267888336965
ynbA,ynbA,0.017481467988809007
csgG,csgG,0.017427608699262645
yjiN,yjiN,0.017419312625112347
djlB,djlB,0.017307537804700623
rfaK,rfaK,0.01728617829315659
yeaD,yeaD,0.017277767802582045
argG,argG,0.017254177099663193
yghW,yghW,0.017168368099153494
cheA,cheA,0.017114823764351757
ybcM,ybcM,0.017085658755522194
fhlA,fhlA,0.01708454929074726
nudD,nudD,0.017082759753484816
ygcK,ygcK,0.01708119024310255
yaiP,yaiP,0.017075648413859897
adhP,adhP,0.017005960255854418
ynfE,ynfE,0.017004897130273106
yqhG,yqhG,0.01698482876355403
rtcB,rtcB,0.01682845996039573
ftsH,ftsH,0.016811581050549956
slyX,slyX,0.01676388178186877
kdsC,kdsC,0.016734536524613937
rplT,rplT,0.016711683591942358
mcrA,mcrA,0.016633366265907997
ypjC,ypjC,0.016576765910092325
yrhC,yrhC,0.016461493138723457
truA,truA,0.01645934530980871
ycgG,ycgG,0.016341593368924615
ynaA,ynaA,0.016258277594883033
fabZ,fabZ,0.01624401179290524
pyrC,pyrC,0.016233110764202623
ycbT,ycbT,0.016219724448513134
dmsA,dmsA,0.016102019950791354
araG,araG,0.016088338144829448
rarD,rarD,0.016082929509146592
secA,secA,0.01607627428537016
hyi,hyi,0.015979359304745994
ybaQ,ybaQ,0.01597375671206009
hisQ,hisQ,0.015948997358726933
yehZ,yehZ,0.015763046820296542
ycjX,ycjX,0.01575732432235445
ygfI,ygfI,0.01573151119668839
narQ,narQ,0.01568300132928098
ygeH,ygeH,0.01563123207213286
melA,melA,0.01556508930596773
yliG,yliG,0.015551948553964384
fucR,fucR,0.015536943356189693
intZ,intZ,0.015489409955139742
fhuA,fhuA,0.015487197732064946
yciI,yciI,0.015470636863885636
ygfB,ygfB,0.01543376738285675
yjeO,yjeO,0.015275978041403135
nmpC,nmpC,0.015264923075703105
yqeK,yqeK,0.015238801788173278
ycdY,ycdY,0.015159408966835708
ydeQ,ydeQ,0.015095833713288636
pheA,pheA,0.015077151910732485
fimA,fimA,0.015051726516087344
envC,envC,0.01504231134219912
wcaM,wcaM,0.014929548789446924
ftsW,ftsW,0.014900665254004136
ydcJ,ydcJ,0.014876249002512021
potD,potD,0.014840341198537927
yeeA,yeeA,0.014761777534189875
mdtG,mdtG,0.014653145578196792
aroH,aroH,0.014644947559997443
ilvI,ilvI,0.014542379896082955
ydaG,ydaG,0.01451003157819372
uspG,uspG,0.0144618340026274
slp,slp,0.014460308854783553
plsC,plsC,0.014434163328417708
perR,perR,0.014368514929046032
yddK,yddK,0.01434995091703831
ivbL,ivbL,0.014342536710430584
yibN,yibN,0.014332303520340223
insK,insK,0.014285455720992496
yggD,yggD,0.01421170293191544
recE,recE,0.01419077677773718
bipA,bipA,0.014172827863653086
lspA,lspA,0.014151134761016227
ybgA,ybgA,0.014087874788195304
mgtA,mgtA,0.014047447834566604
yihN,yihN,0.013936688267564477
gudX,gudX,0.013899141077551367
yfjJ,yfjJ,0.013898442519998808
uvrB,uvrB,0.013846397755166379
yceB,yceB,0.013814661165733155
yadL,yadL,0.013794149042566962
afuC,afuC,0.013792138721247897
yehT,yehT,0.013767182194409597
ydbK,ydbK,0.013714871884185518
hdeA,hdeA,0.013680369720947603
gyrB,gyrB,0.013677458138805287
xapA,xapA,0.013671805117742079
bax,bax,0.013657953175421367
ycdW,ycdW,0.0136577603290756
yfjH,yfjH,0.01362090858150696
surA,surA,0.013618905766084538
nadA,nadA,0.013577094492380115
yjfJ,yjfJ,0.013569603415492069
insF-4,insF-4,0.013568586648602212
cof,cof,0.013512373172765296
ytfQ,ytfQ,0.013448971038470618
ybcL,ybcL,0.01342792960707688
sppA,sppA,0.01339145782300688
yfdF,yfdF,0.013319930664393253
afuB,afuB,0.01326684706027938
zwf,zwf,0.013218898432263086
rfbC,rfbC,0.01321602516433645
rspB,rspB,0.013178351405312646
ygiL,ygiL,0.013149417449835587
yfjV,yfjV,0.013116797265578583
ydeT,ydeT,0.01306120979028868
rpsC,rpsC,0.013056147335902591
metG,metG,0.013025649094743597
acrB,acrB,0.013020069271196723
ydcX,ydcX,0.013005631280089332
recC,recC,0.01296090517154766
ydiN,ydiN,0.012956107033872157
proV,proV,0.012936672457930636
bglA,bglA,0.012926430986528674
recN,recN,0.012919079177089515
ydcW,ydcW,0.012906009723445654
barA,barA,0.012854712084490245
hdfR,hdfR,0.01280800764693827
ygjN,ygjN,0.012679082606456074
tpx,tpx,0.012644246378689024
nirB,nirB,0.012604937727007342
yagL,yagL,0.012537082869156611
hslJ,hslJ,0.012510559449484147
yccM,yccM,0.012507739186851493
yddA,yddA,0.012490617353065678
ydeR,ydeR,0.012484461151400799
ycdB,ycdB,0.012462385941217949
tyrB,tyrB,0.01236485118416098
rfaB,rfaB,0.012354214853978399
yedD,yedD,0.012348185129575261
nfi,nfi,0.012304552040727853
betA,betA,0.01227236582781258
ydaT,ydaT,0.012256133573112324
yafK,yafK,0.012232564986298723
yeiM,yeiM,0.012213182426119495
yjgB,yjgB,0.012066912349327871
dacA,dacA,0.012059264867631833
yijP,yijP,0.012054543717381525
glnE,glnE,0.012040310263479934
rplS,rplS,0.011983973461125988
ynaI,ynaI,0.011955433227971983
yhiP,yhiP,0.01193643679699647
speA,speA,0.011889324904682945
hycI,hycI,0.011876415169368146
yfcU,yfcU,0.0118420798189999
yqiJ,yqiJ,0.011814843365911265
cysH,cysH,0.011784474164709922
accC,accC,0.011783880021829427
obgE,obgE,0.011692822695105626
fsaB,fsaB,0.01165002980901838
ycbW,ycbW,0.011633930874889216
phnE,phnE,0.011556920748794898
ycaK,ycaK,0.01155604247618571
phoQ,phoQ,0.011447684343089102
gatA,gatA,0.011395148747266957
rne,rne,0.011358463452697592
yeeN,yeeN,0.011350831262393127
sgcB,sgcB,0.011271050225764039
yfgI,yfgI,0.011222978851490938
glpA,glpA,0.011216610267730328
hsdR,hsdR,0.011200529685181553
rplA,rplA,0.011196134728533353
ydeH,ydeH,0.011110128939446172
ybaJ,ybaJ,0.011095105532420727
helD,helD,0.01105732731076124
yfeY,yfeY,0.011048703808389312
fsr,fsr,0.011046551359971379
nsrR,nsrR,0.010924199986014087
hemF,hemF,0.010905864923193941
ykfC,ykfC,0.010890239504760394
ycgH,ycgH,0.010871935138196771
fumC,fumC,0.010816585178592807
nadR,nadR,0.010704982422783917
idnR,idnR,0.010700116221409837
ftsZ,ftsZ,0.010683530526096946
narX,narX,0.010582765572823302
ecnA,ecnA,0.010573621301430698
yhhT,yhhT,0.010538164176512557
yahO,yahO,0.010537925517787854
ycaL,ycaL,0.010517242105667953
ynjD,ynjD,0.010511091453234983
ubiF,ubiF,0.010508409850780073
yciB,yciB,0.010504087595347178
nuoC,nuoC,0.010471675131527717
nhaB,nhaB,0.010467581914622385
fabF,fabF,0.010388230346551178
yceA,yceA,0.010380876073399325
tdcA,tdcA,0.01036613226108303
eutA,eutA,0.010361798394603274
ydjR,ydjR,0.010354711538223564
xapR,xapR,0.010331626908996661
htrG,htrG,0.010293605154529366
serC,serC,0.010261034759658352
rpe,rpe,0.010189410349400366
yieP,yieP,0.010181969501925264
lysU,lysU,0.010166796137387746
hlyE,hlyE,0.0101629997651114
fucK,fucK,0.010145253458897413
lrp,lrp,0.010125293130962486
talA,talA,0.010120393986933719
fimC,fimC,0.010086107158146005
zapA,zapA,0.010044332994381983
ybfG,ybfG,0.010029412925845301
ygbI,ygbI,0.010029054297534402
lysT--lysQoperon,lysT--lysQoperon,0.010008823801122536
visC,visC,0.00999546030825786
ybhD,ybhD,0.00993289250165249
ygcG,ygcG,0.009930582195637796
ybjO,ybjO,0.0099022790309142
yadR,yadR,0.009885064245357322
poxA,poxA,0.00970008489150654
ascG,ascG,0.009617716095439174
secB,secB,0.00957433307477751
yeeJ,yeeJ,0.009569934401290479
folK,folK,0.009568571626823747
pncB,pncB,0.00955936850961429
metH,metH,0.009519408016901688
mglC,mglC,0.009517540457083596
mukF,mukF,0.009463877511503767
ygaM,ygaM,0.009456985504905348
lsrK,lsrK,0.009412711789797992
fiu,fiu,0.00940822219743376
rpoB,rpoB,0.009397949556370076
sieB,sieB,0.009307645029877454
dnaE,dnaE,0.00930679856839859
yraJ,yraJ,0.009289207283894567
ydhF,ydhF,0.009275999248537982
yjjN,yjjN,0.009257714139795443
argS,argS,0.009251484189650709
pqiA,pqiA,0.009147748383946061
dinG,dinG,0.009146877877527016
umuC,umuC,0.009126405289171535
yjgF,yjgF,0.009119992872167837
yeaS,yeaS,0.009112000299569427
lpd,lpd,0.00910080655956309
lepA,lepA,0.009086568585051172
ygiW,ygiW,0.009080039301996487
torT,torT,0.009071242964251233
puuB,puuB,0.009070210004749233
yaeF,yaeF,0.009062440789554583
yjjM,yjjM,0.008977404497806743
rpoD,rpoD,0.008965095229091625
psiE,psiE,0.008940373294670918
gidA,gidA,0.008922773407794423
ispF,ispF,0.008915428018193105
marC,marC,0.008866441938858606
yidX,yidX,0.008820742605136888
narP,narP,0.00879354857026711
yobG,yobG,0.008755166842568165
yagJ,yagJ,0.008718807114840955
hokE,hokE,0.008707451447607704
rfaP,rfaP,0.008706659165137234
pinQ,pinQ,0.008697519576422306
yfaA,yfaA,0.008692290446571022
diaA,diaA,0.008646673889392246
yhbT,yhbT,0.008639260710615323
degP,degP,0.008617035854537023
