gene,gene_clean,coordination_score
tyrT,tyrT,0.5330034804502942
rpsK,rpsK,0.3919534550173345
rpsD,rpsD,0.39096574614545104
alaw,alaw,0.3890790384993405
rplO,rplO,0.38435737147541293
rrfB,rrfB,0.36067952470293074
rpoA,rpoA,0.3461190271180983
rpmC,rpmC,0.342651625636179
aspv,aspv,0.3364467232382429
rplC,rplC,0.32715075108377095
tff,tff,0.31484034029452923
rplL,rplL,0.3108566712391462
rplD,rplD,0.279523222667944
thrU---thrToperon,thrU---thrToperon,0.26467061951230014
rplW,rplW,0.2623523318361372
rpsN,rpsN,0.24508659886915063
rpsA,rpsA,0.2339725678320797
serV,serV,0.23351358739790734
tetR,tetR,0.2241741167892727
rplR,rplR,0.22408814400752805
rplF,rplF,0.20665795159442343
csrb,csrb,0.20336243977436486
rpsE,rpsE,0.1974451897876076
rplE,rplE,0.18389887258082796
rplJ,rplJ,0.17114326789616055
rplN,rplN,0.1553025671693138
rplV,rplV,0.154720668173625
rpmD,rpmD,0.14416846220651408
rplA,rplA,0.14129775706859418
secY,secY,0.13554607781836275
rpsM,rpsM,0.11332047254515779
rplX,rplX,0.11213527778320115
rplI,rplI,0.10086789340277132
Unnamed: 1,Unnamed: 1,0.10071066700569542
deaD,deaD,0.08707243902373701
mCherry,mCherry,0.08043754090100759
insH-1,insH-1,0.07792969532972653
yecT,yecT,0.07717979847364352
ydfK,ydfK,0.0695460907746755
rpoB,rpoB,0.06926201451306271
rpsH,rpsH,0.06893794901658859
rpsQ,rpsQ,0.06741972903752308
dmsB,dmsB,0.06702397740926316
ampE,ampE,0.06681427930814143
fusA,fusA,0.06545411423349032
ydcW,ydcW,0.06459820371707198
rpsS,rpsS,0.0610247340464946
INTR_alaXW,alaXW,0.0609837428851768
rplQ,rplQ,0.059583661261555794
yjcP,yjcP,0.055488777239139385
nusG,nusG,0.053313982082451514
rimM,rimM,0.05317436657991758
ftsH,ftsH,0.051199514130379216
yecJ,yecJ,0.049284809223603065
ulaE,ulaE,0.04792027411725902
acpP,acpP,0.04792023148774249
ydiO,ydiO,0.04742452498194259
nhaB,nhaB,0.04714575633689907
ycbJ,ycbJ,0.046010568555709924
ydaY,ydaY,0.04506617086393069
rplS,rplS,0.04475011535818138
rpsC,rpsC,0.04470137090313203
rpoC,rpoC,0.04435433020836359
yddK,yddK,0.04415815141543641
yecR,yecR,0.043848975961159296
fabF,fabF,0.04347254439859014
tfaE,tfaE,0.04317932777759463
ybaQ,ybaQ,0.04289086458483932
yeaG,yeaG,0.042494400591508226
ybhO,ybhO,0.0419149270560345
ykfC,ykfC,0.04135415043572202
pgl,pgl,0.040999777459264815
iscU,iscU,0.040627016799604385
ycaP,ycaP,0.04033761405137353
grxB,grxB,0.040253493131454446
glgC,glgC,0.04021696829217399
ybdR,ybdR,0.040073289612398304
rplT,rplT,0.03982895170570522
rfbC,rfbC,0.03952432561367351
adhP,adhP,0.03938139517356771
mdtF,mdtF,0.039184096388717594
fis,fis,0.0387990780414612
ybhA,ybhA,0.03864869977599862
imp,imp,0.038580072575877804
infB,infB,0.03790663929718457
yecI,yecI,0.03736036823908951
yadM,yadM,0.03719350862675065
ytfI,ytfI,0.03689769953668971
napB,napB,0.03680503224057832
narP,narP,0.03672906664767304
ygiC,ygiC,0.036658148790966724
ygeH,ygeH,0.03630200421343091
torA,torA,0.03600895372250152
ynbA,ynbA,0.03598895647319618
yfjD,yfjD,0.03597793984480105
yjjZ,yjjZ,0.03572003342465677
nupG,nupG,0.035591765747125505
yadK,yadK,0.035301280833504145
ybhH,ybhH,0.0350883170578336
garD,garD,0.03447732934358989
emrK,emrK,0.03433967699900376
ypdA,ypdA,0.034014211754552284
yqhA,yqhA,0.033979516061099745
fimI,fimI,0.03393010393306541
argD,argD,0.03372847741355405
envR,envR,0.033402173849893885
rne,rne,0.03339274196738643
ycaN,ycaN,0.03273020530674443
ompA,ompA,0.0326423747541052
hslJ,hslJ,0.03249795482122531
hycI,hycI,0.03217414198792042
dacB,dacB,0.03208324817338515
chbF,chbF,0.0320083473149758
yaeF,yaeF,0.031945068717095466
hokC,hokC,0.03193217052198791
rpsR,rpsR,0.031897441201330035
cydD,cydD,0.031857022627665973
hofB,hofB,0.031781723885341236
yieI,yieI,0.0316101831461212
crp,crp,0.031558662192012386
yddV,yddV,0.03147021525556422
glpT,glpT,0.03136001436671759
dsbG,dsbG,0.031170417277984697
yfbH,yfbH,0.031105887714067783
ghrB,ghrB,0.03109917955051897
cpxR,cpxR,0.030980948913419903
ycfZ,ycfZ,0.03066527817409572
paaY,paaY,0.03042910918481177
ynjI,ynjI,0.030279085711211247
mgtA,mgtA,0.030261952723919724
yqfA,yqfA,0.03025074041355295
ymfI,ymfI,0.03023116243268845
ygdI,ygdI,0.03021840108924181
slyB,slyB,0.03016971372766784
yeaK,yeaK,0.030070896405567944
djlB,djlB,0.029819055975273106
leuO,leuO,0.029525087519680818
araG,araG,0.029398662234043887
ykgN,ykgN,0.029226976064391886
kch,kch,0.02917482022550925
amiA,amiA,0.029146906377228273
ymfK,ymfK,0.028953364595665977
dusB,dusB,0.028889251199097084
phr,phr,0.028778288834557117
yjhA,yjhA,0.028773305798016315
ybhN,ybhN,0.02863843054721828
ybcS,ybcS,0.028354878579905325
serA,serA,0.028114743462737717
caiF,caiF,0.02798713829345366
yfdQ,yfdQ,0.027809778367150977
ffs,ffs,0.027583491248920993
yfjH,yfjH,0.02756333548855077
yadH,yadH,0.02738740991359719
torT,torT,0.027379546983801007
ygfG,ygfG,0.027330374308090363
ssnA,ssnA,0.02720014461164505
ybgH,ybgH,0.0271685988688674
yeaD,yeaD,0.027152401941325836
yeaY,yeaY,0.027147975918568597
cpxA,cpxA,0.027108515521066964
yhfZ,yhfZ,0.027027159763850655
metH,metH,0.026972442486156316
yehI,yehI,0.026944121220316145
yhcM,yhcM,0.02667828878550383
yijP,yijP,0.026598604200865666
yodA,yodA,0.0265748232631734
mtlA,mtlA,0.026535036216270555
yicN,yicN,0.02644134048292975
ycaL,ycaL,0.02638965772037146
sdiA,sdiA,0.026366880695982052
ydeN,ydeN,0.026331312217504527
yedN,yedN,0.026324550674997615
xdhB,xdhB,0.026162951597775243
rtcB,rtcB,0.02616058005756538
yihP,yihP,0.026046779308331425
ybdG,ybdG,0.02595504793645123
sufS,sufS,0.025893243260378652
yhdP,yhdP,0.025875293140098857
sieB,sieB,0.025863073074402502
kefB,kefB,0.025824675630904983
rfaJ,rfaJ,0.02578671251378899
rpsG,rpsG,0.02565991342046107
yedW,yedW,0.02561399410681492
glnE,glnE,0.02557107809296964
rnb,rnb,0.025530000797713146
helD,helD,0.025520053018430258
yafU,yafU,0.025514450566366233
wcaE,wcaE,0.025322615764025863
yeaV,yeaV,0.02531034078972006
fimD,fimD,0.025215118714004843
glnK,glnK,0.02519277806679114
prpR,prpR,0.025190826606091715
epd,epd,0.02511951808568692
ydfE,ydfE,0.02491688809717211
atoB,atoB,0.024887306176840967
chbR,chbR,0.02475720621511512
potH,potH,0.024736465325603946
tynA,tynA,0.024657110718591887
insO-2,insO-2,0.02456038369957122
ppc,ppc,0.024548924054574765
ligB,ligB,0.02451692884033719
ycjY,ycjY,0.024430725143097746
zur,zur,0.024372668548206827
nfrA,nfrA,0.024265782258520305
yjjU,yjjU,0.024210644862815968
aroE,aroE,0.024182834550673618
yhjB,yhjB,0.02415917366309805
ymjA,ymjA,0.024145247749990363
acrR,acrR,0.02413409747630248
dnaC,dnaC,0.024103995631940076
ybfO,ybfO,0.024088904704988822
ydiN,ydiN,0.023991622315703575
ampG,ampG,0.023976209078640273
yphG,yphG,0.023837684374199274
caiB,caiB,0.02382293868035712
elbB,elbB,0.023719368312384668
yceH,yceH,0.023677532481582185
fur,fur,0.023632184405846524
ivbL,ivbL,0.02361396247088333
yghJ,yghJ,0.023575724308892675
rffA,rffA,0.023527471651121425
yodB,yodB,0.023527097360022144
malT,malT,0.023490263666247575
inaA,inaA,0.0234182526570594
purH,purH,0.02338629990284249
mscL,mscL,0.023373593529046305
ypdD,ypdD,0.02324833615109449
ycjT,ycjT,0.023221299660477753
mutH,mutH,0.023125065230702367
dcuD,dcuD,0.023076430438997916
yhdU,yhdU,0.023071383746047804
pyrE,pyrE,0.02303265406552538
cbrC,cbrC,0.022989986151158433
xylG,xylG,0.022969526211879913
yjiV,yjiV,0.022898024350578864
ydjG,ydjG,0.022840296140231184
ymgB,ymgB,0.022834534608711002
ycgG,ycgG,0.022761828098435927
prlC,prlC,0.022761255414489895
hslO,hslO,0.02274109892321727
ybjO,ybjO,0.022730764985976967
yedQ,yedQ,0.022719728440876375
ycjM,ycjM,0.022670975753766077
csiE,csiE,0.022624842729863252
yqiJ,yqiJ,0.022553499300561386
sulA,sulA,0.022484067040965637
argA,argA,0.022464807845799576
murI,murI,0.022462734510425134
dgoK,dgoK,0.022446683821051246
ilvC,ilvC,0.022425647908486758
pstA,pstA,0.022386062733102667
fucU,fucU,0.02229565434503923
pyrC,pyrC,0.022271759218830445
rffH,rffH,0.02219868498013061
ymbA,ymbA,0.02216267517486992
cadB,cadB,0.022049241536415555
bglG,bglG,0.022033446134486018
flgA,flgA,0.022005128157149775
ybaE,ybaE,0.021947986998132087
malQ,malQ,0.02187545925302056
aaeA,aaeA,0.021812242111613103
idnT,idnT,0.02180302704552388
ybiW,ybiW,0.021758766906700797
yicO,yicO,0.02175693499143249
fliG,fliG,0.021666267878877415
nupC,nupC,0.021641946807453554
yejE,yejE,0.021559613431867623
wbbH,wbbH,0.02144201428581085
frc,frc,0.021441824499112215
yehM,yehM,0.02143554702491359
yjhV,yjhV,0.0213959385162154
yliI,yliI,0.02136045550400521
yggT,yggT,0.021341743902729162
yhfY,yhfY,0.02129706145132932
ydiI,ydiI,0.021259775301428
gudP,gudP,0.021201015690405115
galE,galE,0.021185909247269916
yidL,yidL,0.02105143602341807
dmsA,dmsA,0.020996295334493483
yfaQ,yfaQ,0.020939953773974316
dcuR,dcuR,0.0209279152002981
ygdH,ygdH,0.020925333464968818
yeaH,yeaH,0.020893129928397425
ycjX,ycjX,0.020792697594693228
ydiK,ydiK,0.020786686825839555
frlC,frlC,0.020750724918556212
ogt,ogt,0.02072364514272725
yedD,yedD,0.020711684342625446
yhdY,yhdY,0.020702041260706603
yadC,yadC,0.020623296234912818
rspB,rspB,0.020614277580783796
nuoM,nuoM,0.02057524761333752
yghS,yghS,0.020565815824136805
paaJ,paaJ,0.020505624854029302
yafO,yafO,0.020501932121523455
nagE,nagE,0.020445838435080438
yjiN,yjiN,0.02033188675604985
basS,basS,0.020301083660142227
tsr,tsr,0.020257028491450346
rpmA,rpmA,0.020196428652240393
fdrA,fdrA,0.020158065412201533
glpA,glpA,0.02014432880121153
ydbH,ydbH,0.020116727378256014
idnD,idnD,0.020087747642891958
recF,recF,0.020031551355441324
yfcF,yfcF,0.019977233637765074
intA,intA,0.019966515930449777
cadC,cadC,0.01996505446277621
fhuB,fhuB,0.019872868960406746
nagK,nagK,0.019870968223767677
ychF,ychF,0.019850387916158212
yhdX,yhdX,0.019841550595465583
yejB,yejB,0.01981207624602744
ygjK,ygjK,0.019763122686842625
arnA,arnA,0.019722543365557663
yfiB,yfiB,0.019719349381548557
copA,copA,0.01966900517570801
ydiS,ydiS,0.019529553588471138
rfaY,rfaY,0.019509795348861526
mtr,mtr,0.01947242621307008
abgB,abgB,0.019450770748666885
yfjU,yfjU,0.019427894542036084
rstB,rstB,0.01939204281139812
yfdX,yfdX,0.019369571607903695
ynaA,ynaA,0.019369201851605792
sfmH,sfmH,0.019313891171748476
citT,citT,0.0192391556352111
yfaS,yfaS,0.019167394300910214
pepQ,pepQ,0.019160354993189375
ebgR,ebgR,0.01915108813242382
pepP,pepP,0.019109630994778873
yebA,yebA,0.019089735210511435
recC,recC,0.019077886330846512
argO,argO,0.019066054638453674
yncG,yncG,0.019042528722638723
ydiM,ydiM,0.01904125759160177
rbbA,rbbA,0.019039275356224315
allR,allR,0.018883637638081277
dbpA,dbpA,0.018835153868166452
fliC,fliC,0.018790602049822105
macA,macA,0.018779859386129777
ccmE,ccmE,0.018768174235967695
yfdY,yfdY,0.018735066955944443
phnE,phnE,0.01869795712995821
yccZ,yccZ,0.01861135581561079
yjiM,yjiM,0.018555248360945825
yciX,yciX,0.018550233644921157
cvrA,cvrA,0.01851076276846147
cybB,cybB,0.018486663225841738
ygfH,ygfH,0.01841499228045125
ynfF,ynfF,0.018404221851542595
rhaS,rhaS,0.018372934360314945
leuC,leuC,0.018371586501299532
phnC,phnC,0.018359016849084343
yjgJ,yjgJ,0.018303771865021898
rffD,rffD,0.018248109978913775
ylaB,ylaB,0.01815432306198725
yfdG,yfdG,0.018146041248926915
lldD,lldD,0.018146036296283925
rpsB,rpsB,0.018071625921298226
alsB,alsB,0.018061216398716627
dinD,dinD,0.018034314753488732
hemB,hemB,0.018014564426705033
ybjL,ybjL,0.017993975090766938
ybbV,ybbV,0.017981374568914556
yraR,yraR,0.017978911351619043
ydjH,ydjH,0.01797463020102062
dacA,dacA,0.01796826773157063
nikA,nikA,0.017968207136835578
ydiA,ydiA,0.017958890771411558
agaD,agaD,0.017956871335026103
argE,argE,0.017937762202603177
cusF,cusF,0.01792752206953833
ybjX,ybjX,0.01791418332290176
yneH,yneH,0.017893913206637704
yafT,yafT,0.017871784477023207
gldA,gldA,0.01784716542664542
yicG,yicG,0.017846517320868553
secG,secG,0.017818201922288706
ybaM,ybaM,0.017812100265123462
ypjD,ypjD,0.01778091727432721
ygfB,ygfB,0.01777614151403142
rplK,rplK,0.01777510754670546
yegW,yegW,0.017753651691920655
yjiA,yjiA,0.01765671241735736
yfjX,yfjX,0.017653524115533826
sbmC,sbmC,0.017651755904898623
ydcJ,ydcJ,0.017646181537845584
yihI,yihI,0.017639951322888994
yeaM,yeaM,0.017615993794892742
recE,recE,0.01758341285820086
udp,udp,0.017502960505088407
nudB,nudB,0.01749634399177496
yhfK,yhfK,0.01748915435178644
yegT,yegT,0.01747205978781755
fucR,fucR,0.017454803209231786
rhsA,rhsA,0.01742570257962084
yjgM,yjgM,0.01741582377315611
ygeG,ygeG,0.017391494449722777
dusA,dusA,0.01737643491561734
hcaF,hcaF,0.01737596971743308
galR,galR,0.017342512089249067
yfcG,yfcG,0.01732043937581456
gatB,gatB,0.01728985926774289
hyfB,hyfB,0.01727965051813006
ygaT,ygaT,0.017266541741613725
xapA,xapA,0.017176344058581886
ycgV,ycgV,0.017138497917234062
rsd,rsd,0.017121323108856827
ubiB,ubiB,0.017091055616622976
ygeV,ygeV,0.017058177469189494
ybgQ,ybgQ,0.016962758010498392
ynfE,ynfE,0.016901681325534757
yfiD,yfiD,0.01687945190772933
hyaC,hyaC,0.016846019403758867
gntP,gntP,0.01684126552712313
ecnA,ecnA,0.016836795188926005
visC,visC,0.016829526029876894
endA,endA,0.016815835158049006
rcsF,rcsF,0.016765384901966194
yniB,yniB,0.016764791266264133
hyfJ,hyfJ,0.016754728561160306
ydhO,ydhO,0.016726153746710562
cstA,cstA,0.01672541263513286
ycaQ,ycaQ,0.016724604036347707
fhuD,fhuD,0.01671629081135486
yadS,yadS,0.016710140423013636
syd,syd,0.016708805489643465
sstT,sstT,0.01667681843267252
mutY,mutY,0.016625856925059784
ydfI,ydfI,0.016614290939662074
cbrA,cbrA,0.016613536520712128
gph,gph,0.01659794054051303
speD,speD,0.016582630289260096
ybaS,ybaS,0.016562960270414498
ybiY,ybiY,0.01656187287450168
mmuP,mmuP,0.016551609082902565
rcsC,rcsC,0.01650421205053483
yidI,yidI,0.016455317844837676
yeeI,yeeI,0.01644879077488829
trmD,trmD,0.01644375203315461
fliR,fliR,0.016381876100413074
elaC,elaC,0.01632864215103305
ybbS,ybbS,0.016326198307430113
acs,acs,0.016322298186670546
zupT,zupT,0.016321149573701812
puuB,puuB,0.01630591873301353
rhaR,rhaR,0.01629362537487104
yhhS,yhhS,0.016283374637752566
yddL,yddL,0.01626640371023321
allC,allC,0.016242599710538614
yhiM,yhiM,0.016228570265385468
ligA,ligA,0.016223287481795343
sapF,sapF,0.01622032746679704
ydbC,ydbC,0.016214221183315353
ycfQ,ycfQ,0.016202272156506596
astE,astE,0.0161759584727426
ycgZ,ycgZ,0.01614629528028385
fxsA,fxsA,0.016134560119656027
xylB,xylB,0.016125090868496308
menE,menE,0.01611222286037633
ydhV,ydhV,0.016110393017969227
yihM,yihM,0.016099380645265282
ybiC,ybiC,0.016082008412550197
uxaB,uxaB,0.016076842878796283
lsrB,lsrB,0.016069497111832285
mdtC,mdtC,0.016049456868789374
yjdL,yjdL,0.016040902513768898
rpiA,rpiA,0.01603974640612533
yeiP,yeiP,0.016022679507596352
ycjD,ycjD,0.01600228132001862
yrdB,yrdB,0.015995746153322086
ilvM,ilvM,0.015947998446694978
ribA,ribA,0.015936338335728207
fadJ,fadJ,0.015908301930745862
yadG,yadG,0.01590356618006701
insE-4,insE-4,0.01590113110805621
fumC,fumC,0.015884849017801878
yiaN,yiaN,0.01581963382932455
ycgB,ycgB,0.015794152336017924
hycC,hycC,0.01578806335459747
hdhA,hdhA,0.015765904196700157
envC,envC,0.015732652538036143
pspF,pspF,0.01572954343272352
hsdM,hsdM,0.01567949937775775
ycaC,ycaC,0.015676783512981813
aidB,aidB,0.015675870262537504
ygiL,ygiL,0.015650763656007094
hybO,hybO,0.015632804114554907
ydeA,ydeA,0.015622448647138173
xni,xni,0.015585600888706705
phoU,phoU,0.015565665528869331
tfaS,tfaS,0.015544282130795435
tesA,tesA,0.01553996630943425
sgcR,sgcR,0.015524408209305616
znuB,znuB,0.01552228399946458
rpsF,rpsF,0.015513887869177559
fucA,fucA,0.015507896605973072
yggJ,yggJ,0.015488080660205274
yiaH,yiaH,0.01547159657476217
pqiB,pqiB,0.015445845950859355
ychO,ychO,0.015420072343454293
pps,pps,0.015402262121930634
trpS,trpS,0.015379132381095405
ldcC,ldcC,0.015371781060659069
uvrC,uvrC,0.01535201423215579
yfeY,yfeY,0.015319403684208189
rrmJ,rrmJ,0.015309501243440642
ydiU,ydiU,0.01530130755108174
wzyE,wzyE,0.015285077909455328
cedA,cedA,0.015240913267908055
yifK,yifK,0.015234210774576127
djlC,djlC,0.015215885000358656
nadA,nadA,0.015211346210558712
cpsG,cpsG,0.015165860828426279
glmU,glmU,0.015102179168199963
yfcO,yfcO,0.015073530921519486
fes,fes,0.01505305523641976
rffT,rffT,0.015031083320228327
elaA,elaA,0.015014965449351611
yeaN,yeaN,0.01499575763168186
rhsC,rhsC,0.014983138329961359
treC,treC,0.014963439393044786
yqfE,yqfE,0.014937892592468176
kptA,kptA,0.014930413545464243
envY,envY,0.014882612387250714
yccM,yccM,0.014882574482590455
cysZ,cysZ,0.01488241345405509
yahI,yahI,0.01486985986836845
ydcZ,ydcZ,0.014862214454877568
cusR,cusR,0.01483904961781846
argR,argR,0.014815634476268488
aroD,aroD,0.014805115289037397
fldA,fldA,0.014798492608467221
tpx,tpx,0.01477274854116322
fdhD,fdhD,0.014752741754582237
mhpA,mhpA,0.014752022979499612
yjjV,yjjV,0.014726896265947809
ycdW,ycdW,0.014704227926022667
yjhD,yjhD,0.014690909449187082
glnL,glnL,0.014549802187648857
hyfC,hyfC,0.014537998508655382
obgE,obgE,0.01453535653180722
hisL,hisL,0.01452352064292687
yjbJ,yjbJ,0.014472692273064788
icd,icd,0.014464372161101644
pbpG,pbpG,0.014457944603687893
metE,metE,0.014456713192993086
yhhA,yhhA,0.014435259953095456
yegR,yegR,0.014433521570741754
fhuA,fhuA,0.014423640340008263
dkgA,dkgA,0.014414884761281764
yneL,yneL,0.01438356698327577
folM,folM,0.01438227618431981
tnaB,tnaB,0.014368802824283319
ydgD,ydgD,0.014360420842792614
ytfQ,ytfQ,0.014341754700881811
yheO,yheO,0.01433873774295653
yfaT,yfaT,0.014333937574239668
ydhZ,ydhZ,0.01429925060591147
fimE,fimE,0.01428984214890122
puuR,puuR,0.014284182371047546
