gene,gene_clean,coordination_score
tyrT,tyrT,0.3737752078941452
aspv,aspv,0.3334799613671886
alaw,alaw,0.3011861594520024
serV,serV,0.26711077034139596
tff,tff,0.2368947260218086
csrb,csrb,0.1324330027041198
rrfB,rrfB,0.12479884832153942
kanR,kanR,0.10573707423708735
thrU---thrToperon,thrU---thrToperon,0.062385007176411905
mCherry,mCherry,0.05888044072106278
tetR,tetR,0.047734543697022964
INTR_alaXW,alaXW,0.02871410018767604
vapC,vapC,0.017156308940166547
ydfK,ydfK,0.014338328360329493
lysT--lysQoperon,lysT--lysQoperon,0.01424734705742507
suhB,suhB,0.009759031552981278
purA,purA,0.009530342696670545
ihfA,ihfA,0.009199738991891878
fldA,fldA,0.008271866742587654
yafL,yafL,0.007696521571386382
ydhQ,ydhQ,0.007582210504899901
ligB,ligB,0.007320527766353378
paaG,paaG,0.00701058027252612
visC,visC,0.006850739882379002
aceF,aceF,0.006842450727782683
fxsA,fxsA,0.006825912838129913
yhjB,yhjB,0.006821956085967392
rraB,rraB,0.006815087197356514
ybdM,ybdM,0.006786258009000487
trkG,trkG,0.006551446611354291
ydcW,ydcW,0.006337455906523677
yedD,yedD,0.006259269580314111
yafO,yafO,0.006238775347293392
xapA,xapA,0.006223966397738399
xylB,xylB,0.0062128886963943005
glgC,glgC,0.0061178684602127605
dacD,dacD,0.006079905673946255
ygdI,ygdI,0.005888348468131034
ispE,ispE,0.005873226486536167
yddM,yddM,0.005862206453714804
yghY,yghY,0.005800417946331356
ynfE,ynfE,0.005741839849489852
racC,racC,0.0057162524414116145
yjbQ,yjbQ,0.005714841494588827
cysH,cysH,0.005706302027899777
yecT,yecT,0.005628071660684313
yjfM,yjfM,0.00560726602643721
phoH,phoH,0.005581801951864973
alr,alr,0.005516751169906626
xylR,xylR,0.005509104738923783
ydeS,ydeS,0.005503205883610409
yeeF,yeeF,0.005501923388289449
rbsK,rbsK,0.005456770441256908
ydjZ,ydjZ,0.005392633682367192
yahL,yahL,0.00537775894056483
ygiF,ygiF,0.005325509211881567
yffL,yffL,0.0052900215118577626
ydjY,ydjY,0.005221276231166602
yfaX,yfaX,0.005184664151445818
eptA,eptA,0.005160665834951965
ycgV,ycgV,0.0051488196018407645
yfhA,yfhA,0.005110366153555796
folK,folK,0.005089141086240506
sufS,sufS,0.0050872680925560165
nhaB,nhaB,0.005079882544006996
asd,asd,0.005037557536689635
lolE,lolE,0.0050216439888654775
hrpA,hrpA,0.005014950817056389
yqiK,yqiK,0.005012302708457306
ydiY,ydiY,0.0049713635612689076
yhfY,yhfY,0.004969397842888154
ptsI,ptsI,0.004961361478770836
