gene,gene_clean,coordination_score
ybfC,ybfC,0.24407626359028878
phnB,phnB,0.19734633815524874
ade,ade,0.1803755870472881
yeiJ,yeiJ,0.14153464709412442
yjgI,yjgI,0.13835362035840823
ydfR,ydfR,0.121044958099273
ybhM,ybhM,0.10651640248422618
yccZ,yccZ,0.10639449637358966
yffQ,yffQ,0.10470183937278918
csgA,csgA,0.09701230812856071
yicJ,yicJ,0.0960794580217739
ulaF,ulaF,0.09515952692575878
yihF,yihF,0.0947454150636929
ycaM,ycaM,0.09146514381977051
glpC,glpC,0.0869394298327418
yjjZ,yjjZ,0.08404303457049231
xdhB,xdhB,0.08398530847323205
frc,frc,0.07968944657083496
ynfE,ynfE,0.07918273883392422
treC,treC,0.0785497362358274
yjhS,yjhS,0.07823400984379768
sgbU,sgbU,0.07784837691917301
yadM,yadM,0.07631047602427062
phoE,phoE,0.07619605242642373
emrD,emrD,0.07601034529728111
rplF,rplF,0.07576878994127194
yrfD,yrfD,0.07378899996117005
rplC,rplC,0.07309618235383246
yghG,yghG,0.07291712936596638
yedN,yedN,0.067321729262841
rplL,rplL,0.06660088934688142
yciA,yciA,0.06601099508539393
pyrI,pyrI,0.06281139291645205
adiA,adiA,0.05996424328795085
yhjC,yhjC,0.059679216147831116
ansP,ansP,0.05967553622106467
rplA,rplA,0.05950035361584065
ycgG,ycgG,0.05893458756567432
rplD,rplD,0.058184044461431224
norW,norW,0.05784378376503357
rpsD,rpsD,0.05761782157671634
tehA,tehA,0.05709880825808198
dps,dps,0.05677117308518648
gnsB,gnsB,0.05559558392123089
yagK,yagK,0.055211738854357845
yfdX,yfdX,0.055146563933552835
yghS,yghS,0.05351650337085646
rplP,rplP,0.0531511243399792
pyrB,pyrB,0.05295306820595405
ygfS,ygfS,0.0528722808881271
yfaL,yfaL,0.05280826624781274
gabD,gabD,0.052411370358695274
yadN,yadN,0.052119379001821405
appY,appY,0.0515612430552527
rplW,rplW,0.05141595867434991
rplI,rplI,0.051356157408951025
kdpE,kdpE,0.05065324973391667
lomR,lomR,0.04942276372510472
yfeX,yfeX,0.04936557828525456
uxaB,uxaB,0.049215592820026646
rplJ,rplJ,0.04893759581345939
elaB,elaB,0.04892864293898442
rpsK,rpsK,0.048844950436343924
ytjA,ytjA,0.04777128019512118
yodA,yodA,0.047559929760895084
yidP,yidP,0.04754562515475083
yqeJ,yqeJ,0.04751759909259432
yfjT,yfjT,0.04696557629166421
hdeA,hdeA,0.04651643211303406
rpoS,rpoS,0.04609538685744319
ydaF,ydaF,0.045751088825437346
mdtG,mdtG,0.04521450665351347
