gene,gene_clean,coordination_score
yidP,yidP,0.20505588831573443
queF,queF,0.18670043444618392
ygbK,ygbK,0.18662497897051575
ppx,ppx,0.17933641543404488
ycbW,ycbW,0.16348939878799434
yfdR,yfdR,0.1554473789025891
insK,insK,0.12053177710563133
treB,treB,0.10782650831547998
hha,hha,0.10329025891927329
yjjM,yjjM,0.10293604539181672
yadD,yadD,0.102348235889129
ycaJ,ycaJ,0.09793857738935938
yagR,yagR,0.09607253111310672
yjcH,yjcH,0.09544945972874944
yagY,yagY,0.09467512841279445
gspO,gspO,0.08664495231423061
hcaT,hcaT,0.08042485036822601
yjhS,yjhS,0.08035909777591999
argE,argE,0.07130702612899523
yfjI,yfjI,0.06970353844190408
nupG,nupG,0.06728724678300059
coaA,coaA,0.06675634153031591
pspA,pspA,0.06556074242802681
araJ,araJ,0.06497447841867046
cadC,cadC,0.06348075270805946
ydfI,ydfI,0.0623743985000177
ycfQ,ycfQ,0.06184419594893005
yjeS,yjeS,0.05986764492765466
secM,secM,0.057507964521347626
gntP,gntP,0.05712829453718168
cpdB,cpdB,0.056881543352048654
ybiX,ybiX,0.05683496749804451
fdhF,fdhF,0.05679252399169219
yiaD,yiaD,0.05673381880950498
frvR,frvR,0.056628951403996826
tmRNA,tmRNA,0.055514866297288794
rhsB,rhsB,0.05546139963307747
tktA,tktA,0.05545053836226143
abrB,abrB,0.05498003806676204
yajR,yajR,0.054948203550958336
yiaY,yiaY,0.05404970703091675
yeaP,yeaP,0.05365155217595403
yjcP,yjcP,0.05316875599157216
yhjJ,yhjJ,0.053116396638830825
yfcY,yfcY,0.053003754285187415
yjcO,yjcO,0.052652980577460526
menA,menA,0.05245524145937281
ytfL,ytfL,0.051871326228009274
idnT,idnT,0.05154873303405495
htrL,htrL,0.05135224612014342
yhaK,yhaK,0.05129899417691809
dcuC,dcuC,0.051020405631664704
lysS,lysS,0.050889045870865436
ydfR,ydfR,0.050435918238190096
potE,potE,0.050027032145832394
hsdM,hsdM,0.04968510881410443
yfgL,yfgL,0.04947424819537016
yidJ,yidJ,0.04926416920338335
ycbF,ycbF,0.048814004245948686
ytfG,ytfG,0.0479118934556181
yjtD,yjtD,0.047818902887825025
yddW,yddW,0.04767739953833658
frmB,frmB,0.047564134783236164
yehC,yehC,0.04722394642187751
mdoB,mdoB,0.04701989963251343
yigE,yigE,0.04687595405891608
tdcE,tdcE,0.046800080410883294
speC,speC,0.04674315147115098
ydiJ,ydiJ,0.04593504057215432
ybiW,ybiW,0.0458343942274099
arpA,arpA,0.04577319015923217
rraA,rraA,0.04562676886521286
phr,phr,0.04534041512084645
yhgA,yhgA,0.04509443212281655
intF,intF,0.04466216793091633
intS,intS,0.04376435204450785
yagM,yagM,0.043669324367639956
hscC,hscC,0.04339397863652294
kefG,kefG,0.042466105679243936
yihS,yihS,0.04231148873037271
yjiC,yjiC,0.041933258893673504
caiC,caiC,0.04159659691005838
idnD,idnD,0.04145413901286441
ppdB,ppdB,0.04123882484743715
ydfU,ydfU,0.04120926084564189
yafK,yafK,0.041143486051664825
yfbN,yfbN,0.04108985902362891
aslA,aslA,0.04086270408433565
hsrA,hsrA,0.04074184105425118
yieL,yieL,0.040490327652640476
aspA,aspA,0.04044200861617265
feaR,feaR,0.03873746644740265
yihG,yihG,0.038572909260577354
sixA,sixA,0.03839988292412305
citC,citC,0.03822038001481119
yccS,yccS,0.038189622660905816
pstB,pstB,0.03711267385941241
bglH,bglH,0.03710235283680169
alsB,alsB,0.03703754525102518
yaaJ,yaaJ,0.037012771606058203
adiY,adiY,0.03683904344878033
yfiE,yfiE,0.036742925251796135
yeiJ,yeiJ,0.03670889414500954
ypdD,ypdD,0.03663019319902919
perR,perR,0.03624202857885627
ybiO,ybiO,0.03617575422051933
ygfY,ygfY,0.03589754757313152
rfbB,rfbB,0.03525086145195835
ydbK,ydbK,0.03494727479133146
fecB,fecB,0.0349363688244088
rspB,rspB,0.03471844377493691
ycgV,ycgV,0.03470643678426774
idnO,idnO,0.03452997557898335
bglG,bglG,0.03451463869567367
phnJ,phnJ,0.03449427870679443
yjiK,yjiK,0.034420894627650404
yegI,yegI,0.034357340041401674
wzxC,wzxC,0.03435011925311101
ydjH,ydjH,0.034319372454291855
ycfT,ycfT,0.03390860060383768
ydjJ,ydjJ,0.03386632737217711
cpxA,cpxA,0.03370250426216653
yojI,yojI,0.033562764733837555
rfaJ,rfaJ,0.03339383151573347
yjiA,yjiA,0.03329381972812269
yagL,yagL,0.033239632680169454
galS,galS,0.03313707743242736
purU,purU,0.03305651649510421
yhgE,yhgE,0.03304668651053228
ftsH,ftsH,0.0330130269438365
yfbL,yfbL,0.03272674351734036
rfbA,rfbA,0.032641552965366305
yjhG,yjhG,0.03254456489387944
yabP,yabP,0.03251158231357072
yfbM,yfbM,0.03233983451497498
yedV,yedV,0.032036957007962504
hsdS,hsdS,0.03200700189850402
rpsA,rpsA,0.031977605344162795
sgcC,sgcC,0.031770539115448415
actP,actP,0.031637076752863
yjjI,yjjI,0.03134533182394419
bglB,bglB,0.03130306234798399
yicN,yicN,0.031114169944525146
yqiI,yqiI,0.031092432066141346
yddG,yddG,0.030936230374350577
yhiL,yhiL,0.0309180488275639
mdtQ,mdtQ,0.030899763540651465
yejO,yejO,0.030874687779272644
rhtB,rhtB,0.03080805050626911
tetR,tetR,0.03055159354459257
acrA,acrA,0.03052828388568141
yjgX,yjgX,0.030504104424667146
yaiO,yaiO,0.030476227042657095
cadB,cadB,0.030459271356892224
ugd,ugd,0.030235638964767074
yaaA,yaaA,0.030070722476366177
htrE,htrE,0.02985353913100318
ydeS,ydeS,0.029850049233301132
chbF,chbF,0.02984890873742805
intR,intR,0.029843698847411997
ompL,ompL,0.02983109562039816
yaeI,yaeI,0.02974863700320981
ydcK,ydcK,0.029678710482390673
rng,rng,0.029488941201056173
yafU,yafU,0.02919559502847065
gadX,gadX,0.028702306686845216
sapF,sapF,0.028668843105798186
uxaB,uxaB,0.02862108428070584
yfaA,yfaA,0.028592299548302887
yifB,yifB,0.028551566999028714
yhfW,yhfW,0.02847551803084438
yidR,yidR,0.028410412242517228
yhiS,yhiS,0.02828305425678724
cmtA,cmtA,0.028249447632127646
wcaE,wcaE,0.028179509455191057
serA,serA,0.028124282625784633
eamA,eamA,0.027936328997839592
asmA,asmA,0.027751427140676313
adiA,adiA,0.027737593293139035
purH,purH,0.027625630827364776
leuC,leuC,0.02744715148859703
yncK,yncK,0.027330893774309452
yddB,yddB,0.027270341509066775
pspC,pspC,0.02723267858593484
chbR,chbR,0.027128706057031313
yjiR,yjiR,0.026979266303974844
yfbK,yfbK,0.026932840750291835
metQ,metQ,0.026787051705695814
clpX,clpX,0.026590306007931493
bglX,bglX,0.026574988183543823
wcaD,wcaD,0.02652461466645934
ybfG,ybfG,0.026466539021049947
nfnB,nfnB,0.026452476458305823
bglF,bglF,0.026450401545461473
rfaP,rfaP,0.026352969028301705
eptA,eptA,0.0262581985557236
dgoD,dgoD,0.026171587114146605
dppA,dppA,0.02613423965948557
dacD,dacD,0.02612796455637088
rplO,rplO,0.02600574495932992
rcsC,rcsC,0.02543681535317145
ddpA,ddpA,0.025331248300406138
ydiV,ydiV,0.025242529633106164
yddA,yddA,0.025166194705265058
prc,prc,0.025077550511268098
trkA,trkA,0.02504862078081954
yadM,yadM,0.024936835922879777
mscS,mscS,0.0249144093155751
yagX,yagX,0.02485701845411264
yddM,yddM,0.024847020180844566
kefB,kefB,0.024826800636927326
ydeH,ydeH,0.024692154178165875
yrfG,yrfG,0.024611530852820727
tdcD,tdcD,0.02458194624511201
ygcE,ygcE,0.0245724576771325
edd,edd,0.02456623922778724
phoU,phoU,0.024553876552744647
vapC,vapC,0.02453238804785754
rhaB,rhaB,0.024437850564788362
dacA,dacA,0.02439835656169432
yjfZ,yjfZ,0.024382509764275827
ydeN,ydeN,0.024210146438536976
gpp,gpp,0.024106319969307635
yeaH,yeaH,0.024106140064717407
yehD,yehD,0.023887134666760238
yijP,yijP,0.023858007668006335
garK,garK,0.02380484722514568
rumA,rumA,0.023734535816561358
ydfQ,ydfQ,0.02372982145350945
rplL,rplL,0.023726503484261953
ybiV,ybiV,0.023609192967194534
nlpA,nlpA,0.02350912392903212
glnB,glnB,0.023503627836503827
yjjP,yjjP,0.023489743802557306
psd,psd,0.02344676649510778
ydfP,ydfP,0.02344536271529591
cydD,cydD,0.02340844993886874
yeeL,yeeL,0.023405832988128913
yhcG,yhcG,0.023405730940452635
ydhV,ydhV,0.023302841593078057
wza,wza,0.02321443705151163
yadL,yadL,0.023205509774134943
rpiR,rpiR,0.02314896551257886
yehT,yehT,0.022880963683775013
fdhE,fdhE,0.02277237363909902
rhlB,rhlB,0.022732726978586797
ychF,ychF,0.02273075558946535
torZ,torZ,0.02271259027106915
xapB,xapB,0.022712475559479
yrdD,yrdD,0.022659846050366694
caiA,caiA,0.022619204439451604
cirA,cirA,0.02246900680874648
wzc,wzc,0.022449888612293974
yphF,yphF,0.02241032829551501
LELOBEKK,LELOBEKK,0.022378299594070797
fusA,fusA,0.02236777324503427
ybiY,ybiY,0.02236054074489178
dos,dos,0.022342663704011383
crr,crr,0.02232375504276745
LELOBEKK_ylpA,ylpA,0.022275093279905938
fumA,fumA,0.022245416928401086
yeeO,yeeO,0.022231942769268195
ynfC,ynfC,0.022167972910754636
rplC,rplC,0.02215703513650976
yacF,yacF,0.02212838038171556
yjgM,yjgM,0.0220133114789542
caiD,caiD,0.021951166707932686
rho,rho,0.021940528831880496
ptrB,ptrB,0.021930414538067686
aspC,aspC,0.021927474245506506
yegK,yegK,0.02184636091868377
ykgN,ykgN,0.021845021834984518
yfaL,yfaL,0.021781592291894015
yeiM,yeiM,0.02172079116331872
bisC,bisC,0.02166432913979342
araG,araG,0.02157051502987146
ccmG,ccmG,0.02156713881429422
ddpD,ddpD,0.021545298550692805
xylG,xylG,0.021446210297352754
yqjC,yqjC,0.021390931248593325
alkB,alkB,0.021372834744927557
ynjI,ynjI,0.02130785869045026
pstS,pstS,0.021274913319046948
uhpT,uhpT,0.021172343660931812
tynA,tynA,0.020954519494965462
ybjS,ybjS,0.020933518706104593
ymjA,ymjA,0.020792942479755078
livJ,livJ,0.020708593373126964
hscA,hscA,0.020676663290033138
yehR,yehR,0.02064943249634022
trmA,trmA,0.02054838146952689
cobU,cobU,0.020479487524506755
ybdG,ybdG,0.020476650526608884
ybeQ,ybeQ,0.020391324990035698
mcrB,mcrB,0.020390795065877293
rfaH,rfaH,0.02037208874719206
ybjI,ybjI,0.020367229467549874
recT,recT,0.020333799479432126
yicO,yicO,0.020227659159845264
wcaK,wcaK,0.020209468088138862
malF,malF,0.020194344049728082
dcuR,dcuR,0.020177414960790813
gidA,gidA,0.02017286439148512
idnR,idnR,0.020104120048854212
yegZ,yegZ,0.020021942170961458
atpD,atpD,0.020008525001687264
ycaO,ycaO,0.01991207880803443
glgX,glgX,0.019898960907396873
yjcQ,yjcQ,0.019879427378298523
hsdR,hsdR,0.019809308009968284
csgE,csgE,0.01978416241231827
yafC,yafC,0.019767608107331365
yeiN,yeiN,0.019725401314877745
rsmC,rsmC,0.019709703265094854
ompN,ompN,0.01969376808808095
ymfS,ymfS,0.019691931347839763
mglA,mglA,0.019669198316730946
ydjL,ydjL,0.019597678994024627
yrhC,yrhC,0.0195947526815066
yihQ,yihQ,0.019590368756946756
glf,glf,0.01954324245676037
ysaB,ysaB,0.0195431197202398
dnaT,dnaT,0.019524488432958283
dsdA,dsdA,0.019488433307473595
pgaA,pgaA,0.019467689262886872
citT,citT,0.019454214167766506
yccW,yccW,0.01944566515548391
yecJ,yecJ,0.019444945210025093
chaA,chaA,0.019249362848062383
yfcR,yfcR,0.019213507475839598
ymgA,ymgA,0.019212499725727607
ptsI,ptsI,0.019208955204486358
yjjB,yjjB,0.019185454596753665
yihA,yihA,0.01917186915476263
insF-4,insF-4,0.01916765203652857
yncD,yncD,0.019151656910870077
yffR,yffR,0.01913378569119522
ydhX,ydhX,0.01912116147867657
yfiQ,yfiQ,0.019112442920371123
hepA,hepA,0.019077238947065964
ydjI,ydjI,0.019014101607663557
ycfZ,ycfZ,0.019013818046509545
rplM,rplM,0.019002353637533515
folE,folE,0.018991970062286936
yidK,yidK,0.018951537713376845
