gene,gene_clean,coordination_score
zwf,zwf,0.0
mcrB,mcrB,0.0
mak,mak,0.0
malM,malM,0.0
malP,malP,0.0
malT,malT,0.0
malX,malX,0.0
malY,malY,0.0
malZ,malZ,0.0
manX,manX,0.0
manY,manY,0.0
manZ,manZ,0.0
marR,marR,0.0
mazG,mazG,0.0
mcrA,mcrA,0.0
mdh,mdh,0.0
metK,metK,0.0
mdoD,mdoD,0.0
mdoG,mdoG,0.0
mdoH,mdoH,0.0
mdtB,mdtB,0.0
mdtF,mdtF,0.0
mdtK,mdtK,0.0
mdtQ,mdtQ,0.0
melA,melA,0.0
melB,melB,0.0
metA,metA,0.0
metC,metC,0.0
metE,metE,0.0
metF,metF,0.0
maeB,maeB,0.0
macA,macA,0.0
maa,maa,0.0
lysS,lysS,0.0
lit,lit,0.0
livJ,livJ,0.0
lldD,lldD,0.0
lolA,lolA,0.0
lolB,lolB,0.0
lolE,lolE,0.0
lon,lon,0.0
lpcA,lpcA,0.0
lpd,lpd,0.0
lpp,lpp,0.0
lpxA,lpxA,0.0
lpxB,lpxB,0.0
lpxC,lpxC,0.0
lpxD,lpxD,0.0
lpxK,lpxK,0.0
lpxL,lpxL,0.0
lpxM,lpxM,0.0
lrhA,lrhA,0.0
lrp,lrp,0.0
lspA,lspA,0.0
lsrF,lsrF,0.0
lsrK,lsrK,0.0
ltaE,ltaE,0.0
luxS,luxS,0.0
lysA,lysA,0.0
lysP,lysP,0.0
lysR,lysR,0.0
metI,metI,0.0
metQ,metQ,0.0
napH,napH,0.0
mutY,mutY,0.0
msrA,msrA,0.0
mtlA,mtlA,0.0
mtlD,mtlD,0.0
mtlR,mtlR,0.0
mtr,mtr,0.0
mug,mug,0.0
mukB,mukB,0.0
mukF,mukF,0.0
murB,murB,0.0
mutH,mutH,0.0
mutL,mutL,0.0
mutS,mutS,0.0
mutT,mutT,0.0
nac,nac,0.0
mfd,mfd,0.0
nadA,nadA,0.0
nadC,nadC,0.0
nadE,nadE,0.0
nadK,nadK,0.0
nadR,nadR,0.0
nagA,nagA,0.0
nagB,nagB,0.0
nagC,nagC,0.0
nagE,nagE,0.0
nagK,nagK,0.0
nagZ,nagZ,0.0
nanA,nanA,0.0
nanT,nanT,0.0
mscS,mscS,0.0
mscL,mscL,0.0
msbA,msbA,0.0
mrp,mrp,0.0
mglA,mglA,0.0
mglB,mglB,0.0
mglC,mglC,0.0
mgtA,mgtA,0.0
mhpF,mhpF,0.0
miaB,miaB,0.0
minD,minD,0.0
mipA,mipA,0.0
mltC,mltC,0.0
mltD,mltD,0.0
mmuP,mmuP,0.0
mngB,mngB,0.0
mntH,mntH,0.0
moaA,moaA,0.0
moaB,moaB,0.0
mobB,mobB,0.0
modA,modA,0.0
modB,modB,0.0
molR,molR,0.0
motA,motA,0.0
motB,motB,0.0
mpaA,mpaA,0.0
mppA,mppA,0.0
mrcA,mrcA,0.0
mrcB,mrcB,0.0
mrdA,mrdA,0.0
mrdB,mrdB,0.0
lipB,lipB,0.0
ligB,ligB,0.0
ligA,ligA,0.0
hyfR,hyfR,0.0
hslV,hslV,0.0
hspQ,hspQ,0.0
htpG,htpG,0.0
htrC,htrC,0.0
htrG,htrG,0.0
hupB,hupB,0.0
hybB,hybB,0.0
hybC,hybC,0.0
hybO,hybO,0.0
hycE,hycE,0.0
hycG,hycG,0.0
hycI,hycI,0.0
hyfC,hyfC,0.0
hyi,hyi,0.0
leuS,leuS,0.0
iap,iap,0.0
ibpA,ibpA,0.0
icd,icd,0.0
icdC,icdC,0.0
idi,idi,0.0
idnK,idnK,0.0
idnO,idnO,0.0
idnR,idnR,0.0
idnT,idnT,0.0
ihfA,ihfA,0.0
ihfB,ihfB,0.0
ileS,ileS,0.0
ilvA,ilvA,0.0
hslU,hslU,0.0
hslR,hslR,0.0
hslO,hslO,0.0
hslJ,hslJ,0.0
hemX,hemX,0.0
hepA,hepA,0.0
hflC,hflC,0.0
hflX,hflX,0.0
hfq,hfq,0.0
hha,hha,0.0
hinT,hinT,0.0
hipA,hipA,0.0
hipB,hipB,0.0
hisG,hisG,0.0
hisJ,hisJ,0.0
hisL,hisL,0.0
hisS,hisS,0.0
hlyE,hlyE,0.0
hmp,hmp,0.0
hns,hns,0.0
hofC,hofC,0.0
hokC,hokC,0.0
hokD,hokD,0.0
holB,holB,0.0
holC,holC,0.0
hpf,hpf,0.0
hrpA,hrpA,0.0
hscA,hscA,0.0
hsdM,hsdM,0.0
hsdR,hsdR,0.0
hsdS,hsdS,0.0
ilvC,ilvC,0.0
ilvD,ilvD,0.0
ilvG,ilvG,0.0
iscU,iscU,0.0
ispE,ispE,0.0
ispF,ispF,0.0
ispG,ispG,0.0
ispH,ispH,0.0
ispU,ispU,0.0
ivy,ivy,0.0
katE,katE,0.0
katG,katG,0.0
kch,kch,0.0
kdgR,kdgR,0.0
kdpD,kdpD,0.0
kdsA,kdsA,0.0
kdsD,kdsD,0.0
kdtA,kdtA,0.0
kduD,kduD,0.0
kefB,kefB,0.0
kgtP,kgtP,0.0
kil,kil,0.0
ksgA,ksgA,0.0
lamB,lamB,0.0
ldcC,ldcC,0.0
ldhA,ldhA,0.0
lepA,lepA,0.0
lepB,lepB,0.0
leuA,leuA,0.0
leuC,leuC,0.0
leuO,leuO,0.0
ispB,ispB,0.0
iscR,iscR,0.0
ilvI,ilvI,0.0
iscA,iscA,0.0
ilvN,ilvN,0.0
imp,imp,0.0
inaA,inaA,0.0
infB,infB,0.0
infC,infC,0.0
insC-2,insC-2,0.0
insE-4,insE-4,0.0
insF-4,insF-4,0.0
insG,insG,0.0
insH-1,insH-1,0.0
insH-6,insH-6,0.0
insI-1,insI-1,0.0
insJ,insJ,0.0
insK,insK,0.0
insL-3,insL-3,0.0
insM,insM,0.0
insN-2,insN-2,0.0
intA,intA,0.0
intB,intB,0.0
intD,intD,0.0
intF,intF,0.0
intG,intG,0.0
intQ,intQ,0.0
intR,intR,0.0
intS,intS,0.0
intZ,intZ,0.0
iraP,iraP,0.0
napB,napB,0.0
narQ,narQ,0.0
zupT,zupT,0.0
qseB,qseB,0.0
purL,purL,0.0
purR,purR,0.0
purU,purU,0.0
putP,putP,0.0
puuB,puuB,0.0
puuC,puuC,0.0
puuD,puuD,0.0
puuR,puuR,0.0
pykF,pykF,0.0
pyrC,pyrC,0.0
pyrE,pyrE,0.0
pyrG,pyrG,0.0
qor,qor,0.0
queF,queF,0.0
recA,recA,0.0
racC,racC,0.0
racR,racR,0.0
raiA,raiA,0.0
rarD,rarD,0.0
ravA,ravA,0.0
rbsA,rbsA,0.0
rbsB,rbsB,0.0
rbsC,rbsC,0.0
rbsK,rbsK,0.0
rcsA,rcsA,0.0
rcsB,rcsB,0.0
rcsC,rcsC,0.0
rcsD,rcsD,0.0
purA,purA,0.0
ptsI,ptsI,0.0
ptsH,ptsH,0.0
ptsG,ptsG,0.0
pqiA,pqiA,0.0
pqiB,pqiB,0.0
prc,prc,0.0
prfA,prfA,0.0
prfB,prfB,0.0
prkB,prkB,0.0
prlC,prlC,0.0
proA,proA,0.0
proP,proP,0.0
proQ,proQ,0.0
proS,proS,0.0
proV,proV,0.0
proX,proX,0.0
prpB,prpB,0.0
prpR,prpR,0.0
prsA,prsA,0.0
psd,psd,0.0
psiE,psiE,0.0
pspA,pspA,0.0
pspB,pspB,0.0
pspC,pspC,0.0
pspE,pspE,0.0
