GO_ID,Term,Category,modes,n_modes,best_FDR,FDR_by_mode,eig_by_mode
GO:0002181,cytoplasmic translation,BP,"1,2",2,2.082981765907881e-33,m1=2.1e-33; m2=3.5e-25,m1=30.00; m2=7.71
GO:0006412,translation,BP,"1,2",2,3.830994461405169e-31,m1=3.8e-31; m2=2.4e-23,m1=30.00; m2=7.71
GO:0000027,ribosomal large subunit assembly,BP,"1,2",2,1.3033897833886726e-09,m1=1.3e-09; m2=1.3e-07,m1=30.00; m2=7.71
GO:0000028,ribosomal small subunit assembly,BP,"1,2",2,9.825732161599287e-08,m1=1.7e-06; m2=9.8e-08,m1=30.00; m2=7.71
GO:0046677,response to antibiotic,BP,"1,2",2,0.0001612859438937527,m1=1.6e-04; m2=2.8e-03,m1=30.00; m2=7.71
GO:0006417,regulation of translation,BP,"1,2",2,0.0004057121825657937,m1=4.1e-04; m2=8.5e-04,m1=30.00; m2=7.71
GO:0031564,transcription antitermination,BP,2,1,0.0011939815901068755,m2=1.2e-03,m2=7.71
GO:0032784,regulation of DNA-templated transcription elongation,BP,2,1,0.00209742732399846,m2=2.1e-03,m2=7.71
GO:0006353,DNA-templated transcription termination,BP,2,1,0.002317753261271667,m2=2.3e-03,m2=7.71
GO:0090605,submerged biofilm formation,BP,2,1,0.015752790475312185,m2=1.6e-02,m2=7.71
GO:0048870,cell motility,BP,2,1,0.015752790475312185,m2=1.6e-02,m2=7.71
GO:0006879,intracellular iron ion homeostasis,BP,2,1,0.015752790475312185,m2=1.6e-02,m2=7.71
