file_name,category,GMP_Cor,mode,eigenvalue,above_threshold,GO_ID,Term,Category,FDR,Ratio_in_study
SHX_biorep2B.csv,d,1.313298,1,7.650877962848165,True,GO:0002181,cytoplasmic translation,BP,0.03026238671364746,"(7, 40)"
SHX_biorep4A.csv,d,2.999315,1,8.332470332179255,True,GO:0002181,cytoplasmic translation,BP,2.9286268184559955e-16,"(18, 47)"
SHX_biorep4A.csv,d,2.999315,1,8.332470332179255,True,GO:0006412,translation,BP,2.3778016851591713e-14,"(19, 47)"
SHX_biorep4A.csv,d,2.999315,1,8.332470332179255,True,GO:0006417,regulation of translation,BP,0.00021561261412438883,"(6, 47)"
SHX_biorep4A.csv,d,2.999315,1,8.332470332179255,True,GO:0000027,ribosomal large subunit assembly,BP,0.00023233160585197347,"(7, 47)"
SHX_biorep4A.csv,d,2.999315,1,8.332470332179255,True,GO:0000028,ribosomal small subunit assembly,BP,0.015318365568242261,"(4, 47)"
SHX_biorep4A.csv,d,2.999315,1,8.332470332179255,True,GO:0006353,DNA-templated transcription termination,BP,0.04100014706842571,"(3, 47)"
SHX_biorep6A.csv,d,7.087446,1,9.054606785308952,True,GO:0002181,cytoplasmic translation,BP,3.9413213121715634e-23,"(22, 48)"
SHX_biorep6A.csv,d,7.087446,1,9.054606785308952,True,GO:0006412,translation,BP,2.8676664085899026e-19,"(23, 48)"
SHX_biorep6A.csv,d,7.087446,1,9.054606785308952,True,GO:0000027,ribosomal large subunit assembly,BP,8.248803572856207e-09,"(10, 48)"
SHX_biorep6A.csv,d,7.087446,1,9.054606785308952,True,GO:0000028,ribosomal small subunit assembly,BP,9.867078693920542e-05,"(6, 48)"
SHX_biorep6A.csv,d,7.087446,1,9.054606785308952,True,GO:0006417,regulation of translation,BP,0.009202563290340518,"(5, 48)"
SHX_biorep6A.csv,d,7.087446,1,9.054606785308952,True,GO:0006353,DNA-templated transcription termination,BP,0.043439431064113736,"(3, 48)"
VapC_biorep_t2A_filtered.csv,r,27.522079,4,8.243340261713277,True,GO:0002181,cytoplasmic translation,BP,5.861136523396065e-24,"(22, 43)"
VapC_biorep_t2A_filtered.csv,r,27.522079,4,8.243340261713277,True,GO:0006412,translation,BP,2.1041881750020026e-18,"(22, 43)"
VapC_biorep_t2A_filtered.csv,r,27.522079,4,8.243340261713277,True,GO:0000027,ribosomal large subunit assembly,BP,1.1083667755934691e-08,"(9, 43)"
VapC_biorep_t2A_filtered.csv,r,27.522079,4,8.243340261713277,True,GO:0000028,ribosomal small subunit assembly,BP,0.00018686283176485923,"(6, 43)"
VapC_biorep_t2A_filtered.csv,r,27.522079,4,8.243340261713277,True,GO:0046677,response to antibiotic,BP,0.006107689633884361,"(8, 43)"
VapC_biorep_t2A_filtered.csv,r,27.522079,4,8.243340261713277,True,GO:0006353,DNA-templated transcription termination,BP,0.01765831907825754,"(3, 43)"
VapC_biorep_t2A_filtered.csv,r,27.522079,4,8.243340261713277,True,GO:0042255,ribosome assembly,BP,0.03706663012083949,"(3, 43)"
VapC_biorep_t2A_filtered.csv,r,27.522079,4,8.243340261713277,True,GO:0031564,transcription antitermination,BP,0.038393771871010236,"(4, 43)"
VapC_biorep_t5A_filtered.csv,r,13.157392,1,12.060115369374117,True,GO:0002181,cytoplasmic translation,BP,2.8738402489262425e-18,"(16, 31)"
VapC_biorep_t5A_filtered.csv,r,13.157392,1,12.060115369374117,True,GO:0006412,translation,BP,6.023699142037164e-16,"(17, 31)"
VapC_biorep_t5A_filtered.csv,r,13.157392,1,12.060115369374117,True,GO:0000027,ribosomal large subunit assembly,BP,0.0007433925606522031,"(5, 31)"
VapC_biorep_t5B_filtered.csv,r,29.697887,1,30.00167648018674,True,GO:0002181,cytoplasmic translation,BP,2.082981765907881e-33,"(26, 35)"
VapC_biorep_t5B_filtered.csv,r,29.697887,1,30.00167648018674,True,GO:0006412,translation,BP,3.830994461405169e-31,"(27, 35)"
VapC_biorep_t5B_filtered.csv,r,29.697887,1,30.00167648018674,True,GO:0000027,ribosomal large subunit assembly,BP,1.3033897833886726e-09,"(10, 35)"
VapC_biorep_t5B_filtered.csv,r,29.697887,1,30.00167648018674,True,GO:0000028,ribosomal small subunit assembly,BP,1.7191555308926654e-06,"(7, 35)"
VapC_biorep_t5B_filtered.csv,r,29.697887,1,30.00167648018674,True,GO:0046677,response to antibiotic,BP,0.0001612859438937527,"(8, 35)"
VapC_biorep_t5B_filtered.csv,r,29.697887,1,30.00167648018674,True,GO:0006417,regulation of translation,BP,0.0004057121825657937,"(5, 35)"
VapC_biorep_t5B_filtered.csv,r,29.697887,2,7.705575901047756,True,GO:0002181,cytoplasmic translation,BP,3.490368007077017e-25,"(23, 39)"
VapC_biorep_t5B_filtered.csv,r,29.697887,2,7.705575901047756,True,GO:0006412,translation,BP,2.373144551661074e-23,"(24, 39)"
VapC_biorep_t5B_filtered.csv,r,29.697887,2,7.705575901047756,True,GO:0000028,ribosomal small subunit assembly,BP,9.825732161599287e-08,"(8, 39)"
VapC_biorep_t5B_filtered.csv,r,29.697887,2,7.705575901047756,True,GO:0000027,ribosomal large subunit assembly,BP,1.3398480900044235e-07,"(9, 39)"
VapC_biorep_t5B_filtered.csv,r,29.697887,2,7.705575901047756,True,GO:0006417,regulation of translation,BP,0.0008518574549492713,"(5, 39)"
VapC_biorep_t5B_filtered.csv,r,29.697887,2,7.705575901047756,True,GO:0031564,transcription antitermination,BP,0.0011939815901068755,"(5, 39)"
VapC_biorep_t5B_filtered.csv,r,29.697887,2,7.705575901047756,True,GO:0032784,regulation of DNA-templated transcription elongation,BP,0.00209742732399846,"(4, 39)"
VapC_biorep_t5B_filtered.csv,r,29.697887,2,7.705575901047756,True,GO:0006353,DNA-templated transcription termination,BP,0.002317753261271667,"(3, 39)"
VapC_biorep_t5B_filtered.csv,r,29.697887,2,7.705575901047756,True,GO:0046677,response to antibiotic,BP,0.002756357867718204,"(7, 39)"
VapC_biorep_t5B_filtered.csv,r,29.697887,2,7.705575901047756,True,GO:0090605,submerged biofilm formation,BP,0.015752790475312185,"(3, 39)"
VapC_biorep_t5B_filtered.csv,r,29.697887,2,7.705575901047756,True,GO:0048870,cell motility,BP,0.015752790475312185,"(3, 39)"
VapC_biorep_t5B_filtered.csv,r,29.697887,2,7.705575901047756,True,GO:0006879,intracellular iron ion homeostasis,BP,0.015752790475312185,"(4, 39)"
adam_matrix_filtered.csv,r,21.029702,1,11.249617786161068,True,GO:0002181,cytoplasmic translation,BP,1.9076590648700433e-48,"(32, 47)"
adam_matrix_filtered.csv,r,21.029702,1,11.249617786161068,True,GO:0006412,translation,BP,1.499788500535511e-39,"(33, 47)"
adam_matrix_filtered.csv,r,21.029702,1,11.249617786161068,True,GO:0000027,ribosomal large subunit assembly,BP,4.45240329741864e-12,"(11, 47)"
adam_matrix_filtered.csv,r,21.029702,1,11.249617786161068,True,GO:0000028,ribosomal small subunit assembly,BP,8.858792005434101e-11,"(9, 47)"
adam_matrix_filtered.csv,r,21.029702,1,11.249617786161068,True,GO:0006417,regulation of translation,BP,0.0014583128433590228,"(5, 47)"
adam_matrix_filtered.csv,r,21.029702,1,11.249617786161068,True,GO:0017148,negative regulation of translation,BP,0.006119936437840996,"(4, 47)"
adam_matrix_filtered.csv,r,21.029702,1,11.249617786161068,True,GO:0046677,response to antibiotic,BP,0.018436195961855636,"(7, 47)"
sample_13b_filtered.csv,r,24.275396,1,14.258587122087865,True,GO:0046183,L-idonate catabolic process,BP,0.04533066486343122,"(3, 36)"
