gene,gene_clean,P_i_above,P_i_top5,P_i_top10
mutm,mutm,0.010613010255151916,0.015736530488300895,0.009906367033656606
yjep,yjep,0.010613010255151916,0.015736530488300895,0.009906367033656606
yoba,yoba,0.010613010255151916,0.015736530488300895,0.009906367033656606
nird,nird,0.010613010255151916,0.015736530488300895,0.009906367033656606
ssuc,ssuc,0.010613010255151916,0.015736530488300895,0.009906367033656606
ydin,ydin,0.010613010255151916,0.015736530488300895,0.009906367033656606
mdtc,mdtc,0.010613010255151916,0.015736530488300895,0.009906367033656606
yadi,yadi,0.010613010255151916,0.015736530488300895,0.009906367033656606
yfci,yfci,0.010613010255151916,0.015736530488300895,0.009906367033656606
alsk,alsk,0.010613010255151916,0.015736530488300895,0.009906367033656606
ydcp,ydcp,0.010613010255151916,0.015736530488300895,0.009906367033656606
ybij,ybij,0.010613010255151916,0.015736530488300895,0.009906367033656606
dinj,dinj,0.010613010255151916,0.015736530488300895,0.009906367033656606
glca,glca,0.010613010255151916,0.015736530488300895,0.009906367033656606
insd-2,insd-2,0.010613010255151916,0.015736530488300895,0.009906367033656606
kdpa,kdpa,0.010613010255151916,0.015736530488300895,0.009906367033656606
acps,acps,0.010613010255151382,0.015736530488300104,0.009906367033656108
cusf,cusf,0.010601477372448263,0.015718516205844107,0.009895608162672084
yhdz,yhdz,0.010601477372448263,0.015718516205844107,0.009895608162672084
yfbb,yfbb,0.010601477372448263,0.015718516205844107,0.009895608162672084
yfax,yfax,0.010601477372448263,0.015718516205844107,0.009895608162672084
yfap,yfap,0.010601477372448263,0.015718516205844107,0.009895608162672084
argk,argk,0.010601477372448263,0.015718516205844107,0.009895608162672084
yjhf,yjhf,0.010601477372448263,0.015718516205844107,0.009895608162672084
yjin,yjin,0.010601477372448263,0.015718516205844107,0.009895608162672084
teha,teha,0.010601477372448263,0.015718516205844107,0.009895608162672084
ydcd,ydcd,0.010601477372448263,0.015718516205844107,0.009895608162672084
lelobekk_fino,fino,0.010601477372448263,0.015718516205844107,0.009895608162672084
kefb,kefb,0.010318864778560493,0.015299557208021593,0.009631797531963717
ygfi,ygfi,0.010318864778560493,0.015299557208021593,0.009631797531963717
ddpf,ddpf,0.010318864778560493,0.015299557208021593,0.009631797531963717
yeda,yeda,0.010318864778560493,0.015299557208021593,0.009631797531963717
mraz,mraz,0.010318864778560493,0.015299557208021593,0.009631797531963717
rpib,rpib,0.010318864778560493,0.015299557208021593,0.009631797531963717
emry,emry,0.010318864778560493,0.015299557208021593,0.009631797531963717
ydjf,ydjf,0.010231148156778341,5.6266335705087074e-05,0.00955006397568487
degq,degq,0.010231148156778341,5.6266335705087074e-05,0.00955006397568487
wcaa,wcaa,0.010231148156778341,5.6266335705087074e-05,0.00955006397568487
ydgj,ydgj,0.010231148156778341,5.6266335705087074e-05,0.00955006397568487
aidb,aidb,0.010231148156778336,5.6266335705086965e-05,0.009550063975684867
gapc,gapc,0.010231148156777625,5.6266335705083056e-05,0.009550063975684203
sgrr,sgrr,0.009968793795684671,0.012168855465432308,0.009305993793214841
prov,prov,0.009968793795684619,0.012168855465432244,0.009305993793214794
tqsa,tqsa,0.009968793795684619,0.012168855465432244,0.009305993793214794
ytfg,ytfg,0.009968793795684619,0.012168855465432244,0.009305993793214794
pdxj,pdxj,0.009968793795684619,0.012168855465432244,0.009305993793214794
acrf,acrf,0.009968793795684605,0.012168855465432225,0.00930599379321478
essq,essq,0.009908636235126948,0.01468905077877098,0.009259300112885624
yehr,yehr,0.009908636235126772,0.01468905077877072,0.00925930011288546
atob,atob,0.009902972056233299,0.0021550882461446276,0.009243915640957123
trph,trph,0.009902972056233299,0.0021550882461446276,0.009243915640957123
dcub,dcub,0.009902972056233299,0.0021550882461446276,0.009243915640957123
gnsa,gnsa,0.009902972056233299,0.0021550882461446276,0.009243915640957123
kdpb,kdpb,0.009902972056233299,0.0021550882461446276,0.009243915640957123
kdpd,kdpd,0.009902972056233299,0.0021550882461446276,0.009243915640957123
alla,alla,0.009902972056233287,0.0021550882461446284,0.00924391564095711
ugd,ugd,0.009857529550722215,2.0060394547605387e-06,0.00920280836362125
ydiz,ydiz,0.009857529550722215,2.0060394547605387e-06,0.00920280836362125
glcg,glcg,0.009857529550722215,2.0060394547605387e-06,0.00920280836362125
tus,tus,0.009857529550722215,2.0060394547605387e-06,0.00920280836362125
evgs,evgs,0.009857529550722215,2.0060394547605387e-06,0.00920280836362125
ilva,ilva,0.009857529550722215,2.0060394547605387e-06,0.00920280836362125
yfdy,yfdy,0.009340018722642738,3.120179102284726e-05,0.008737871186320335
yidf,yidf,0.009340018722642738,3.120179102284726e-05,0.008737871186320335
ybbc,ybbc,0.009340018722642656,3.1201791022846856e-05,0.008737871186320259
rffg,rffg,0.009174518364720443,6.077453881485243e-05,0.008583577312654892
yjfj,yjfj,0.00916981563635936,0.013596307544385112,0.008559271228601348
glcf,glcf,0.008910727081969216,0.0132100218207549,0.008326753098453418
baes,baes,0.00865697422364547,0.01283435709762774,0.008086857258245561
ycjr,ycjr,0.008631665239153362,0.012796328218965756,0.008065504810529103
ygcg,ygcg,0.00852895725370506,0.012645949323025886,0.00796119088410797
yfic,yfic,0.00833428663475684,2.5680872713672607e-05,0.007795369493471805
ugpa,ugpa,0.00803106554280466,4.865708629466833e-05,0.007496814799034693
