gene,gene_clean,P_i_above,P_i_top5,P_i_top10
srlE,srlE,0.00733210120769992,0.018693971003366443,0.010658659485336168
trpE,trpE,0.00733210120769992,0.018693971003366443,0.010658659485336168
mhpE,mhpE,0.00733210120769992,0.018693971003366443,0.010658659485336168
pspD,pspD,0.00733210120769992,0.018693971003366443,0.010658659485336168
dtd,dtd,0.006081988867954149,0.01248908843056014,0.008426453690926133
nrfG,nrfG,0.006081988867954149,0.01248908843056014,0.008426453690926133
ydaF,ydaF,0.0060529907305547775,0.012760502173215286,0.008211136713672232
aldB,aldB,0.006052990730554777,0.012760502173215282,0.008211136713672232
phnJ,phnJ,0.005149826837356582,0.002847085882882833,0.007575227702139458
zitB,zitB,0.005006630119081769,0.0006810451141307292,0.004459603107124188
araB,araB,0.004756151791977815,0.00566989292579876,0.006464839096887541
gltK,gltK,0.0046846557402721615,0.006285104206591152,0.006476272559546257
yijD,yijD,0.0046433595261904746,0.0008659994828480644,0.0052218550966876475
fecB,fecB,0.00458438197672167,0.0011905258482642303,0.004441179281899745
rhtA,rhtA,0.004560888845068239,0.004092944738968801,0.004095860661624581
ydcD,ydcD,0.004483795822207476,0.011435039809406482,0.006525344358637826
yccF,yccF,0.004457728028197674,0.0009212112808803056,0.005235818779347938
yjfY,yjfY,0.00444917489613307,0.002952029302023601,0.004639848893741746
ykgH,ykgH,0.00440989418539818,0.003288652497207973,0.005171319347647825
yagS,yagS,0.004356212171222685,0.003714052295125955,0.0038587722579732026
yjfI,yjfI,0.004131698320591146,0.002306515847968612,0.004215994144164859
yffL,yffL,0.004111790360903403,0.008305341137126748,0.005805572059394758
ygfK,ygfK,0.004064224456892622,0.008742573482714127,0.005419721183929401
nikA,nikA,0.004059725591686802,0.004617418546306488,0.005014759486503515
cobC,cobC,0.0040105733859085,0.005702605327426891,0.005677530655418949
thiM,thiM,0.004007663895555064,0.0016719915388600493,0.0052223108171848736
xylG,xylG,0.0039213327180366245,0.010043654000159278,0.005912982628168389
yceF,yceF,0.003910804720602007,0.004131377750895661,0.005072302456579239
crl,crl,0.0039032032927664093,0.00047871179357795296,0.003507482292037795
yqhG,yqhG,0.0038755817516510425,0.00420462277661145,0.004702258330695635
xylE,xylE,0.0038447898105218267,0.005261025455098461,0.0054982265615643525
fimB,fimB,0.0037577261232049687,0.0019729340044443637,0.0038354567364141715
melA,melA,0.0037303979485412307,0.009313191476771903,0.005354708918614713
wcaM,wcaM,0.003690045669571136,0.0005660785655818292,0.0034225898745226012
recT,recT,0.0036354650786474926,0.0028534620306250764,0.004447986940598929
nfrB,nfrB,0.0036108319428328935,0.004318002902664858,0.0050566924239739035
hokC,hokC,0.00360052752219505,0.008390295382508533,0.004776843835300333
melB,melB,0.003596612689689142,0.008614669103121326,0.005075096409285735
asnB,asnB,0.0035540560013683576,0.0023608260644397785,0.004892661290087949
yggP,yggP,0.0035150926447976376,0.006990725718287734,0.004511110548744589
yraH,yraH,0.003450366550509803,0.004132014892678426,0.003708840456813326
yccU,yccU,0.003363041464970525,0.0006491597561855034,0.0016311620031951102
lit,lit,0.003356864159274979,0.006978262557127646,0.004790558023629302
yecG,yecG,0.0033540740343334452,0.00227851957662456,0.002124897324099363
kdpB,kdpB,0.003352947533816547,0.0001451025968389237,0.0007751371824496874
kdpC,kdpC,0.003352947533816547,0.0001451025968389237,0.0007751371824496874
gudD,gudD,0.003343878315900904,0.0009061845349196211,0.0036684684428063452
bglF,bglF,0.0032449595859087984,0.0014640994896286395,0.00395615737643412
hdfR,hdfR,0.0032215691259630634,0.0012189467988319392,0.0029203868392446114
mreC,mreC,0.003140081398149083,0.0018169023081567373,0.004031868958827657
yhhQ,yhhQ,0.003092458191727267,0.007669882799672915,0.004458908097513938
cspI,cspI,0.003078183612048268,0.0005390968451416057,0.0015669428796153025
groS,groS,0.0030673008608130587,0.0013153076835810272,0.002153693347047457
yafZ,yafZ,0.003033756527004354,0.006652911730376731,0.0041594239565541855
yejA,yejA,0.003027708572836178,0.0008556681593285987,0.004091000901484476
pppA,pppA,0.0030233319454695696,0.005957711311397185,0.0040628195864880045
wbbH,wbbH,0.003006289544445599,0.0026773768037376177,0.003156542736996842
ybeQ,ybeQ,0.0029979139889351023,0.0037443054554679328,0.004225928429852361
mdlA,mdlA,0.002966764567826552,0.0057865557420453,0.004073645918074321
yjhD,yjhD,0.002953207528898906,9.873957721588588e-05,0.0006138659292277658
ppc,ppc,0.002873241310699415,0.002642152772047495,0.002692520998818527
gltB,gltB,0.0028594644188864654,0.0022504435034294257,0.002736217769149253
frlC,frlC,0.0028464484917657957,0.0020171107701714326,0.0034909783900962292
yggD,yggD,0.0028323110045851045,0.00028001041424975936,0.0018016389954241658
rhsC,rhsC,0.0028074621451711283,0.004622070489785655,0.0035638341068508685
yibH,yibH,0.0027893834181433558,0.00020721020550092687,0.0023850186893979272
LELOBEKK_fdoG,fdoG,0.0027689248675621747,0.0018009885030799008,0.003557231257140246
galS,galS,0.0027348111887817526,0.002802508458690122,0.0028503648994544686
yfaV,yfaV,0.0027027650075061396,0.0025587070995900215,0.0028331792724010517
pdxK,pdxK,0.0027027650075061396,0.0025587070995900215,0.0028331792724010517
fliQ,fliQ,0.0027027650075061396,0.0025587070995900215,0.0028331792724010517
ybaP,ybaP,0.0027027650075061396,0.0025587070995900215,0.0028331792724010517
cmtA,cmtA,0.002698109813932272,0.006135247977863129,0.0036726775606037644
rep,rep,0.002668701670888747,0.0012358177206982792,0.003836622540650567
ycaO,ycaO,0.0026316338953959934,0.0058497904732784795,0.003666551505801248
dgoD,dgoD,0.002628486895357248,0.005392354841677254,0.0035066368178243283
nrfA,nrfA,0.0026244060853900433,0.0001760671659874552,0.0005794709148530588
bglH,bglH,0.002614480180603329,0.0038863974229047765,0.003267862823057907
yfeS,yfeS,0.0026133731676470646,0.002926651906430352,0.002653283764606082
yciX,yciX,0.002579859253872402,0.0006007938061041437,0.0030141103645426512
yedM,yedM,0.002575721824349011,0.00098545297630418,0.0007737519959812641
yfiP,yfiP,0.002575721824349011,0.00098545297630418,0.0007737519959812641
holE,holE,0.002575721824349011,0.00098545297630418,0.0007737519959812641
glvC,glvC,0.002575721824349011,0.00098545297630418,0.0007737519959812641
yeiT,yeiT,0.0025493230396830147,0.00020671557992976936,0.002202698747229418
yiaT,yiaT,0.0025150330349668583,0.0010165644801060137,0.003067668278356625
rnd,rnd,0.0024951680469349545,0.0005598005904803402,0.0022890984324448454
yhdX,yhdX,0.0024792273269911235,0.0023134375766294016,0.0017767133669314354
ygeX,ygeX,0.002413334187041557,0.006362795600574151,0.003552268382059123
dacA,dacA,0.0024070130709087693,0.0032209377346416085,0.0033827798716278773
ybhM,ybhM,0.002375657723771658,0.0007463655907962085,0.0008040396536040772
ppiC,ppiC,0.002351932706633224,0.003754684535994183,0.003153564556672826
ydjL,ydjL,0.0023175319968725475,0.004643992108083429,0.003122100720634533
intF,intF,0.0023128519945542683,0.003155345224940535,0.0027465512599618653
yfcU,yfcU,0.002312544473256895,0.001655291481432066,0.002835054871579361
secF,secF,0.002293154310026153,0.0003179643753206884,0.0025958226160592234
lpxA,lpxA,0.0022857675759289505,0.004641670014545376,0.003113481984957672
