gene,gene_clean,P_i_above,P_i_top5,P_i_top10
fimD,fimD,0.0294543895468491,0.013047608908942028,0.007579467399875738
yaiL,yaiL,0.026553304124901457,0.011861148051565401,0.006642296973702881
tbpA,tbpA,0.02173695636362667,0.01018366181985904,0.005736870585083269
yidA,yidA,0.01826699917418917,0.012610725340572835,0.007514401516936863
citC,citC,0.01662508531676233,0.008247192099646732,0.00457246503800519
hipB,hipB,0.01615610625706854,0.007851169715965627,0.0044897959683081485
ycgN,ycgN,0.015431570193726755,0.006894395084709009,0.004049831808316399
yjeF,yjeF,0.01124329910589102,0.005075641982968842,0.0035673489530678756
ompG,ompG,0.00976186816828815,0.004266513916464044,0.0022838586256273695
fpr,fpr,0.009088896528209527,0.004647548674127512,0.003651025440624385
yagL,yagL,0.008560139502741204,0.004253566215248788,0.002487377453976831
dgoD,dgoD,0.007648054531427577,0.00344719470209212,0.0020513364027458826
yfjJ,yfjJ,0.006418371228963412,0.0030150271500047994,0.001857835897672874
fepB,fepB,0.0063884763970928436,0.0031208474279712313,0.001860232075070292
yehU,yehU,0.00609107217796089,0.0028592994231380416,0.002646689611774263
ybbL,ybbL,0.005967497023210275,0.003982741453550364,0.002395306274197769
ugd,ugd,0.005947561883437381,0.003257935161310315,0.0020539455306097295
yjgF,yjgF,0.005941276397962213,0.0029264834508699617,0.0023642829286379097
ybfQ,ybfQ,0.005099815774428439,0.0023739947497400985,0.001871113681548648
flgE,flgE,0.0049870580659823185,0.0022168708493194344,0.0017713899669626922
aspA,aspA,0.004706869064329694,0.002690446292523033,0.0024431662021895525
gltB,gltB,0.004613121931513414,0.0024356723056366478,0.0021681514607653574
tatC,tatC,0.0044272088858401375,0.0024287351241518247,0.001657915068768492
ygcJ,ygcJ,0.004378836762862294,0.002386417808989557,0.002314786584147242
cmtB,cmtB,0.0043186850365647894,0.0020872524619162734,0.0018317934849203955
yeaS,yeaS,0.00430523322130113,0.0019758583674798135,0.0011823463379660468
yihN,yihN,0.004268473643836082,0.0019966872740663486,0.0023345085044752024
phoE,phoE,0.0041491585629875975,0.004057198758661491,0.003435070069876119
rplO,rplO,0.004113313554788311,0.0019034682405180679,0.0010946569927714703
ihfA,ihfA,0.0038794224038004245,0.002293772480770733,0.0013878407533608713
glmS,glmS,0.0038519085840758326,0.0020270543251705796,0.0013568537708026226
hlyE,hlyE,0.0037591106076293014,0.0018164368978693317,0.0011278595050367858
yeeL,yeeL,0.003612039739252336,0.002139528963699499,0.0012948457791041653
intR,intR,0.003525084837729029,0.008418863018865902,0.005524442225857511
ybeQ,ybeQ,0.003498601011805189,0.0030997776588356524,0.00261897091357462
pgm,pgm,0.0033935746754820938,0.0016981925894938507,0.00126367621513806
sdaC,sdaC,0.0033522344254372297,0.0017801785718887168,0.0009791849381698516
