gene,gene_clean,P_i_above,P_i_top5,P_i_top10
fecC,fecC,0.005492301848756972,0.009750600728993837,0.008279870562718618
trpE,trpE,0.0051762712667233896,0.011342483058808063,0.007402097819929346
tff,tff,0.004305934464451123,0.011255418024110576,0.006610337222890747
ffs,ffs,0.0041626868601970755,0.011012001086978569,0.0063149378935833415
tyrT,tyrT,0.004121548505357589,0.009220924974715229,0.006336365322074214
usg,usg,0.003941769049832812,0.008687569613698896,0.005521122812563056
ymdB,ymdB,0.0034620684841383314,0.0007444890582115853,0.0035508443275225894
yhjC,yhjC,0.00334255680555356,0.007657543163299101,0.004825596728415156
ybhN,ybhN,0.0032479846285546217,0.008138093191452598,0.0050374228406146835
aspv,aspv,0.0031712375587933076,0.008076573377179097,0.004825482049884975
nadC,nadC,0.003105574815147981,0.004761656836312653,0.00436935108604686
rrfB,rrfB,0.003103824818296736,0.00717563304115398,0.004770371615758821
yggG,yggG,0.0028522863890650956,0.002303149179087112,0.003202541429371802
yciG,yciG,0.002785297312756188,0.00035834716753698224,0.001331371183125725
csrb,csrb,0.0027014799935428354,0.006528296507573524,0.003770662835165881
yafW,yafW,0.0026978015295734377,0.0009480951982015958,0.002898709319628301
rpsK,rpsK,0.0026491354909026934,0.005154968310548086,0.0038874875763984223
yfdY,yfdY,0.0026338156955603973,0.0045531015652952615,0.003651446432833319
rpsD,rpsD,0.0025074400068074067,0.0049427191169742115,0.0038012888453760954
acrE,acrE,0.0024942458274383704,0.005530616631175747,0.0035007849631168144
nrdF,nrdF,0.0023298796477846592,0.005440981835455349,0.003412313803541068
sodC,sodC,0.0022814892106723162,0.0011842563642255708,0.001510062390945414
kanR,kanR,0.002281197231648524,0.005919210022892838,0.0033792019974202944
yncA,yncA,0.0022686782940190228,0.0006030037936148168,0.0013116977088913104
serV,serV,0.002241276411602187,0.00474769289530591,0.003248055470191934
dsbA,dsbA,0.0022331636773935105,0.004400014598431582,0.003228771846235534
rpoA,rpoA,0.0021801600505183924,0.003775198008342508,0.0029289018011417855
cobB,cobB,0.002154588220612939,0.0037263922888879208,0.0031817265968325484
gcvP,gcvP,0.002125055171559295,0.003486831598885071,0.003115999166267716
rplO,rplO,0.002098393972272111,0.00484133627164909,0.0032224527101131213
rpmC,rpmC,0.0020527579556125714,0.0020597369668122574,0.0031857170805085497
rplC,rplC,0.0020268835609480607,0.0035617059909456373,0.0029853020844586766
Unnamed: 1,Unnamed: 1,0.0020021372814370466,0.004738798055957937,0.0027860441003305057
alaw,alaw,0.0019719082364507996,0.004248393618757573,0.0028966304858469667
mCherry,mCherry,0.0019475070985303122,0.005193949672986137,0.0029209835125688023
yfjM,yfjM,0.0019296377606837526,0.0010233105178797648,0.0017804200804402582
rplD,rplD,0.0018999049868506808,0.003394496082861971,0.002750635642873924
lpxM,lpxM,0.0018808208421777527,0.0006132781971141567,0.0018272951763683924
ynjD,ynjD,0.0018773311187444302,0.002907096734753557,0.0023794918952260206
yhhS,yhhS,0.0018736922421229488,0.0028953155700789405,0.002518075347542894
cspE,cspE,0.0018441681110247564,0.0034466276044344112,0.002412660151585207
ygjJ,ygjJ,0.0018326555442184634,0.000988653934911072,0.001314155138123994
