gene,gene_clean,P_i_above,P_i_top5,P_i_top10
tyrT,tyrT,0.005704345575335305,0.012159543084224386,0.00796467930950028
rrfB,rrfB,0.005598008393065626,0.011869137983783926,0.007803288828832268
rpsD,rpsD,0.004685292147607619,0.009916822244395966,0.006513041304941574
rpsK,rpsK,0.004514282222284577,0.00959475320766474,0.0062570794399744965
rplO,rplO,0.004435999393332945,0.009476295428027305,0.006209754909187613
alaw,alaw,0.004434770654388503,0.009459386208393549,0.006211122020070656
rpmC,rpmC,0.004335843886416309,0.009237976345917838,0.006071759369537631
aspv,aspv,0.004203248828549461,0.008872695247647618,0.00584139323671628
rpoA,rpoA,0.004195756472970133,0.00883780055402887,0.005855762008562819
rplC,rplC,0.00410329921899768,0.00853853124131961,0.005675341674363315
tff,tff,0.003872533333233927,0.007659819876964623,0.005286811742897477
rplL,rplL,0.003690932261900206,0.007843801660232404,0.005157079433676305
rplD,rplD,0.0034645468622587876,0.007150937552751801,0.004792711536721943
rplW,rplW,0.0033321136406194818,0.006896060504726828,0.004589406535475426
thrU---thrToperon,thrU---thrToperon,0.0031994844201014114,0.006321693337043168,0.004367549144449679
rpsN,rpsN,0.003120716835682476,0.0064438607541671645,0.004298409541947656
serV,serV,0.00305210593304387,0.006322307172762002,0.004271748854969929
rpsA,rpsA,0.0029070382953976415,0.00591216769364317,0.003908149992775583
rplR,rplR,0.0027357195501115724,0.005684496234165957,0.0037497102031294784
rplF,rplF,0.0026762453736566306,0.005680562956745632,0.003697939034452407
csrb,csrb,0.0026731650961352334,0.005117762841936438,0.0036112773957800385
rpsE,rpsE,0.002494384404526792,0.00526115407139104,0.0034703009707349776
phnC,phnC,0.002453829066381758,0.0022384190259485113,0.002523197725035454
tetR,tetR,0.002421726156561359,0.005037090220989319,0.0033294141292694126
rplE,rplE,0.0023688028201655064,0.004882493778009932,0.0033036432704014237
rplJ,rplJ,0.0021815508323085675,0.004398092512829389,0.0029197650416670573
rplN,rplN,0.002143536333921068,0.004290282619518888,0.0028460364973320555
rplV,rplV,0.0019720592051650017,0.00384914354772634,0.002592859121927286
rplA,rplA,0.0019160647132229292,0.003843024406108237,0.002594383782819248
secY,secY,0.001789555985550074,0.0034985351642314753,0.00236130004698009
rpmD,rpmD,0.001765220109903077,0.003550307582444124,0.002435267036518251
rpsM,rpsM,0.0016987454619110573,0.0028499173213993984,0.0019350589345267706
udp,udp,0.0016798434524308253,0.0009452744409996777,0.0011805480536539183
Unnamed: 1,Unnamed: 1,0.0016600903601989,0.003037512704991728,0.002246356459582366
rplX,rplX,0.0015938273241259938,0.0033313756757310663,0.002190241843249178
mokB,mokB,0.0014847830065509993,0.0010178391369535698,0.0009635919196221574
rpiB,rpiB,0.0014432676870674405,0.0006212864686889179,0.0012946762638243719
ybdB,ybdB,0.0013726332248311492,0.0010727398624389487,0.0009827311657245234
ycdZ,ycdZ,0.0013655219036082119,0.0015693053014380885,0.0014932474117120742
deaD,deaD,0.0013325737573498361,0.002225963593344861,0.0015764488596106878
thiM,thiM,0.0013220980371598657,0.0010601545809518682,0.0010616023260842948
npr,npr,0.0013126803989669297,0.0012940536296971268,0.0013036925194373618
mCherry,mCherry,0.0013086489560807922,0.0019066137617857238,0.0015143366500788085
fusA,fusA,0.0012490595600592302,0.002084774386998944,0.001654233195222699
rplI,rplI,0.001247567840742672,0.002485761282777755,0.001682376452512936
fabR,fabR,0.0012397020752816696,0.0009954965216485302,0.0011230163248143285
INTR_alaXW,alaXW,0.0012282612181902435,0.0014983088193657877,0.0014755469801216625
insH-1,insH-1,0.0012280109015526868,0.002067212533427338,0.0015315264400828008
rpoB,rpoB,0.0012258527670449197,0.0022383232686527064,0.0015364551685517092
nuoK,nuoK,0.0011957741337139457,0.0006340705144682423,0.0012654673223114728
yihP,yihP,0.0011852940272012948,0.001050482809026575,0.0010610567631886834
rpsH,rpsH,0.0011767232868603544,0.0019851956448356254,0.0014306815937037115
yecT,yecT,0.0011579965027663029,0.0019259226546434383,0.001437805229237834
ydfK,ydfK,0.0011476029230323554,0.0018520978367306327,0.0013788956068498447
hsdM,hsdM,0.0011399762382156202,0.0008624883243503371,0.0012551600324384995
ampE,ampE,0.0011341922955502846,0.0017456508956120876,0.0014584764922924978
ffs,ffs,0.0011119784823805051,0.0007811503623751296,0.0009924662657140601
yfeY,yfeY,0.0011074870814172025,0.0014705797687660797,0.0011790939150848334
yddM,yddM,0.0010775109867317582,0.0011305411619041159,0.0010354380394803821
rpsC,rpsC,0.0010770264772916416,0.001670449820572556,0.001276198782803968
glmU,glmU,0.0010762085351868269,0.0008208101345336855,0.0008329442556046584
dmsB,dmsB,0.0010657362978044739,0.001583740368378735,0.0013079007254922493
appY,appY,0.0010626081599677405,0.0010408064359445806,0.0009180805505095153
folP,folP,0.0010481723801994735,0.0008689543536155174,0.0010770612771092527
fruR,fruR,0.0010457514288897717,0.0008687715348044397,0.0008585019168313821
pepQ,pepQ,0.0010367724007893189,0.0009147029891485077,0.0009409049277534833
rplS,rplS,0.0010332013964716208,0.0015730725769028092,0.0012471642900852785
ftsH,ftsH,0.001027237555325938,0.0016040428828093412,0.0011342391889784646
dgoK,dgoK,0.001027187201850189,0.0012582053580319271,0.0010527358996976907
ydiH,ydiH,0.0010246303098960727,0.0005593770827573224,0.0011173939531269903
glpT,glpT,0.0010232272925520076,0.0007408876538911169,0.0010765015301819009
ogt,ogt,0.0010227076127269509,0.000930027714966804,0.0008286157752500754
hyfD,hyfD,0.0010181332459251028,0.0003278380928320592,0.0009479291789973001
rhaD,rhaD,0.0010012814738517002,0.000517845868728339,0.00087907895209484
ybdR,ybdR,0.000999523475318139,0.001214806496066855,0.0012305274893467208
surA,surA,0.000996315280083885,0.0006895164161965777,0.0008930261915790285
ylaB,ylaB,0.0009941239971353675,0.0008248832805175065,0.0008069461655219073
purA,purA,0.000984942309254915,0.0009602278842998879,0.001175690352334051
proQ,proQ,0.0009822088363077724,0.0006590758350820735,0.0008386036472275577
ompA,ompA,0.0009780589935957178,0.0014008351411555562,0.001141380555055053
dacB,dacB,0.0009758718067294207,0.0009520448419872359,0.0008009988152569139
ygbL,ygbL,0.0009736297197639802,0.00019863367376833318,0.0008617795342587482
yeaL,yeaL,0.0009718853000000512,0.0005471800168363084,0.0006484616472703371
torA,torA,0.0009701314196042806,0.0007720437115635554,0.0011683548633165746
ulaE,ulaE,0.0009678998780969973,0.0011097168740902951,0.0008410960219635193
yfcM,yfcM,0.0009668810924281075,0.0001955560842948038,0.000864066462779119
yecJ,yecJ,0.0009660259567611595,0.0011846852198164485,0.0011001898420269314
csiE,csiE,0.0009654037328864339,0.0007141366104130464,0.0006044856886144334
yfjU,yfjU,0.0009620669381178416,0.001011979930548739,0.0009290590574716081
ydaY,ydaY,0.0009594054652349438,0.00101787413054911,0.0011382113553797485
macA,macA,0.0009587647068521704,0.0004912761327399328,0.000994848112651335
rpsQ,rpsQ,0.0009554364270889382,0.0016842800830127072,0.0012416908084406696
rimM,rimM,0.0009544186942152159,0.0016125189567819628,0.0012395382145456856
cpxR,cpxR,0.0009469964569735674,0.0007604799074159655,0.0009695766426911576
narP,narP,0.0009433059198643537,0.0009648070246483939,0.0009900299523214228
ybhO,ybhO,0.00094305472399131,0.0011329147425871223,0.0009728209513890306
mscL,mscL,0.0009379701264639236,0.0006484998808206655,0.0012004208881946686
ybgH,ybgH,0.0009375574584341147,0.0006191903287801045,0.0009187996678601396
rpoC,rpoC,0.0009327383745620824,0.001379384825378991,0.0010842030496969431
dbpA,dbpA,0.0009297253135692817,0.0006779563215068259,0.0009484030150363174
phr,phr,0.0009257112338499158,0.001072758030076919,0.0010305331213075885
yfdY,yfdY,0.0009242885874220661,0.0008387968765754565,0.0010705583476295685
chbR,chbR,0.0009226073357126259,0.0008625351739657714,0.0011358569398171145
ybhH,ybhH,0.0009223354122419865,0.0010620869560807064,0.0008460481086603199
elaA,elaA,0.0009216359982332131,0.0007330979124548885,0.0009663122526015385
fbp,fbp,0.0009181858795117397,0.0006771934306566914,0.0006090324472723054
ptsG,ptsG,0.0009170551186807002,0.00041317210751204355,0.000879554571315349
ygiC,ygiC,0.0009165099036291812,0.0007972851549951936,0.0010964142494369175
ydcW,ydcW,0.0009149627484132664,0.0016003420666364481,0.001162446538515365
ybdM,ybdM,0.0009114994118540527,0.00033921217374044486,0.0007216942680991141
aes,aes,0.0009065408985628922,0.000699232950953118,0.0007441238965932258
rsgA,rsgA,0.0009046144961825369,0.0003019277595203623,0.0008321256242049376
focB,focB,0.0009015215382095912,0.0007812734544442617,0.0008293964869248222
yqiJ,yqiJ,0.000897845332993988,0.0007291558848383447,0.0008258432110471874
yfdP,yfdP,0.0008962634284916459,0.0007780828454247213,0.0009852702119373911
yafU,yafU,0.0008959486215606863,0.0009952408384132434,0.0009022885908740037
fhuD,fhuD,0.0008934207968409021,0.0008512805942393276,0.0009613443324917846
yhhS,yhhS,0.0008930966508347854,0.0006321298839929014,0.0007679763462303344
ybhB,ybhB,0.0008930504179138441,0.0009361231950343707,0.0006636608676757333
gcvH,gcvH,0.0008913566087730955,0.0009610296633301793,0.0007669464300667016
ykfC,ykfC,0.0008910220654872337,0.0013720299143671648,0.0010152922998658473
rne,rne,0.0008887956787017676,0.0010344205503584206,0.0010133596267071507
pgl,pgl,0.0008844507562841226,0.0012302044709922484,0.0010436394250663574
hemB,hemB,0.0008839563484881298,0.0008485983442634593,0.0007573223662082666
dapF,dapF,0.0008835582693326974,0.00048037698963830015,0.0008314135851720961
nusG,nusG,0.0008812834756394275,0.0017985145145398914,0.0012237384577373867
yfeO,yfeO,0.0008794378454061342,0.0007046619366928748,0.0006345281298188334
yrhA,yrhA,0.000877716787904478,0.0008465639250924063,0.0008397630028426153
recC,recC,0.0008762061831444661,0.0005608361012904312,0.0007885787429325641
malQ,malQ,0.0008745284664671323,0.0006510536499575178,0.0007926117677468737
hyfC,hyfC,0.0008728916136360479,0.00048275802327502206,0.0006676743203291568
insO-2,insO-2,0.0008715407527751094,0.0008876691503599945,0.0006196666668731293
yrfF,yrfF,0.0008695315506059634,0.0005819037216944947,0.0008296047232354158
cpxA,cpxA,0.0008692530371232984,0.0008527585798225913,0.0009055972427551971
yecR,yecR,0.0008689646252832182,0.0012929167020477382,0.0009816356940175758
rstB,rstB,0.000867512572380318,0.0007799767381744771,0.0009544038359630369
