gene,gene_clean,P_i_above,P_i_top5,P_i_top10
tyrT,tyrT,0.025528511806569107,0.025528511806569107,0.013849344980737649
aspv,aspv,0.022773496636021375,0.022773496636021375,0.012356081979488329
alaw,alaw,0.020630691141247093,0.020630691141247093,0.011212308600785842
serV,serV,0.018353489878134815,0.018353489878134815,0.009972285113586098
tff,tff,0.01625064518392187,0.01625064518392187,0.008904187259065931
csrb,csrb,0.009078986640691476,0.009078986640691476,0.004942972270714984
rrfB,rrfB,0.008572902107373076,0.008572902107373076,0.004784548305128362
kanR,kanR,0.0072412887953782305,0.0072412887953782305,0.0040902018451641235
thrU---thrToperon,thrU---thrToperon,0.004505389658763246,0.004505389658763246,0.00265631083593287
mCherry,mCherry,0.004326697425000886,0.004326697425000886,0.002504804005992929
tetR,tetR,0.003283309620336161,0.003283309620336161,0.0018769253158538721
INTR_alaXW,alaXW,0.0026521142961283516,0.0026521142961283516,0.001710481651365899
truB,truB,0.002171670549951823,0.002171670549951823,0.0016015097767560066
ulaE,ulaE,0.001972109648725393,0.001972109648725393,0.0012106910029098558
ygfM,ygfM,0.0019116177556177877,0.0019116177556177877,0.0015036810971660057
yddM,yddM,0.001853016002943971,0.001853016002943971,0.0012104508741048957
yegQ,yegQ,0.001787216385932885,0.001787216385932885,0.0013054085619338732
narI,narI,0.0016579484961624484,0.0016579484961624484,0.0014155075639861031
ispG,ispG,0.0016511656297777775,0.0016511656297777775,0.0010470570046002582
ynbB,ynbB,0.0016281741134570524,0.0016281741134570524,0.0011993737087660414
hscA,hscA,0.0015896870751618472,0.0015896870751618472,0.001340858155031884
cstA,cstA,0.0015894026688555072,0.0015894026688555072,0.0010688387459446864
efp,efp,0.00155160483556699,0.00155160483556699,0.0009075782691319965
fsaB,fsaB,0.0015391105912431588,0.0015391105912431588,0.0010560345180376293
yiaD,yiaD,0.001517150990621005,0.001517150990621005,0.000989750873644293
yciC,yciC,0.0015049202845397092,0.0015049202845397092,0.0014429498753646013
can,can,0.0014780198004206097,0.0014780198004206097,0.0009210142225834898
ydfC,ydfC,0.0014559349852219252,0.0014559349852219252,0.001023077032756325
yihS,yihS,0.0014379668414165026,0.0014379668414165026,0.0009460340814936293
sucC,sucC,0.0014110519735490194,0.0014110519735490194,0.0010518759556586
ydfK,ydfK,0.0014033542304226355,0.0014033542304226355,0.0011622953000090448
rfaC,rfaC,0.0014000592636658643,0.0014000592636658643,0.0009316803225474341
ygiH,ygiH,0.001398475967470644,0.001398475967470644,0.000848890892301574
dacD,dacD,0.0013871573604698755,0.0013871573604698755,0.0009622460875035004
ybdZ,ybdZ,0.0013847209494400811,0.0013847209494400811,0.0009864244359523906
nadB,nadB,0.0013719098926072149,0.0013719098926072149,0.0011861394443262716
yeaW,yeaW,0.0013566744810961436,0.0013566744810961436,0.0008435701999396981
yhbW,yhbW,0.0013553626020125825,0.0013553626020125825,0.000861926725727555
ldrD,ldrD,0.001353931401171805,0.001353931401171805,0.0008562212599644083
lysT--lysQoperon,lysT--lysQoperon,0.0013404034107735896,0.0013404034107735896,0.0009505118222215919
yieF,yieF,0.0013292988521488235,0.0013292988521488235,0.0012605273660017766
xylR,xylR,0.0013278184419703257,0.0013278184419703257,0.000762841380983491
rof,rof,0.0013212221611892418,0.0013212221611892418,0.0008478287164724509
yebU,yebU,0.001320151139159258,0.001320151139159258,0.0007637602384785466
ydjY,ydjY,0.001317440327159727,0.001317440327159727,0.0014554213352755989
hisI,hisI,0.0013168247838191822,0.0013168247838191822,0.0013195834468097433
vapC,vapC,0.0013065940073921692,0.0013065940073921692,0.0010511120476427052
mdlA,mdlA,0.0013063916913186174,0.0013063916913186174,0.0008521205096952322
gpp,gpp,0.0013039206780325302,0.0013039206780325302,0.001115439212002001
eaeH,eaeH,0.001293151915604517,0.001293151915604517,0.000896643210238072
accC,accC,0.0012888976389094674,0.0012888976389094674,0.0012008544027841041
csgB,csgB,0.001288739596404817,0.001288739596404817,0.0008740653812855378
rhtB,rhtB,0.0012874842746905114,0.0012874842746905114,0.0008909868454761458
alr,alr,0.0012860200643986103,0.0012860200643986103,0.00071450356237074
flgM,flgM,0.0012841591208207883,0.0012841591208207883,0.0012476334609053308
melA,melA,0.0012821887972026724,0.0012821887972026724,0.0012405043369590064
csgF,csgF,0.001282061715669512,0.001282061715669512,0.001114778115814787
yidX,yidX,0.0012795956409075342,0.0012795956409075342,0.0009450952082533552
araB,araB,0.0012706769269931128,0.0012706769269931128,0.0009061118443734278
aceA,aceA,0.0012696597578207985,0.0012696597578207985,0.0008162889608796297
rem,rem,0.0012545101042338838,0.0012545101042338838,0.0009335013614884022
metH,metH,0.0012344450704547308,0.0012344450704547308,0.000734088531876264
lpxD,lpxD,0.00122827037334483,0.00122827037334483,0.0009441875207615632
flgL,flgL,0.0012169209263672254,0.0012169209263672254,0.0007708266578596171
guaA,guaA,0.0012062161200498322,0.0012062161200498322,0.0007623118361216821
nrdF,nrdF,0.001204061672731657,0.001204061672731657,0.0007901473565617257
ynfL,ynfL,0.00119587602178735,0.00119587602178735,0.0010830036204630099
yhbU,yhbU,0.001190004543165327,0.001190004543165327,0.0013868103185453683
yagP,yagP,0.00118907134832204,0.00118907134832204,0.0007460645832231338
visC,visC,0.0011882617720830884,0.0011882617720830884,0.0009824268061469196
yjaG,yjaG,0.0011874714145862252,0.0011874714145862252,0.0009707565048733116
rfaZ,rfaZ,0.001182597246779422,0.001182597246779422,0.0013861102093900711
gapC,gapC,0.0011799023821840021,0.0011799023821840021,0.0010533469811008687
ynfE,ynfE,0.0011789915311907942,0.0011789915311907942,0.0007164958276780314
ydhR,ydhR,0.001176544529224659,0.001176544529224659,0.0007558848245113538
ycgZ,ycgZ,0.0011675205419224566,0.0011675205419224566,0.0009603147222940155
yijE,yijE,0.0011618956999443055,0.0011618956999443055,0.000817755347664717
yaiE,yaiE,0.001154856639547604,0.001154856639547604,0.0008545725639412769
yfgL,yfgL,0.0011516616331624665,0.0011516616331624665,0.0007706792807249809
ychE,ychE,0.0011372966117789319,0.0011372966117789319,0.0008046027749001124
entB,entB,0.001134117946293962,0.001134117946293962,0.0006573657666055414
yfcZ,yfcZ,0.0011151129996971505,0.0011151129996971505,0.0011632624205575922
msrB,msrB,0.0011138118810726722,0.0011138118810726722,0.0010098071912517327
xylB,xylB,0.0011083876495556033,0.0011083876495556033,0.0009041316894960277
yiiR,yiiR,0.0011075787870628204,0.0011075787870628204,0.0008855413588956129
ulaF,ulaF,0.001104579100057199,0.001104579100057199,0.0008233185271324535
ypdF,ypdF,0.0010996652223789743,0.0010996652223789743,0.0007071626267435429
astC,astC,0.001089237092248825,0.001089237092248825,0.0007519875350165784
lolE,lolE,0.0010891660371286434,0.0010891660371286434,0.0012280831537156442
mtlA,mtlA,0.00108306119733041,0.00108306119733041,0.0006514687642055188
yhjX,yhjX,0.001075692242268626,0.001075692242268626,0.0008684637058669654
nhoA,nhoA,0.0010752824154617027,0.0010752824154617027,0.0008514702638306654
obgE,obgE,0.0010678635614272155,0.0010678635614272155,0.0007590402262287618
dgoT,dgoT,0.0010675394670339575,0.0010675394670339575,0.0008027551452029515
eptA,eptA,0.0010656666809350404,0.0010656666809350404,0.0007414162120515064
yhfW,yhfW,0.0010651085185236823,0.0010651085185236823,0.0006446946170570753
osmC,osmC,0.0010595967790018308,0.0010595967790018308,0.0006667655023637544
aceK,aceK,0.001059027570935692,0.001059027570935692,0.0007599548128236074
ybbW,ybbW,0.0010563204348107433,0.0010563204348107433,0.0006734278181501082
erfK,erfK,0.0010554212570077887,0.0010554212570077887,0.0009074155982562536
entD,entD,0.001055328048336371,0.001055328048336371,0.0007766369967989648
yliK,yliK,0.0010550291721036316,0.0010550291721036316,0.000695482495760735
yjhE,yjhE,0.0010516954779948558,0.0010516954779948558,0.0007188322261113296
ydhY,ydhY,0.0010512764068626136,0.0010512764068626136,0.0006685639551745978
atoA,atoA,0.0010507153439234937,0.0010507153439234937,0.0010353897449916652
manX,manX,0.0010506787127143506,0.0010506787127143506,0.0007366360837653436
lpcA,lpcA,0.00105040807407409,0.00105040807407409,0.0006312214129757248
rplA,rplA,0.0010493415500805409,0.0010493415500805409,0.000740321402258967
rfaF,rfaF,0.0010466347095193227,0.0010466347095193227,0.0007923642905455535
