gene,gene_clean,P_i_above,P_i_top5,P_i_top10
treC,treC,0.003232705293137531,0.0012744697880872724,0.007176016483698637
ybfC,ybfC,0.003183724896491217,0.014082125988692054,0.007876984528096811
ydfR,ydfR,0.003106299117253423,0.011696323164040566,0.007417907642753211
ycaM,ycaM,0.0029001383719525426,0.009392521315683165,0.006842881231090916
frc,frc,0.0028232951401499975,0.0018184826998761505,0.006180267354360587
yccZ,yccZ,0.002756097600891607,0.010054663046534358,0.006500488390173755
phnB,phnB,0.0026601965197101188,0.011465199732128492,0.0064737821792041185
glpC,glpC,0.002587761699532005,0.00937461210746864,0.005933887995288143
yihF,yihF,0.002463497033158165,0.008864438616726951,0.005745290539183725
yicJ,yicJ,0.002451282803342699,0.009407438319440617,0.005746162024382245
ade,ade,0.0023918057569469455,0.01035095973860516,0.005833573932462853
csgA,csgA,0.0023833945139345395,0.008834328060838134,0.005408997802369948
tehA,tehA,0.0023052935578421687,0.00011746802527353508,0.005439562686559864
gabD,gabD,0.0022259247165275836,0.000756503192288747,0.0046197908754809945
xdhB,xdhB,0.0021484913070967874,0.008261949490331365,0.00499161680601838
yfaL,yfaL,0.002123835949077815,2.7858834995926423e-05,0.0050464076177256225
yadN,yadN,0.0021045436847911296,0.0004827113697758837,0.004134398134224515
pyrI,pyrI,0.0020914611709676885,0.001285898050548147,0.00492624666377851
yidP,yidP,0.0020443716272893985,0.000619468512467649,0.004151244818632892
yjjZ,yjjZ,0.002007635099362406,0.007600161342791843,0.004693118062339302
yrfD,yrfD,0.002005153672663966,0.006886612831167157,0.00449818084871527
yfeX,yfeX,0.0019897262893014585,0.0001751180454158013,0.0045620026040653905
yffQ,yffQ,0.001974327031739723,0.006975805065354372,0.004792743355974227
yjgI,yjgI,0.0019411019522833988,0.007980119197948991,0.00451760039734091
yqeJ,yqeJ,0.0019176812356449366,9.423245733966137e-05,0.004529940626955563
adiA,adiA,0.0019028421957866992,0.006284111901731998,0.0044050853052342515
pyrB,pyrB,0.0018888037308548496,0.0006651403299845328,0.004445456868340827
astE,astE,0.001880180970065166,0.0010117782783993705,0.003731159333167185
yeiJ,yeiJ,0.001860751939459328,0.008177198107572885,0.004578643835548986
ttdA,ttdA,0.00177454905549048,0.0003158406512774382,0.003400199117855682
nirD,nirD,0.0017487869864396656,0.0005208706860668256,0.003569489367582578
ydhU,ydhU,0.0017480639275366185,0.00013401966033453567,0.0008909760878585207
yciA,yciA,0.0017197905023003896,0.00661284704978719,0.00403102101160686
paaA,paaA,0.0017157536134701674,0.00038033458026242315,0.003353330327846166
ygaD,ygaD,0.0017083055007674139,0.000703066921118961,0.0035160769384820624
yhjX,yhjX,0.0016645008435036326,0.0008099710532083282,0.0016933370860543746
adiY,adiY,0.0016443648735546186,0.0003141561531145826,0.00030980323891509966
srlA,srlA,0.0015990302036096862,9.630038973771985e-05,0.003713248095500043
ynfE,ynfE,0.00157235391208887,0.004363681527726481,0.002450843502068983
ycgG,ycgG,0.001553220037263943,0.005538919744365442,0.003522047526878254
paaH,paaH,0.001538322772912763,0.004051377135761535,0.002694472015051818
ydaF,ydaF,0.0015212451747062554,0.004792573783188573,0.0033428163561975144
norW,norW,0.0015205949874638287,0.005543475521475946,0.003484505795251866
zraR,zraR,0.0015197127191207375,0.0005555650389415528,0.0028241327081110768
bioH,bioH,0.0015041010124677364,0.0005979915564837972,0.0030534601976104094
uhpC,uhpC,0.0015023867340749966,0.0006805476027467071,0.0014692742808322028
yagK,yagK,0.0014868309745438766,0.004989222675392764,0.0033612064924018067
sgbU,sgbU,0.0014841322565497905,0.004245158632529819,0.0024313724467321714
yiaW,yiaW,0.0014795791806459643,4.089880869082195e-05,0.00015898329027410886
recT,recT,0.0014715640926567014,0.00012407644571191235,0.003412698668324655
ybhM,ybhM,0.0014674640375240504,0.006159659553482053,0.003466660191504545
yjdO,yjdO,0.0014655700019359536,0.00011043212014397889,0.003472998524059669
ytfF,ytfF,0.0014559560034507319,0.0041838551089538635,0.0032195193352507344
yneI,yneI,0.0014508027343608215,0.0006433075798174861,0.001357559456921661
argK,argK,0.0014466952669614022,0.0031555568305828914,0.0024195370635894664
appY,appY,0.0014168499189714094,0.004743246394533885,0.00298263423601954
emrD,emrD,0.0014027550910164816,0.005264654229572,0.0031649774651505897
gnsB,gnsB,0.0014014574405923365,0.00550755168596253,0.0032763036248504994
yhfW,yhfW,0.0013996391564990668,0.0022206929313687094,0.0018246812517032811
ulaF,ulaF,0.0013964545964608754,0.0054560771831087965,0.0030713158338389955
araA,araA,0.0013831458069943335,0.00026946196697095077,0.00046383819122013874
yegK,yegK,0.001360012773205654,0.0005774694335955987,0.0027301640820079536
arnT,arnT,0.0013545271657173033,0.00030936688659253056,0.0024413709019210877
ynjI,ynjI,0.0013505285298137369,0.0003312262702486339,0.0021547328085372948
ybgS,ybgS,0.0013500391652484086,0.0037042711086744872,0.002104879828687224
yedN,yedN,0.001344808128096231,0.003722699458515645,0.002282084398927097
yjgL,yjgL,0.0013347477269917312,4.047765162542243e-05,0.0001022523041732504
yiaL,yiaL,0.001327347117786314,0.004188247071581953,0.003083840611111479
lsrD,lsrD,0.0013254526770411208,0.00030790027861904695,0.0023667048954223433
psiF,psiF,0.0012961009762441698,0.0003787339035656589,0.0002671497008526306
yniB,yniB,0.0012822278871045664,0.003999035523835664,0.002928148624215824
wcaJ,wcaJ,0.0012782265436043763,0.0006455232175291687,0.0010165134310210764
yfdZ,yfdZ,0.0012647269123591428,0.0004989622268458135,0.001146608767059208
yhdZ,yhdZ,0.001255194073430023,0.00010381228162494484,0.0021542384169603505
acrD,acrD,0.0012537015606807725,0.0001617320170191182,0.002330571139898144
ybcI,ybcI,0.001251485646551561,0.00013784220868051105,0.0029431216874595914
recE,recE,0.0012419214149655313,0.00012537639389328874,0.0025696042177625984
nfo,nfo,0.00123735416735071,0.00014122347679322336,0.00015260158165926658
yehC,yehC,0.0012210043266687087,0.00013337179504684438,0.00017312823363784295
yjgF,yjgF,0.001220764051645253,0.0006081447807842618,0.0025567717883760127
lolD,lolD,0.001212351575370479,7.772507646485939e-05,0.0028501116708880476
mdtG,mdtG,0.0011918867878941866,0.004481757560147733,0.002673405894845875
yciE,yciE,0.0011860863755261445,0.004314942428729299,0.0026185716226986705
yhfZ,yhfZ,0.0011850956844785974,0.00034596909971330414,0.0010917198394056159
yncN,yncN,0.0011639658725917468,7.338392581577723e-05,0.0001203949194308427
carA,carA,0.0011570782515954502,0.0008066957064246952,0.0025995561065381696
gcvP,gcvP,0.001140908503486153,0.0005082108374956334,0.00035512833788006666
