gene,gene_clean,P_i_above,P_i_top5,P_i_top10
yedN,yedN,0.006388651117397663,0.01248031122736467,0.007418300537104083
pyrI,pyrI,0.005728377729729825,0.010868268289874188,0.006595483599720777
ppiC,ppiC,0.004466831056654707,0.008656026738044878,0.0051447636082980475
fliC,fliC,0.0044304225373362534,0.007708114663849937,0.005007791196364903
hdeA,hdeA,0.004370247014953878,0.006253769995620022,0.004574664538420657
pyrB,pyrB,0.004204967905131317,0.007914875209865618,0.004866563373091306
amtB,amtB,0.0038749811241219597,0.007559827153226015,0.004489335803752943
ybhK,ybhK,0.003585685323744516,0.006695905958438164,0.004019496200233083
hdeB,hdeB,0.00346383322895492,0.004631716955632142,0.003822045536692303
insO-2,insO-2,0.0034129804343444757,0.005791166691304483,0.003777215002304159
yjgF,yjgF,0.003363697264900964,0.0058433090943176185,0.0036742278148910795
ygcF,ygcF,0.003189769608087017,0.0062382240687171965,0.003665658325187154
rplC,rplC,0.003030730893898799,0.005698384097796952,0.0034785564420134665
carA,carA,0.003010193315797409,0.005402964939870807,0.0034662277000006227
gadA,gadA,0.0028193109243845257,0.0031993917657665875,0.0030661026488975713
fes,fes,0.002792197763357441,0.005217169419530483,0.00324228765972168
yoeA,yoeA,0.0027258086066021363,0.004924730305711111,0.00313652909242948
rplF,rplF,0.0026641488699525157,0.004993882560721206,0.0030012781088431368
rplD,rplD,0.002589158874040534,0.005046156838083911,0.0029991979776133513
rffM,rffM,0.0025760926682308716,0.004433560473180001,0.0029002721052037417
dhaM,dhaM,0.0025695930844569746,0.0040730528687363335,0.0029330164159285664
cheA,cheA,0.002412342002667353,0.0037714567154291936,0.0026435420925283457
rplP,rplP,0.002336325963080006,0.00399966014184746,0.002701416039219532
rplA,rplA,0.002305456597334709,0.004242080070905833,0.002637688951146563
hha,hha,0.0023033552344631863,0.004169286347031435,0.0026210654992671373
yigZ,yigZ,0.0023028697114538155,0.001028840786625349,0.0024980742501197295
yrbD,yrbD,0.0022581686132454736,0.004175869280834993,0.0026111013343005827
rpsD,rpsD,0.002225513973854782,0.0038602240610079424,0.002490823662708071
ybiR,ybiR,0.0022165044406811493,0.0010119139029205304,0.002208181954947531
mutS,mutS,0.002214910987772019,0.0043595778748712075,0.0025661196934447356
cls,cls,0.0021773957050683955,0.001037298908852204,0.0023076873832416373
nrdB,nrdB,0.002163719247526754,0.0009869426133570713,0.0017466913734793224
rlmB,rlmB,0.002163149247673723,0.0032928287323304947,0.002353259513110427
rplL,rplL,0.002158673893787293,0.003974012549512055,0.002430530027350622
argG,argG,0.0021551882115785257,0.0037776973879022984,0.002501941944484146
flgL,flgL,0.002137711778485914,0.003928608058481728,0.002469454664242054
gmr,gmr,0.0020813921984999656,0.0027517679322284793,0.002375831655655073
rplW,rplW,0.0020611576635543526,0.003631297896001784,0.0023840696214053473
rplI,rplI,0.0020444457137666428,0.0038322855612900305,0.002303725815679805
carB,carB,0.002025437591269913,0.0039028387129365497,0.002344373935281719
creC,creC,0.002014451540448653,0.003806655145264928,0.002278994009757886
fliD,fliD,0.0020050140735835345,0.003296857545143502,0.002269764443016151
yhjH,yhjH,0.001996416875249066,0.0025342165137673496,0.002169142834548469
rplX,rplX,0.001957493072697001,0.003546278422113671,0.0022359850620727296
bioF,bioF,0.0019568933400128125,0.0009011377502826674,0.0021597244319371384
dps,dps,0.001950785934963908,0.003095026627711827,0.0022614025719985787
ycgR,ycgR,0.0019295001021070435,0.0033420914970021544,0.002133353273771736
rpmC,rpmC,0.001925936453452134,0.003161833518997555,0.0021293405334590785
raiA,raiA,0.0018936076392069379,0.001509793965467855,0.0019313022191687927
elaB,elaB,0.0018539729931923083,0.003355256316692726,0.0021197158256578224
rpsK,rpsK,0.0018500006805295063,0.0032199582297384234,0.0021115719748899687
rplR,rplR,0.0017867958094948365,0.0033541268301630453,0.0020693560091573433
purB,purB,0.0017851180863754969,0.0034818492116586034,0.0020718252944104103
aroE,aroE,0.0017834090805823304,0.0008855633445128278,0.0017768363584417658
tap,tap,0.0017592206351323828,0.003136111429679154,0.0020240094091771832
ychQ,ychQ,0.001756661965091872,0.0006858788327905114,0.0019380931594633513
priB,priB,0.00173244697409414,0.0032420439759049922,0.001965741724326217
lolE,lolE,0.0016908864933452565,0.0028940023311677574,0.0019559714594556284
gadC,gadC,0.0016881980201148368,0.0023555517768852376,0.0019158839565163364
sbcD,sbcD,0.0016814398611540808,0.003188725266811939,0.0019461845729396683
pyrC,pyrC,0.0016630767246665816,0.0029860351872007876,0.0018684495441101763
flgC,flgC,0.001652488987911899,0.0028728150198279053,0.0019138930963838777
hdeD,hdeD,0.0016230949671229467,0.0017617058827964051,0.0018122111154373034
rplE,rplE,0.0016224787053530163,0.0029695897619679053,0.0018254214286197237
murG,murG,0.0016187640530616256,0.0027948208412445865,0.0016853364491156108
yfjD,yfjD,0.0016171153548488065,0.0010627626466677238,0.0016737635508951617
nupC,nupC,0.0015989791802125694,0.002789523187080866,0.001743187315056696
ygjG,ygjG,0.0015973404028629314,0.002344803242380636,0.001812542481541984
yhaH,yhaH,0.0015842107367022682,0.0009726765977989608,0.0009373118193605905
ycdX,ycdX,0.001578643488066071,0.0022440972579448547,0.0016848343750357861
yceF,yceF,0.0015756807507679642,0.0007455784933798771,0.0016962870593995618
rpmD,rpmD,0.0015744757888689139,0.0025332441552867973,0.0017727970495940734
rpsN,rpsN,0.001573896626468709,0.003014616027851712,0.0017794734195823293
rpsB,rpsB,0.0015703078074789415,0.0019902341514041536,0.0016660902165579175
rpoS,rpoS,0.0015411229667772286,0.002754211683571321,0.0017682229269792395
osmY,osmY,0.0015375668206352266,0.002589103391654118,0.001774462423526675
rpsE,rpsE,0.001532858445904362,0.0026391634747402687,0.0017405393777377347
yfdG,yfdG,0.0015308694658317666,0.0025420078489207173,0.0015818600971237516
ygdR,ygdR,0.0015249278099892412,0.002514767239590771,0.0017149888708829482
deaD,deaD,0.0015102667905613353,0.0022752985913477336,0.0016714872493606137
flgD,flgD,0.0014982903077813367,0.002687953050226465,0.0017100770756524007
codB,codB,0.0014784238201584429,0.0021915567406573153,0.0014970348950868995
arcA,arcA,0.0014599294218958603,0.0017974571964861005,0.001610052622914865
rplB,rplB,0.001445685803120457,0.0026000178933582333,0.0016594432475799388
nrdI,nrdI,0.0014456440298322606,0.0005124034895460743,0.0016715524171216306
ydiK,ydiK,0.00144153751639732,0.0004047283985558897,0.001661169656339283
secY,secY,0.0014237837234948093,0.0022208120198547346,0.0015305991693627503
msyB,msyB,0.0014052774154558537,0.0016139582566882095,0.001183232046331233
yraP,yraP,0.001395501158155066,0.00040214583948566134,0.0012660998681306513
cca,cca,0.001386486346527481,0.002338806303117969,0.001478725110864088
rsmC,rsmC,0.0013861426251829925,0.0019530961490752446,0.0013354989521861783
rplJ,rplJ,0.0013827553725932534,0.0024904038767735465,0.0015151810772663639
serA,serA,0.0013771598430026197,0.002032178792641521,0.0015656436879348402
yggX,yggX,0.001371851868876775,0.0023631576783390376,0.001424979429001733
ecnB,ecnB,0.0013661579016577895,0.0015787715132414173,0.0014062485421671989
malF,malF,0.0013654924820972478,0.0021103381101645596,0.0015287346605876574
cutA,cutA,0.0013638254814958384,0.0012150320709717396,0.0013390030343230271
ybjS,ybjS,0.0013597292450382781,0.0005002030535780696,0.0013545760637244998
tar,tar,0.001344933365594316,0.002282993567486717,0.0015624067446457193
argP,argP,0.001343582724323007,0.00042794361431429905,0.0013083228484744483
tufA,tufA,0.0013432350928285661,0.0023420728503851266,0.0015462789983348136
ypjC,ypjC,0.0013358912454998586,0.0020212555118808368,0.0014888626658960777
tufB,tufB,0.0013298179025094375,0.002035899564413032,0.001332925897899467
ycbT,ycbT,0.0013164724784745505,0.00011292995723920499,0.0014920708458520857
yaeB,yaeB,0.0013125378529015035,0.0007942121586614009,0.0010559650467219543
rpsC,rpsC,0.0013058143494436218,0.0023461951269181168,0.0015136512014681004
ytjA,ytjA,0.0013039993554127,0.0021963217047133686,0.0014996957057833529
cheW,cheW,0.0013017584626349014,0.0020462057131709404,0.001502648810406845
rpsG,rpsG,0.001300692522998032,0.0021371075814020954,0.0014531203447994369
ydaL,ydaL,0.0013006731436188627,0.002318375055429897,0.0014516567293673993
wrbA,wrbA,0.0012944622784032073,0.001676341948880874,0.0014910851387721627
yghX,yghX,0.0012907159284994676,0.00027737013497174996,0.0008822822500856718
dhaK,dhaK,0.0012871357260268725,0.0002752195186081745,0.0013698859190683572
hemD,hemD,0.001282422092853588,0.0006052242040696292,0.0012570471552241847
yqjD,yqjD,0.0012812838101803512,0.001878487576633187,0.001376418980697667
icd,icd,0.0012797792376338113,0.0019688452257327666,0.0014729198967087613
rplV,rplV,0.0012796879825685832,0.0021814343268660493,0.0014458684237721522
ybaQ,ybaQ,0.00127341289755453,0.0009140761618692121,0.0013369697266336525
flgN,flgN,0.001273319571264539,0.0018794707605607128,0.0014697613483245014
yghB,yghB,0.0012716423811826466,0.002175255631777796,0.0013900789740382432
icdC,icdC,0.0012665178723662057,0.0017843643636542205,0.001443889658199843
luxS,luxS,0.0012657647652705854,0.0017271520240733763,0.0013047814308847058
galR,galR,0.0012578549074489219,0.0008064459665000836,0.0012581587990404602
hemB,hemB,0.0012568541349540748,0.0019770779665880625,0.0013723756577871157
rpsM,rpsM,0.001256773223499099,0.002091495780304187,0.0013129518167697839
cheY,cheY,0.0012555818328844372,0.0019552828390245365,0.001361433964479703
rpsR,rpsR,0.0012535600390768523,0.0021648939528921096,0.0013511218999374718
fbaB,fbaB,0.0012459636852918134,0.001532347100586397,0.0012579114598495918
yccJ,yccJ,0.0012438242201745007,0.0016700656579324569,0.0014004303581915695
flhD,flhD,0.0012427511620873555,0.0019679424211083356,0.0014267319333221423
katE,katE,0.0012371385949154444,0.0019138096724920961,0.0013663723041530064
ribA,ribA,0.0012337939794649282,0.0020063048185070408,0.001367557121869063
der,der,0.0012291579014559533,0.000497811950262641,0.0011652860900244345
rplO,rplO,0.0012129452377026891,0.0019977569517805912,0.0013198912769602038
rpsS,rpsS,0.0012054656701797574,0.0021796810628983564,0.0013882822810652093
rpsH,rpsH,0.0012021106903669773,0.0018803542750449656,0.001366493622674608
flgK,flgK,0.0011984610183002977,0.0020573332342765202,0.0013816282215036385
aceA,aceA,0.0011984166033612513,0.0013695708970446153,0.0011908408461765766
yeiH,yeiH,0.0011857539916849645,0.0018825935123242543,0.001319590012722634
uspA,uspA,0.0011841018258037237,0.001990973454630801,0.0012918278938890593
yobG,yobG,0.0011784803457608433,0.0007361695832126032,0.001175766137163616
rpoA,rpoA,0.0011772335076338201,0.0021865587066455883,0.0013383563905701127
serC,serC,0.0011577862982260034,0.0011091874453972408,0.0011790712453763517
leuC,leuC,0.0011561883274829499,0.0014849318946217797,0.0012280695598970873
glpK,glpK,0.001154167662266048,0.0018879283446427617,0.001307792678957532
nac,nac,0.0011490798357436,0.00029096881134962064,0.0011812801926551863
cspC,cspC,0.0011434531707923837,0.0018621373253398014,0.0013089216885686958
flgE,flgE,0.0011431198451594983,0.001875175232351187,0.0013278207606917882
aceK,aceK,0.0011422815724705074,0.0010916606067139108,0.0013077759756639584
flgM,flgM,0.0011314075738579298,0.0013708500233447646,0.0012878798862146245
rfaP,rfaP,0.0011306529081543167,0.0008052698398763123,0.0010255983512551786
yrbF,yrbF,0.0011288364420031943,0.001827083882402312,0.001113537470177967
mdh,mdh,0.0011146055210066457,0.00190076324929558,0.0012939495684406903
rpsF,rpsF,0.001110554733085563,0.001796117010390461,0.0012412164251234576
mrdB,mrdB,0.0010988386280727997,0.0002419790271893408,0.0012603267532120682
tadA,tadA,0.0010965535598827546,4.508873152345734e-05,0.000679324620664674
hemH,hemH,0.0010942670693065014,0.0015430594524381664,0.0011283868580669618
rplN,rplN,0.0010902945447660475,0.002057488092983915,0.0012321615546365535
yobH,yobH,0.001086948991886822,0.0003094463730489441,0.0010875284037909893
fliZ,fliZ,0.0010811121148300144,0.0014882154337079608,0.0012399819896558007
yjbJ,yjbJ,0.0010789924926695729,0.0008605191780773545,0.0009363025496758936
ubiX,ubiX,0.001077234024769586,0.001826197024687401,0.001160487277804452
csgG,csgG,0.0010712060117529258,0.0005464456939901775,0.001243633777257611
argI,argI,0.001070094036181579,0.0019716581267579217,0.001236231701829394
blc,blc,0.0010682390775199984,0.0005140838519511695,0.001237340164491725
yjdC,yjdC,0.00106428849596453,0.0007248042218554508,0.0010234093465058798
entF,entF,0.0010642142496601749,0.0004566696858825745,0.0012236041468537625
yceO,yceO,0.0010633140085120338,0.0018098718163271563,0.0011657857995489766
fliS,fliS,0.0010612269896905567,0.001619960184766037,0.0011790769938252608
tsx,tsx,0.0010604465347326415,0.0001431623816094687,0.0012152707278804227
glnH,glnH,0.0010567860033411749,0.0018335367493640478,0.001221594444258886
fis,fis,0.001053739455668818,0.0013782828932192225,0.0011867372771441494
aceF,aceF,0.001048581532321067,0.0014065219103324793,0.0011517830174057168
yeaG,yeaG,0.0010474747023170765,0.0009069908656889506,0.0010951714037628513
mscL,mscL,0.0010403708084910051,0.0018140213160313637,0.0011190709182914884
thrC,thrC,0.0010380702401532797,0.0009075618741312883,0.0009569928327102833
yhcE,yhcE,0.0010374589967456064,0.0014385993506826518,0.0011066751109105463
yjgR,yjgR,0.001036005814901578,0.0003084308231122601,0.0008116004296947495
cspA,cspA,0.0010277768829271756,0.0013606044754260894,0.0011625982488924988
obgE,obgE,0.0010248556193080294,0.0015062856708840298,0.0011274244795140293
ompA,ompA,0.0010170742180521605,0.0017387858377433485,0.0011266816804810596
flgF,flgF,0.001012391684101286,0.0006850481667636104,0.0009354513003646071
queF,queF,0.0010080587886490669,0.0001225763748898481,0.0007504878970008801
yeeI,yeeI,0.0009942570550225058,9.733601041316907e-05,0.001146374562159044
gadB,gadB,0.0009923895334728924,0.001434509432508998,0.0011289832485131077
ydiH,ydiH,0.0009895537940771925,0.001090785245891126,0.0011396850545738085
metA,metA,0.0009860094679410131,0.0017676550018425042,0.0010921435718088308
tpiA,tpiA,0.000978709393276961,0.0011471874824958328,0.0008745678587902476
ydbJ,ydbJ,0.0009769668516492246,0.0003187465229941034,0.0007319387096333652
rplK,rplK,0.0009732308621871482,0.0010695825779175325,0.0009151176043656927
secM,secM,0.0009704112494507386,0.0002882589272813718,0.0008424392077211038
galM,galM,0.0009608927721879982,2.7811298646557925e-05,0.0010275645162845456
yheS,yheS,0.0009598042445263368,0.0015539054158225066,0.0011007751202192272
hdhA,hdhA,0.000958865210036018,0.0007881323112584837,0.0010123579511136236
yihW,yihW,0.0009574692879480964,0.00027409802205694353,0.0008571214278939532
mnmA,mnmA,0.000956310774496566,0.00010477574895736909,0.001099798893415209
bioD,bioD,0.0009508814258903736,0.0007874195292820383,0.0008810610618397753
ompF,ompF,0.0009507118022098644,0.0014823043963494195,0.0010272466210174175
adhP,adhP,0.0009502650370537355,0.0012864455500752618,0.0010727084446732946
mgsA,mgsA,0.0009474108542549392,0.0015705098880989296,0.001090202545574965
yfiF,yfiF,0.0009460715696066562,0.001108106261001595,0.0010480838085957513
pspA,pspA,0.0009375379023811492,0.00027056454483542617,0.0010851393067436578
ompC,ompC,0.0009305818169981446,0.0015083987322593911,0.0010078699019056602
gltB,gltB,0.0009241631626289515,0.0008940733717894413,0.001069072856645699
tatD,tatD,0.0009227799189550033,0.0017676445876823035,0.0010581326412517158
mntH,mntH,0.0009219934409290397,0.00015500625937772417,0.0005823475752484962
lolC,lolC,0.0009075703314307381,0.0006524797401694254,0.0008397738982131753
rplM,rplM,0.0009042675729874894,0.0009792817322566317,0.0008023257076370587
uspB,uspB,0.0009036265644953306,0.0009012111766280743,0.0009557008625792894
motA,motA,0.0009013157970227572,0.0015166055498628365,0.0010090130531207116
dnaK,dnaK,0.0009009136893318072,0.0008463810636870724,0.0008234872129810757
narX,narX,0.000899980785473293,0.0011211343837478135,0.0008708946412382938
hisG,hisG,0.0008999299425503839,0.0006918416653594404,0.001044931059554751
fimA,fimA,0.0008979585546623132,0.0007181308680104076,0.0006905729468239521
aceB,aceB,0.0008944131983909911,0.0011632640536927315,0.0008981874734114401
glgA,glgA,0.0008914450900274096,0.0012601762071761619,0.0009226592136319371
rimM,rimM,0.0008893997188907004,0.0012657264214733224,0.0009868939032794083
yjiX,yjiX,0.0008855538607141492,0.0012875543096287528,0.0009744163161859868
gapA,gapA,0.0008833337462564265,0.0011573912651052349,0.0008677265698378374
dnaB,dnaB,0.0008804655111012552,6.44654973856829e-05,0.0007527760907960636
rpsA,rpsA,0.0008794261339284993,0.000969043041374208,0.0009046031805832645
dcuA,dcuA,0.0008755662543860217,0.0002644084176365747,0.0005616003021784935
fimI,fimI,0.0008717551396064038,0.000536164688217374,0.0005900376188080429
rplY,rplY,0.000864959792087871,0.0012125963876020586,0.0009675493418475914
ubiG,ubiG,0.0008619802161351529,0.0013741870753871057,0.0009631411120507783
inaA,inaA,0.0008618512979021536,0.0006051571081127883,0.0006755832066617127
motB,motB,0.0008609163066024708,0.0011180028976726867,0.0009462768770665474
yceD,yceD,0.0008607768984964932,0.0012043531234441085,0.0009995118657022877
ampE,ampE,0.0008601396629487949,0.000570602598715414,0.0006858847660904454
ycbJ,ycbJ,0.0008595672516944243,0.0014263408039293084,0.0009529941764363564
fabA,fabA,0.0008585321571937427,0.0014970284193917814,0.0009406888828522062
sapB,sapB,0.0008556647235111353,0.00131414359814373,0.0009457241922270395
ptrA,ptrA,0.0008543841869534646,0.00025986483945544705,0.0007168924736026894
crl,crl,0.0008538755143209739,0.00031786681585022563,0.0008029110529656097
yehY,yehY,0.0008482543831886551,0.0009179698892692308,0.0007589226734635905
yieF,yieF,0.0008470323473566002,0.0003102220038180105,0.0006559145680445752
gnd,gnd,0.0008423681276624128,0.0009069842833419381,0.0008386394544651909
rseP,rseP,0.0008421601031650087,0.0007299320642445519,0.0007880014994137703
atpD,atpD,0.0008411119695216253,0.001221374759464398,0.0008721584372547989
dam,dam,0.00083849478541611,0.0012610786873384465,0.0008365050638559328
rlpB,rlpB,0.0008369657495477953,0.0008086716833735344,0.0008404474031141206
ybeA,ybeA,0.0008364951464877644,0.0003366752201218397,0.0007200329160469012
wzzE,wzzE,0.000834610175991472,0.00032307950504563475,0.0007347178899504861
rpsI,rpsI,0.0008340727310605742,0.0014857938503532123,0.0009584028411690783
glyA,glyA,0.0008340181059680401,0.0006862190503443229,0.0007675699912424467
envC,envC,0.0008298200984050705,0.001515480567229046,0.0009185234815634728
cpxA,cpxA,0.0008276336873955948,0.0001837878585141131,0.0007919861688446667
dnaC,dnaC,0.0008263715075065793,0.0004457360164481015,0.0004981762553247581
