gene,gene_clean,P_i_above,P_i_top5,P_i_top10
cds-WP_050484272.1,050484272.1,0.0031460593422515115,0.007725281076507796,0.005546834764555147
cds-WP_032429971.1,032429971.1,0.0031460593422515115,0.007725281076507796,0.005546834764555147
cds-WP_004147046.1,004147046.1,0.0031460593422515115,0.007725281076507796,0.005546834764555147
cds-AF52_RS25155,RS25155,0.0031460593422515115,0.007725281076507796,0.005546834764555147
cds-AF52_RS22895,RS22895,0.0031460593422515115,0.007725281076507796,0.005546834764555147
cds-WP_072001575.1,072001575.1,0.0031460593422515115,0.007725281076507796,0.005546834764555147
cds-AF52_RS17780,RS17780,0.0031460593422515115,0.007725281076507796,0.005546834764555147
cds-AF52_RS09860,RS09860,0.0031460593422515115,0.007725281076507796,0.005546834764555147
cds-WP_032430322.1,032430322.1,0.0031460593422515115,0.007725281076507796,0.005546834764555147
cds-AF52_RS26965,RS26965,0.0031460593422515115,0.007725281076507796,0.005546834764555147
cds-WP_050484274.1,050484274.1,0.0031460593422515115,0.007725281076507796,0.005546834764555147
cds-WP_032429538.1,032429538.1,0.0031460593422515115,0.007725281076507796,0.005546834764555147
cds-WP_032429512.1,032429512.1,0.0031460593422515115,0.007725281076507796,0.005546834764555147
cds-AF52_RS08010,RS08010,0.003146059342251511,0.007725281076507796,0.005546834764555147
cds-AF52_RS09835,RS09835,0.003146059342251511,0.007725281076507796,0.005546834764555147
cds-AF52_RS11815,RS11815,0.003146059342251511,0.007725281076507796,0.005546834764555147
cds-WP_032429589.1,032429589.1,0.0030900840447793585,0.0075060255190978085,0.005447683394590253
cds-AF52_RS07610,RS07610,0.003090084044779358,0.007506025519097808,0.005447683394590253
cds-WP_187079184.1,187079184.1,0.0030450672739004117,0.00040377845688442903,0.005365121976883706
cds-AF52_RS27405,RS27405,0.003012865157110966,0.006925196956280202,0.0052989229378157055
cds-WP_032429398.1,032429398.1,0.003012865157110966,0.006925196956280202,0.0052989229378157055
cds-AF52_RS25480,RS25480,0.0030128651571109657,0.006925196956280202,0.0052989229378157055
cds-AF52_RS0124285,RS0124285,0.003012865157110965,0.006925196956280199,0.005298922937815703
cds-AF52_RS01025,RS01025,0.0030128651571109596,0.006925196956280188,0.005298922937815695
cds-AF52_RS01015,RS01015,0.0030128651571109566,0.006925196956280181,0.005298922937815688
cds-WP_004218558.1,004218558.1,0.0030056557326049874,0.00040267119801277746,0.0052963672569958506
cds-WP_004190663.1,004190663.1,0.0030056557326049874,0.00040267119801277746,0.0052963672569958506
cds-WP_032429432.1,032429432.1,0.0030056557326049874,0.00040267119801277746,0.0052963672569958506
cds-AF52_RS21735,RS21735,0.0030056557326049874,0.00040267119801277746,0.0052963672569958506
cds-AF52_RS21820,RS21820,0.0030056557326049874,0.00040267119801277746,0.0052963672569958506
cds-AF52_RS21715,RS21715,0.0030056557326049874,0.00040267119801277746,0.0052963672569958506
cds-AF52_RS21745,RS21745,0.0029992060187684104,0.004191788389930228,0.0052869148719560215
cds-WP_032429941.1,032429941.1,0.0029749230003199858,0.007126098354179794,0.005168863824760341
cds-AF52_RS19130,RS19130,0.002961172343498755,0.007181121331126149,0.0052164780139114355
cds-AF52_RS0124535,RS0124535,0.002961172343498755,0.007181121331126149,0.0052164780139114355
cds-WP_077254746.1,077254746.1,0.002961172343498755,0.007181121331126149,0.0052164780139114355
cds-WP_187079190.1,187079190.1,0.002955901314638473,0.007071337858651441,0.00508091363923264
cds-WP_032429436.1,032429436.1,0.0029545851629956413,0.00039336556854965724,0.005204568107773377
cds-WP_002912829.1,002912829.1,0.0029405903355217877,0.0067177416392121695,0.005150786528005048
cds-WP_004217341.1,004217341.1,0.002873622377343012,0.0003845614472808722,0.005063161180703984
cds-WP_004176762.1,004176762.1,0.0028044942312626248,0.006404038188348176,0.004910187540537073
cds-WP_002889733.1,002889733.1,0.0027899683218967847,1.2567881798221386e-05,0.004625110323406601
cds-WP_002904794.1,002904794.1,0.0027899683218967847,1.2567881798221386e-05,0.004625110323406601
cds-WP_002907730.1,002907730.1,0.002786160393639822,3.644961018920616e-05,0.004779568045407188
cds-WP_004899454.1,004899454.1,0.002722882505052287,6.801606670048469e-06,6.4379790360504686e-06
cds-WP_002882527.1,002882527.1,0.002722882505052287,6.801606670048469e-06,6.4379790360504686e-06
cds-WP_002889686.1,002889686.1,0.002722882505052287,6.801606670048469e-06,6.4379790360504686e-06
cds-WP_002896365.1,002896365.1,0.0027084510761662245,0.0003658333235605633,0.00228296055501297
cds-WP_032430317.1,032430317.1,0.00270526764407849,0.00035318860332500063,0.0022634692579489475
cds-AF52_RS14410,RS14410,0.0026573979412528115,0.006124551369517581,0.004664993171323861
cds-WP_004176981.1,004176981.1,0.002643932003758504,1.2050160541008784e-05,6.210680687389649e-05
cds-WP_002885139.1,002885139.1,0.002643932003758504,1.2050160541008784e-05,6.210680687389649e-05
cds-WP_002887853.1,002887853.1,0.002643932003758504,1.2050160541008784e-05,6.210680687389649e-05
cds-WP_157828762.1,157828762.1,0.002643932003758504,1.2050160541008784e-05,6.210680687389649e-05
cds-AF52_RS18395,RS18395,0.002631455189847354,0.006051951943576576,0.004628230389782265
cds-WP_002890390.1,002890390.1,0.0026187185489761847,0.005987598852291837,0.004589628811746778
cds-WP_004217348.1,004217348.1,0.0026119790392613767,0.00034327476545277443,0.004599492433014432
cds-WP_004147529.1,004147529.1,0.002550334676629785,5.625334106755516e-06,3.6808368284403344e-05
cds-WP_004185353.1,004185353.1,0.002550334676629785,5.625334106755516e-06,3.6808368284403344e-05
cds-WP_004194926.1,004194926.1,0.002550334676629785,5.625334106755516e-06,3.6808368284403344e-05
cds-WP_004152229.1,004152229.1,0.0024654336097990775,0.005651046642363608,0.004314174706384043
cds-WP_002886897.1,002886897.1,0.0024635740842264987,0.0005718408458362666,0.004295212345667389
cds-WP_004144351.1,004144351.1,0.002419663417329708,3.850697849874341e-06,9.177041065716966e-05
cds-WP_032430300.1,032430300.1,0.002405897310340415,1.4496541378903614e-05,0.004001424949819255
cds-WP_004145907.1,004145907.1,0.002393127066778703,6.579071435339217e-06,4.024850142039833e-05
cds-WP_032430293.1,032430293.1,0.002393127066778703,6.579071435339217e-06,4.024850142039833e-05
cds-WP_002918568.1,002918568.1,0.002387346374957672,5.756473274406519e-06,3.738538498055229e-05
cds-WP_032429437.1,032429437.1,0.002371749345382651,3.198265345146294e-05,0.004071224399715047
cds-WP_004151901.1,004151901.1,0.0023452774726893276,0.000518309073482495,0.004088863422620706
cds-WP_004149799.1,004149799.1,0.002343884284633242,0.0002924250703902984,0.0019187458931773074
cds-WP_002884942.1,002884942.1,0.002343379389945058,8.992586029742526e-06,0.00010540339995956158
cds-WP_002917895.1,002917895.1,0.002302637203664064,0.005165333093574666,0.003940140884023702
cds-WP_002900681.1,002900681.1,0.0022680511132714158,9.86646995753532e-06,0.0037618641109558853
cds-WP_004192048.1,004192048.1,0.0022602101605586713,5.508966277709965e-06,8.649709482810568e-06
cds-WP_002903730.1,002903730.1,0.002241832677532957,6.055378461175486e-06,9.256988830620907e-05
cds-AF52_RS0124460,RS0124460,0.0022120029931916446,0.005360709193140103,0.0038957687931675798
cds-WP_002912977.1,002912977.1,0.002201922318300499,0.005030225226474022,0.0038555905788705777
cds-WP_004211885.1,004211885.1,0.002170899027744721,0.0005268668246595798,0.003743627868282021
cds-WP_032429625.1,032429625.1,0.002100684681582209,3.253537153829442e-05,8.692462837928838e-05
cds-WP_002915541.1,002915541.1,0.0020824279080487104,0.00023902996023760374,0.0016953641353283629
cds-WP_016947259.1,016947259.1,0.0020725069389939854,6.685023182970327e-06,7.884899331863428e-06
cds-WP_004142750.1,004142750.1,0.0020646882617427476,0.00047134051255279095,0.003592658808252846
cds-WP_004151327.1,004151327.1,0.0020605154012155896,2.6902909645400455e-05,0.0035365617599235483
cds-WP_013815099.1-81,013815099.1-81,0.0019898983458619458,0.004790570031029228,0.003470227179576819
cds-WP_020806188.1-5,020806188.1-5,0.001968479671123163,4.259826553558377e-06,1.5030621964544749e-05
cds-WP_013815099.1-80,013815099.1-80,0.0019636572921567404,0.004757153421979204,0.0034102163880101767
cds-WP_013815099.1-14,013815099.1-14,0.001962338689431503,0.004661867851768945,0.0034435749890168966
cds-WP_002916833.1,002916833.1,0.001962245868688415,1.4862426467978093e-05,8.772774352720323e-05
cds-WP_021441160.1,021441160.1,0.0019575442869393033,1.6689923635556462e-06,3.549610825348641e-05
