gene,gene_clean,P_i_above,P_i_top5,P_i_top10
yidP,yidP,0.005379120166447609,0.014746906656554343,0.008939143387825898
hha,hha,0.005049269280990561,0.005773210492187651,0.0078267953430049
yadD,yadD,0.0050336191519084255,0.005537175525610164,0.007774263652974198
ygbK,ygbK,0.004970815510940446,0.013265804351657948,0.008254656725896524
queF,queF,0.0049261135863132655,0.013288966722317415,0.008211143141235595
hcaT,hcaT,0.004838257342053419,0.0009280666098845594,0.007662918421345527
ycaJ,ycaJ,0.004809996962841498,0.005454149317476457,0.00745000373456335
yiaD,yiaD,0.004797565320326915,0.0009339633908521307,0.005463879432090845
ppx,ppx,0.004730390185321587,0.012758673623035243,0.007934492112841593
phr,phr,0.004574566307702353,6.52875696592617e-05,0.004094505999397296
kdsA,kdsA,0.004554572186650932,0.00010099976164328742,0.002215364871449296
ycbF,ycbF,0.0045362910643178414,0.00013176583075009079,0.004633332458374573
menA,menA,0.004468689772082442,0.00030480186852634416,0.0045953074093567975
ytfG,ytfG,0.004388517897520673,0.00018075752695442837,0.004452201529336395
yfjI,yfjI,0.004368754565222774,0.0025666516056435966,0.005626264991914102
ycbW,ycbW,0.00431609927087829,0.011673631422331856,0.007175979977181143
rraA,rraA,0.004275709497943101,9.707666879378973e-05,0.004315192371445074
yfcY,yfcY,0.0042362019340805275,0.0010570131174164547,0.004805220689812595
yfdR,yfdR,0.004235416818327236,0.010941874446069356,0.006912272278000142
yddW,yddW,0.004209472744754985,0.0001875245148697869,0.004324730019504173
lysS,lysS,0.004188434240631239,0.0007950205799404927,0.004777748605369454
glnB,glnB,0.004151607466775337,0.0014443088030242051,0.001278732792200393
yphB,yphB,0.004003090497318384,0.00017367630964684413,0.0006296515948727148
insK,insK,0.0039053854810217133,0.008120401078798255,0.005636033413518338
recQ,recQ,0.0038159556175975475,6.697018053317534e-05,0.0016813296972714169
ydcM,ydcM,0.00376277957081612,5.92480546289604e-05,0.0016679573328569346
atpA,atpA,0.003722813474857609,0.00015133902230248544,0.0017470552010664222
yagY,yagY,0.0037222850236142704,0.005959808431584184,0.005549316044582157
yjcH,yjcH,0.0037055528731957986,0.006220380978826144,0.005736127982974804
yagR,yagR,0.0034653214826367794,0.005471683238465803,0.005077084540881465
ycaO,ycaO,0.003458124044681619,0.0008886242776991474,0.0011276043363285472
tag,tag,0.0034445707845557755,0.0001817396256242682,0.0004913454288249784
yejK,yejK,0.003355540566013153,3.6759729011060305e-05,0.0015194484752574034
mtr,mtr,0.0033523373194668865,0.00017466062407623368,0.0010019938459297937
citC,citC,0.0033006862841739033,0.0002237682521598812,0.0033261183937147495
yfiE,yfiE,0.00326908913019061,0.0007883336663685108,0.002936795964962821
tdcA,tdcA,0.003255846244846063,0.0003197980426169055,0.0010824433788295532
yeaT,yeaT,0.0032286168521555867,7.386124230638221e-05,0.0010784814259955813
secM,secM,0.003226219916302524,0.0004972461257669559,0.004637597112437711
ygcS,ygcS,0.0032016222263205234,0.00014251876869122608,0.0004907704744858786
yeaP,yeaP,0.00319423084623045,0.0005032254984267904,0.00438737414370345
treB,treB,0.0031685663883381904,0.006516606442754319,0.005115082280929803
elaA,elaA,0.003136914536805404,0.0003757089024860747,0.0006801111414133046
ppdB,ppdB,0.0031290410495659203,0.0009290070220531427,0.0034235740905899687
yfbU,yfbU,0.0031167286450457248,0.00034755968361575883,0.0006588379158019951
tmRNA,tmRNA,0.0031113121633336194,0.0012901526992862486,0.0036503594028093945
yhaK,yhaK,0.0030895618160430944,0.00047298276435619324,0.004222389278153435
ychJ,ychJ,0.003086994931496498,0.0002352613562709796,0.0003135809019987133
pyrD,pyrD,0.003051222666616816,2.8423784139676533e-05,0.0016454675587054845
yfbN,yfbN,0.0030029815567985704,0.000667488603160392,0.0026685651754893304
ydhW,ydhW,0.002980685370807298,0.00037379642632260577,0.0006561983494197793
yfgL,yfgL,0.002947525165059004,0.001934687965357087,0.003727584440526055
tyrA,tyrA,0.0029000304384431868,0.0003268563890253526,0.0006031086744730924
ddpD,ddpD,0.0028213478906906663,0.0007230924423446521,0.0016269777721359354
yebU,yebU,0.002811299085474197,3.948935078345895e-05,0.0004282613944212122
cyoB,cyoB,0.002810445776586408,0.00019984289303534512,0.0005051724133358356
pstB,pstB,0.0028050989346091884,0.0017361476199546117,0.0012697149613594416
yjjI,yjjI,0.0027811075130406903,0.0008669091821082555,0.0008605268284598267
hsdM,hsdM,0.002742211224411012,0.0015149446882858646,0.0030519065332673978
argG,argG,0.0027401556846195626,0.0001733957784952836,0.001156866556059196
csgF,csgF,0.0027178889189391144,0.0004219254133865175,0.0014915526519620446
yehR,yehR,0.002691985446846227,0.0007733295627904423,0.0015523334276355489
rssB,rssB,0.0026514010168191167,0.00018034568908136347,0.0011294702440659441
ypdD,ypdD,0.002615854785811246,0.0008546528908130608,0.003068837021569835
intS,intS,0.0026152992228997843,0.0004260820127553581,0.003601302981525798
abrB,abrB,0.0026080572270370567,0.003004240872397332,0.004161979609937377
ycfQ,ycfQ,0.0025899906989433293,0.0037297912111858953,0.004086617338867453
ybiO,ybiO,0.0025847470412471074,0.0012352748064961238,0.0014153157015170217
ydfI,ydfI,0.00257814386096113,0.003827230950616186,0.003863189409543716
yjjM,yjjM,0.002536089000521966,0.005615260894824389,0.004011825573255629
hyfR,hyfR,0.0025300708627365083,0.0006758976782869585,0.0005923079132456533
ybiX,ybiX,0.0024585839023751523,0.0032934503036811625,0.003878987413435763
actP,actP,0.00242762732566326,0.0006041246861217392,0.0027496454858267627
yjtD,yjtD,0.0024155065217112332,0.0024633779073604525,0.0037622008592466203
cyoA,cyoA,0.002410526813972479,9.283715496462062e-05,0.0007935154310391228
gspO,gspO,0.002409807234517794,0.006125254824016798,0.003887223409549243
motB,motB,0.002409569735880871,0.0003465736991842453,0.0008459178174255086
rhtB,rhtB,0.0023593341730907195,0.0014646525513699572,0.0010325736018356384
yjeS,yjeS,0.002357781996474716,0.0040078109818591215,0.0038397564735843455
eaeH,eaeH,0.002317600480807392,0.0003319660533915798,0.00036525715478140977
elaB,elaB,0.0022889030271186508,5.484321213384078e-05,0.0010265083454360862
yeaH,yeaH,0.0022187518040021805,0.00017026472038967515,0.0022525674577650204
cirA,cirA,0.0022107645662913533,0.0008360034314012086,0.0007644757005332396
fadL,fadL,0.00220593633533279,0.00019628859581854012,0.0009932397413961718
livH,livH,0.002201006739583427,0.0005068844478768263,0.0012781701314780356
rffA,rffA,0.0021675713775439966,0.0003927616075441849,0.0007560465355401419
ydcK,ydcK,0.00213502799070103,0.0009316518407404135,0.0021367356119539934
sapF,sapF,0.0021010743557632844,0.0014797499572074796,0.0022221035825973194
galS,galS,0.0020666508956755604,0.001320841472022536,0.0010178276245095801
yqiI,yqiI,0.0020652317720516408,0.0003635219232444715,0.0023257438591167893
pgpB,pgpB,0.0020320818404166024,0.00042519452387263624,0.0004528390412475685
frmB,frmB,0.0020297621407515238,0.0029540855547013083,0.002807976142584307
yicI,yicI,0.0019951332441169867,0.0004724084756305148,0.0006110796919823624
ygfY,ygfY,0.001990557520797863,0.0004787108165929302,0.0027750668270197973
araJ,araJ,0.00198787291409324,0.004321730699086466,0.00319563616232154
ydfR,ydfR,0.001975312689474532,0.0028805743521446822,0.0031005139175984166
wzxC,wzxC,0.001970526099067921,0.0008856415699696994,0.0024847225633180888
yrfG,yrfG,0.0019486276500786308,0.00019015206895397013,0.0019331434862019318
sixA,sixA,0.0019137033506386588,0.00198331081127823,0.002726576782828237
yaaJ,yaaJ,0.0018899715331223022,0.0016649737133057293,0.002475482034900762
ybbV,ybbV,0.0018819571323102926,0.000529028865909772,0.001074163836507693
coaA,coaA,0.0018767226057827618,0.00287539567145777,0.0019520635796593825
yhjJ,yhjJ,0.001875598280269357,0.0025933525534574484,0.0016708738350665693
ymjA,ymjA,0.0018293061523956067,0.0008328913186282001,0.0007029511683120753
cpdB,cpdB,0.0018266230017136057,0.002631956184101908,0.002252296268436574
uhpT,uhpT,0.0018032298420316388,0.001012503556952757,0.0007761111383659299
yigE,yigE,0.0017778040080224894,0.0024128145525028717,0.0016810631429901779
dinI,dinI,0.0017762412330755873,0.0006284248034533534,0.0005646678418788008
yncK,yncK,0.0017748576615583401,0.0010755272818472042,0.000885008391621267
argE,argE,0.0017738106726649253,0.0034763412970501488,0.002641176048107955
yzgL,yzgL,0.0017488213049428449,0.0004817289561980842,0.0003914929260413401
yjcP,yjcP,0.0017468506155513155,0.0021790094878462833,0.002375720379097699
napD,napD,0.0017467587696452585,0.00017546606316532767,0.00033684566676251435
nupG,nupG,0.001733853896968454,0.0047778956505084265,0.002959929104314985
yjcO,yjcO,0.001722531767157983,0.0030602254978309095,0.0026246216491530297
yfjF,yfjF,0.0016996016357329895,0.000413333455468358,0.000963946552368988
degP,degP,0.0016691271373534312,0.0005896313904552206,0.0006680710109478967
pphA,pphA,0.0016669258654218096,0.00018355683314789651,0.00037857655902794946
yjhS,yjhS,0.001665652131353138,0.0038637146462756856,0.0027274931519047367
ptrB,ptrB,0.001652551602901986,0.0006059268595295298,0.0013703844612255438
yadL,yadL,0.001650865122674558,0.0011422200118336545,0.0015078347689307249
dcuC,dcuC,0.0016453701592408386,0.0033565122527544735,0.002559197370991838
trkA,trkA,0.0016390796304016244,0.0002418513682597058,0.002005372931974273
yihA,yihA,0.001633876885016133,0.0008594908791770538,0.0006948376868956985
pgaD,pgaD,0.0016250902573400458,0.0005116819821505477,0.0012260954451378781
raiA,raiA,0.0016137087762310932,0.00022556073669908677,0.0010379140666124259
yebT,yebT,0.001608868364521742,0.0002536005356559365,0.00031660055552244055
ydbK,ydbK,0.001606988176292585,0.0009021665087103244,0.0019570623738801203
phnJ,phnJ,0.0015996597868188282,0.0014479984779922747,0.0009389849734654923
yddG,yddG,0.0015936883639831158,0.0011295350120672071,0.0014094743623502357
fdhF,fdhF,0.0015899354057729545,0.002867153958736702,0.002474711772442224
rfaJ,rfaJ,0.0015833029078652695,0.0016682092219975735,0.0010993177177195642
htrL,htrL,0.0015751845274586064,0.0025962283232833622,0.001636085767702645
yrhC,yrhC,0.0015742488013242852,0.00011342353822010276,0.0015456524552854719
frdB,frdB,0.0015739807396148344,0.0004278714924618997,0.00045622889453336896
edd,edd,0.001552688372723132,0.0008953136474023878,0.000798912141987056
yabP,yabP,0.0015451789210265642,0.002130410443083939,0.0022803665028370015
hsrA,hsrA,0.0015407134384110767,0.0018144793700813975,0.0011697184843715797
potE,potE,0.0015287326991692046,0.0029446853758579978,0.002298637253412037
mscS,mscS,0.0015282235969183743,0.0005174091528343642,0.00174691571478291
yggE,yggE,0.00152596681997174,0.00039350448819087545,0.00039065492024343656
ybiW,ybiW,0.0015220330493414802,0.0027978190351621336,0.002423770228017705
sapB,sapB,0.0015207105481848057,0.00032284395447290237,0.0003526108204411726
cpxA,cpxA,0.0014890622979306211,0.0015436406382656202,0.0012595235223326882
ybiP,ybiP,0.0014676597837765474,0.00016835019615689964,0.00033978061775372386
cadC,cadC,0.0014665781121550262,0.0032973952677977877,0.0021699758233135404
chbC,chbC,0.001454794512890355,0.0005271807111886282,0.0005898205164735259
frvR,frvR,0.0014475351472202115,0.0023176746407090974,0.0015523775000689795
leuS,leuS,0.001438537047719217,0.00038274213581562057,0.00042196824427172616
gadC,gadC,0.0014382621548192987,0.00035057929816981583,0.0004683990398983891
ydfU,ydfU,0.001434880231176155,0.0025060865121633567,0.0022077538544349297
tktA,tktA,0.001430475834019518,0.0038938920160440363,0.0023949575711034767
rimL,rimL,0.0014304304644197547,0.0008995618930400663,0.0006978006114567451
yafK,yafK,0.0014290849290213993,0.0023669139557618737,0.0020306800948469523
yajR,yajR,0.0014170975113079226,0.003022351883559643,0.0020088616998533352
rhsB,rhsB,0.001409562641321521,0.0038755826083001414,0.0023522154247846453
gntP,gntP,0.0014017042298143404,0.0028350884885794863,0.002198279993348109
