gene,gene_clean,P_i_above,P_i_top5,P_i_top10
ydaQ,ydaQ,0.10840598347843167,0.024575925457331883,0.012870650615804181
yneJ,yneJ,0.10385250018937718,0.023618722601338366,0.012361471406143578
yjhI,yjhI,0.09040815885217054,0.020425844563448106,0.010711184520122657
idi,idi,0.06745206948793679,0.015019343539467635,0.007886408577474338
yfgD,yfgD,0.06480592835050279,0.014857513663256404,0.007768640170061396
eamA,eamA,0.05402598311134852,0.012346776892908267,0.006524987512118002
diaA,diaA,0.053040129386658044,0.011874518920032493,0.006235536582739207
mutS,mutS,0.05005583641166773,0.011242340718808625,0.00592408113302896
cpxP,cpxP,0.04163166781862741,0.009616305133999078,0.005197083300623497
rfaE,rfaE,0.03523632687606187,0.007997499755928872,0.004132290894018741
yojI,yojI,0.03510746102533796,0.00798676775327046,0.004191790085669206
suhB,suhB,0.018576104580195988,0.004016243693866988,0.002581865666861708
pnuC,pnuC,0.012563901534449907,0.0031437283730276,0.0019357672150393291
slyB,slyB,0.009778060529848429,0.0022447301146365116,0.0011880903925784885
ybfP,ybfP,0.007377748235099357,0.023016119644204715,0.012017765058545442
hchA,hchA,0.007197035535593245,0.001557397622432109,0.001024817170795962
xylE,xylE,0.0069039742538575324,0.022765850102932448,0.011951718978133689
yedV,yedV,0.006600136584550622,0.020711710175287758,0.010839843923404178
rffM,rffM,0.006584692600582646,0.020000264950504564,0.010473882386954365
ybaQ,ybaQ,0.006433060884594858,0.02366122651314778,0.012389684610018943
pta,pta,0.006035676992294748,0.022556158167140784,0.011815562384522384
gnd,gnd,0.005431225570207295,0.001203258498260513,0.000644902477475222
yigL,yigL,0.004890545187081125,0.0010755715389832014,0.0009441110694663631
rplD,rplD,0.004691139982300186,0.0016102931260823083,0.0012034930290426476
bssS,bssS,0.00449891464968888,0.015588629651087751,0.008196048166998256
yeeA,yeeA,0.004416454459432315,0.012612501425720842,0.006540477934419272
pspB,pspB,0.003778256736540025,0.0009531117311705294,0.0006084330358177551
secY,secY,0.003150844038555553,0.006472166939989546,0.003443224926766674
miaB,miaB,0.0029176999408182854,0.0007205118801254185,0.0007658215558811721
rpsA,rpsA,0.0027898237081099946,0.0012422405312706843,0.0007170184662736453
prpR,prpR,0.0025949843671159577,0.0005987683130317392,0.0012608702244212965
psiE,psiE,0.002511749963105033,0.0005683574357651899,0.0007781960275563288
agp,agp,0.002458015597448065,0.0007176564370313851,0.001332318189769014
guaC,guaC,0.0022662570365273135,0.0005134089049626702,0.0005316931470769756
yebV,yebV,0.0018135105713168928,0.0004563123594133672,0.00025211646239373835
yeaH,yeaH,0.001595814155474184,0.00041838298577248704,0.00028455383750750123
yadM,yadM,0.001495427767563559,0.000441848624993838,0.00041485082431606964
sbmA,sbmA,0.0014438663556855535,0.0003802909035234907,0.0002455734708540103
ybhI,ybhI,0.0014433363267900747,0.0003237821420814734,0.00020521233759503735
yfcY,yfcY,0.0013414652249623875,0.0003406284548932473,0.0002114418996344397
gltI,gltI,0.0010267620339842593,0.0008306889547511071,0.0007653316139316988
yhhA,yhhA,0.0009226012679520373,0.00026458124597954235,0.00014810074832732683
sgcC,sgcC,0.0009021492783548872,0.00021989904847297316,0.00016168905238205403
rplW,rplW,0.0008759720869340357,0.0009197192708427774,0.0005129396417764597
ybfG,ybfG,0.000866532813700617,0.000350726785458761,0.001470278831913544
relB,relB,0.000810946492205218,0.00018308384237386127,0.00011601814038758247
pheA,pheA,0.000783049616206086,0.00019024406718921633,0.00025140260199577806
yhjK,yhjK,0.0007694634903140105,0.00019342446384403716,0.00013315719784986606
yadG,yadG,0.0007557199694916902,0.00017767753341497904,0.00021269680484109585
mglA,mglA,0.0007438188224847155,0.0003436533729376739,0.00035440859268157543
yeeE,yeeE,0.0007325188364472371,0.00032258962180335595,0.00047461531757775805
ygcS,ygcS,0.0007324763809356117,0.00020379046273916185,0.00018507424328124096
glgB,glgB,0.0007307152123476694,0.00017331809772575175,0.00014160624524332116
glnH,glnH,0.0007228284512984181,0.0001793283735941156,0.0003320005002140331
mrcA,mrcA,0.0007202560393938156,0.00023006387170787832,0.0012553722604161104
ydfP,ydfP,0.0007134345394374525,0.00037200067613015717,0.000381661765873463
pepP,pepP,0.0006923766834235534,0.0005815423633544014,0.0031249359643151188
ybaJ,ybaJ,0.0006853582108821789,0.0013481184280354928,0.004352829082280298
mscS,mscS,0.000682159375035829,0.0015015190548627268,0.0008665404492253732
ispU,ispU,0.0006806849234983307,0.00019270359710938376,0.0006880732288304813
aceE,aceE,0.0006754731640178855,0.0001851566508223676,0.00022982621419607714
LELOBEKK_galK,galK,0.0006742734037168152,0.0003029428877074616,0.0004923572356288555
yedZ,yedZ,0.0006716628839258069,0.0005052710710407832,0.00029088070799475677
yodA,yodA,0.0006587948705954506,0.00018067341089958403,0.00010260587801098305
ybeR,ybeR,0.0006511253345462029,0.0001802910999844237,0.00026075777217818286
flgL,flgL,0.0006503929272965877,0.00017312687763143753,0.00022689565851274495
insN-2,insN-2,0.0006093735376223884,0.0003642488015621092,0.0003540864543278237
yfeT,yfeT,0.0006049052512954908,0.0003556863100365194,0.00033430036742150066
iraP,iraP,0.0005980191879250642,0.00024073571973294838,0.000494387359006683
fadR,fadR,0.0005912747680179992,0.00018064195324309592,0.0002310500280007877
ffh,ffh,0.0005893675248107903,0.0002611372086829103,0.00023130701331834964
amn,amn,0.0005822923671820755,0.0002447038205248794,0.0005396995485971743
proV,proV,0.0005740170957279658,0.000309957228601366,0.0004411687959553807
galF,galF,0.0005682854341151118,0.000139270257094324,0.00034715234804230595
xylF,xylF,0.0005682521921328792,0.0009474257646307874,0.003722095343613606
atoB,atoB,0.0005645716404784284,0.0003023657215437244,0.0002200428670169354
hns,hns,0.000558980654771947,0.0004274816090837003,0.0003019614547683761
tpx,tpx,0.0005425679897631263,0.00014952026487211626,8.580732630328145e-05
ygfO,ygfO,0.0005398392078039968,0.0008532729392131556,0.0004461208888062553
yihE,yihE,0.0005381609729472468,0.00015725862451195953,0.0001813931589628749
exbD,exbD,0.0005347178906996231,0.002897896107222308,0.0019346259797052014
yrdA,yrdA,0.0005236367619206149,0.0008021303495397304,0.0004254761112083221
rpoA,rpoA,0.000521818428961506,0.0005966082241182845,0.0007454280967469407
htrG,htrG,0.000509393541178221,0.0002548172132862109,0.00021096134010287809
LELOBEKK_fdoG,fdoG,0.0005053538227875412,0.00019869097807002225,0.00018605631822881847
secA,secA,0.0005043361832896895,0.00022310638108745734,0.00017124315683224339
potA,potA,0.00048529587113304104,0.0001839127833882616,0.00014975252797852165
yehD,yehD,0.00048184900939890284,0.00039555124118212165,0.00025244839640667605
ybfL,ybfL,0.00047438395552584447,0.00016783785840312606,0.0001936288519030601
fhlA,fhlA,0.00046467357047887337,0.00013444179006450192,0.0005156068564486165
yfeC,yfeC,0.00046298643279768623,0.0012939349883853662,0.0033513365449302952
rhlB,rhlB,0.0004625739696629949,0.00012972922222588253,0.00036691298405451913
gadW,gadW,0.00046243262621082536,0.0014835484760039003,0.0022423262738563987
yadB,yadB,0.0004615443315861261,0.00011194418582404303,9.169972278624919e-05
yiiT,yiiT,0.000461199653957297,0.0002007859505157588,0.0007314563415676627
yjbI,yjbI,0.0004610578648147382,0.0008420624314288138,0.001973649822198802
maeB,maeB,0.0004534981594569135,0.0021711177741051413,0.007356114908127887
tynA,tynA,0.0004524511794700604,0.00023987742793060775,0.00030300440765485914
ybdR,ybdR,0.00045238797042614895,0.000855262906125675,0.004876963686403098
agaB,agaB,0.0004452702058226457,0.00010672237712482941,9.268712208996128e-05
ybiP,ybiP,0.0004440224814734187,0.00012877467126647498,9.79921673936064e-05
yagX,yagX,0.0004384278483706444,0.0008551971356167811,0.0006313184753959976
livJ,livJ,0.0004376868862610449,0.0005717651609448903,0.0008489144143740721
yeaM,yeaM,0.0004374270441247773,0.00015668190337391147,0.0003055845204196003
ftsH,ftsH,0.00043131502027783674,0.00043876415053350896,0.000641270017093481
LELOBEKK_tisB,tisB,0.000429982820507819,0.0005652808890227864,0.0006159287328204766
mukF,mukF,0.00042388883125923455,0.00016400388781251675,0.00020256064412851773
ydeT,ydeT,0.000420107824351705,0.0007516372627358384,0.0013134608235245682
