mode1_gene,mode1_loading,mode2_gene,mode2_loading,mode3_gene,mode3_loading,mode4_gene,mode4_loading,mode5_gene,mode5_loading
ydin,0.24127808340285817,mraz,-0.25036732184602384,essq,-0.281500548698715,cusf,0.2991474797251735,sgrr,0.31102379672580976
ybij,0.24127808340285817,emry,-0.25036732184602384,yehr,-0.2815005486987125,yhdz,0.2991474797251735,pdxj,0.31102379672580893
nird,0.24127808340285817,ddpf,-0.25036732184602384,glcf,-0.26694467875870653,lelobekk_fino,0.2991474797251735,prov,0.31102379672580893
yjep,0.24127808340285817,yeda,-0.25036732184602384,baes,-0.2633087885270445,yfap,0.2991474797251735,tqsa,0.31102379672580893
insd-2,0.24127808340285817,ygfi,-0.25036732184602384,ycjr,-0.2626933848221514,ydcd,0.2991474797251735,ytfg,0.31102379672580893
ydcp,0.24127808340285817,rpib,-0.25036732184602384,ydhb,-0.23462402227968956,yjhf,0.2991474797251735,acrf,0.3110237967258087
yoba,0.24127808340285817,kefb,-0.25036732184602384,ygfg,-0.23125122061162623,argk,0.2991474797251735,lit,0.25927214152806083
kdpa,0.24127808340285817,yjfj,-0.236026777467888,ypdb,-0.21616712921555556,yfax,0.2991474797251735,yjfk,0.18374031622853407
mutm,0.24127808340285817,ygcg,-0.22763172444257532,seta,-0.21228782992109754,yfbb,0.2991474797251735,yjjv,0.1816272546980932
dinj,0.24127808340285817,yiel,-0.21974111199464622,inso-2,-0.18078240999625947,teha,0.2991474797251735,araf,0.14309767146333885
glca,0.24127808340285817,yhjr,-0.20832966514889287,ribd,-0.16204104681204318,yjin,0.2991474797251735,alla,0.13090038871155774
alsk,0.24127808340285817,ydeh,-0.19761104602370072,yibd,-0.15554420115900786,glnl,0.0359924017654495,trph,0.1309003887115577
ssuc,0.24127808340285817,sapd,-0.19712436134824254,ybin,-0.1481640008710752,tag,0.035815489393241716,kdpd,0.1309003887115577
mdtc,0.24127808340285817,ydhw,-0.19469116066321168,hybo,-0.14787927522351182,yjfi,0.030819312167712713,kdpb,0.1309003887115577
yfci,0.24127808340285817,rna,-0.1777673728314621,nlpa,-0.14687597218996679,seqa,0.022398017481984417,gnsa,0.1309003887115577
yadi,0.24127808340285817,exur,-0.1683509223871226,ybfd,-0.13718638598201713,cyss,0.021986299975859516,dcub,0.1309003887115577
acps,0.24127808340285212,alsb,-0.13314041898404344,era,-0.1283607115379371,pdxb,0.01822658033484804,atob,0.1309003887115577
yodd,0.03008526868439003,racr,-0.13015716946390424,yebt,-0.12226725855290622,galf,0.01770553920756427,hisb,0.11719498885564429
nagc,0.02508381562527787,metc,-0.11674545680648811,yhip,-0.1181347725246939,pykf,0.017192385228090558,frur,0.1000213386508654
uxua,0.024438828100169504,tppb,-0.10537917010676828,sdia,-0.11186835929375169,ivbl,0.01710833083634968,yhav,0.09878191514999433
yqgf,0.023893426128237256,mety-3utr,-0.0995910937743107,arcb,-0.10899261316097832,bisc,0.01629069776186428,yfio,0.08007656040229794
yqjh,0.01815340060429569,leus,-0.09905101249279659,rfe,-0.10628044138013468,btue,0.015536451729919038,ybin,0.0718343841090565
paag,0.016800321067378242,cbl,-0.0987368432250493,hyaf,-0.10580424981405848,ygdi,0.015503343938830556,amph,0.06687824262917418
ycbg,0.016798222588836776,thru---thrtoperon,-0.09634043798083511,dnan,-0.10350770223785545,ftsz,0.01528246241796206,ymja,0.063521650143471
ptsp,0.0164949219353621,ydcq,-0.09562500601181298,yihs,-0.10153866423573213,xylg,0.013837202172600477,rfay,0.061209556910789276
slya,0.015688373933949843,puur,-0.09524995822030181,yjim,-0.10026284576757064,essq,-0.013143435366034548,ygjd,0.05894473677638022
ycim,0.015174681820278434,ghrb,-0.09379305574170468,yccs,-0.09753293550414825,yehr,-0.013143435366034437,rhlb,0.05618190740188463
flir,0.014726625628400498,held,-0.09205036100877657,kdta,-0.09381934914659984,dcus,0.012831595555635102,ycjw,0.053067246225453675
yfdg,0.014603115980672026,mukf,-0.09030930476467024,ylid,-0.09283188619197362,allr,0.01266348197832546,tgt,0.05256827983349585
djlb,0.014436013512648314,ykge,-0.08439593769082737,cybb,-0.09276873307481497,glcf,-0.012599990785786986,ycbz,0.052348408090021
