mode1_gene,mode1_loading,mode2_gene,mode2_loading,mode3_gene,mode3_loading,mode4_gene,mode4_loading,mode5_gene,mode5_loading
ygcJ,0.08695391409831421,fimD,-0.23487191658992876,intR,-0.11665168104079758,mdoH,-0.16399872099021548,alsB,0.1267520680781
fimD,0.08599718979651749,yaiL,-0.22650178927149173,fes,0.10494705941948772,yjhW,-0.15839193506857224,intR,0.12417113670464752
rplO,-0.08507255688331725,tbpA,-0.2029947414637594,hycB,-0.10444886892009592,yidA,-0.15311723659956844,evgS,0.11070365974327348
ihfA,-0.08312921864773674,yidA,-0.19395087828478574,yahC,0.1005334506015413,hokC,-0.14021827433097675,ydiO,0.11045944933057543
yqjC,-0.07781401684114747,citC,-0.18304473463780993,cobS,-0.09910295748983362,uspF,-0.12766295824342225,dcrB,0.10946648943011673
hipB,0.07762751931732674,ycgN,-0.16781114463522512,norV,0.09323022107844597,ytfE,-0.12032771724909158,eutG,0.10825256598241843
ydeT,0.07703581224661886,hipB,-0.16722165129053693,emtA,0.09166926914877575,yobF,-0.10990456094143339,murD,0.10505798075068938
rplL,-0.07671189991179826,yjeF,-0.13994532745632804,yccS,0.08843173931892812,aroH,-0.10141987157635672,cobS,0.10448094346287201
tetR,-0.07654431276738795,ompG,-0.13808120882997188,intD,0.08558409577378226,yfjX,-0.09894153857640398,aroD,0.10437524736452353
ybeQ,0.07620287165600015,dgoD,-0.1260469494060954,yfcJ,-0.08350465813920478,potD,-0.0950770742268159,intG,0.10138787060087465
yeeL,0.07618103837860217,yagL,-0.1260302862982645,puuC,-0.07849559829389635,ygcU,-0.09159708189741832,rstA,0.09770485279151331
ybdM,0.07335127761838463,fpr,-0.11866400573226653,ygaW,0.07810992976988299,yddK,-0.08792877890208005,rlmB,0.09564714323485914
hlyE,0.07319531732417887,yfjJ,-0.11309500816946454,ybdR,-0.07791253169478078,intR,-0.08546410914365851,ybdR,0.09429332340666984
yaiL,0.07292915718272444,fepB,-0.11111194546938058,yjfF,0.07724471969257866,yncC,-0.08131974252600549,hycB,0.09339553304034394
ugd,0.07277369274685692,ybbL,-0.10746404078775801,ypfE,0.07646655049903782,hdhA,-0.07805226497680798,yqaE,0.09044572948749834
sfcA,0.0723042785826038,yjgF,-0.10379713957079031,malP,-0.07640121624178864,yqhC,0.07598056717053336,puuC,0.08760980635862546
tbpA,0.07093860113701358,flgE,-0.09679136744327436,phoE,0.07636355286310842,yjiG,0.074454961893038,ebgA,0.08737531710138195
fusA,-0.07069623760807112,yihN,-0.09141346452813809,torS,0.07358001700607594,yghO,-0.07265199666836705,fadJ,0.08541977005960004
ddpA,0.07034447178033543,tatC,-0.09116093004792744,aroD,0.07305425248605597,nmpC,-0.07234390404767627,ybgQ,0.08176607362509186
phoE,0.06939315946994978,cmtB,-0.09034918054664999,emrY,-0.07176667448766859,ygbI,0.07155632808084336,yjcS,0.0791028698438216
fpr,0.06932299142553902,ybfQ,-0.09033497192474865,yfhR,0.06885007486595288,ydaE,-0.07084607582019495,ydjJ,-0.07830935761786219
ydeP,0.06915038799109334,yehU,-0.08987875313965922,chbF,-0.06839691472313407,metE,0.07075195278656553,ybeQ,-0.07765009422250009
rpoH,-0.06890673164135383,glmS,-0.08725912429917851,LELOBEKK_lacY,0.06726587286474633,lipB,-0.06844437014985834,lipB,-0.07605710999281987
wcaD,0.06840072984667316,pgm,-0.08567997266123038,LELOBEKK,0.06696417341300677,yfhM,0.06641948887123232,yjiG,0.07577108601459294
ycgN,0.0671596103499928,ugd,-0.08189608752500503,yqiH,-0.06682415544201062,smtA,0.06519026675478505,lit,0.07519898606987271
rpmC,-0.0669511662059972,sdaC,-0.08144488830554467,uidR,-0.06666867897227956,cobS,-0.06360857260508428,ydaE,-0.07391294932181533
hflX,-0.06659370568262457,gltB,-0.08142657572192977,folE,-0.06632848486627922,yccA,0.06341447794122405,btuD,0.0738838902796907
yehU,0.06622821871035091,yjhW,-0.08081920095314912,dinG,0.06554799759067662,fdoG,0.06252584250140977,ynhG,-0.07327123022236656
gapA,-0.06589268051794171,aspA,-0.07980801616932284,yjhC,0.06443471596461085,yfcG,-0.06183969902061005,ydeP,-0.07311731493613663
asmA,0.06547696052675527,yeaS,-0.07858960340198631,ybbL,0.06393316644168107,phoE,-0.06167391985447029,malP,0.07129900255071489
