mode1_gene,mode1_loading,mode2_gene,mode2_loading,mode3_gene,mode3_loading,mode4_gene,mode4_loading,mode5_gene,mode5_loading
rplQ,0.12371517431306085,nrdA,0.15537165121213214,intE,0.20709504983256752,yffI,-0.10260011468515055,folX,0.10936393770972164
rpoA,0.1078015825947022,yadS,0.15134372092912068,yjhE,0.20512743032765227,yjhE,0.10208851211473878,metI,0.10793356955315268
rplO,0.1062823708524952,xerC,0.14506371980112945,appB,0.1871793888948041,ydcH,-0.10046488607674327,gyrB,0.10472287680564384
rplA,0.10627333901312516,ybhT,0.14157219244707017,eutB,0.18195322065336583,tatC,-0.09989263381453282,rplK,-0.09838435061427388
rpsD,0.10201455033214474,hisG,0.12419780657864139,gcvP,0.18101321216279243,ygfB,-0.09030432558405771,tktB,0.09683674567443559
YFP,-0.0987326121211524,artJ,0.11563097295605508,ygaY,0.17766892941509796,appB,0.08798539517106944,LELOBEKK_sgrT,0.09617256507313933
rpsE,0.09758676952321552,yfaX,0.10853160409138632,hyaF,0.14429915019516804,yehU,-0.08649737664261616,dsbC,0.09418560865020481
fusA,0.09734223346392533,ldcC,0.1081846364107997,tap,0.1269433491640429,gcvP,0.08608383123249597,sufA,-0.09008091363448574
rplD,0.09414239466219863,hisQ,-0.10714674784118783,yegZ,0.1190747237958821,intE,0.08561018251904934,ytfE,0.0897280680296387
rpsQ,0.09117524976539994,cheZ,-0.10550817979205682,yohC,0.11217422640994848,ygaY,0.08186353590947722,ldcC,-0.08703938123880388
rpoD,0.08604761019575498,yebC,-0.1042323194528906,htrG,0.11060775435769875,fliA,-0.08165410079659763,yniB,0.08596279962459828
rpoH,0.08495099855750278,narP,0.10398025414492229,yraP,0.10230320348853861,spoT,-0.08051542534334175,yiaT,-0.08498280804080278
yqjC,0.08416657196073857,yahA,0.10134468074645553,yejH,0.09819569524978021,eutB,0.07504750721372133,tldD,-0.07889172338153477
crr,0.0826768061087412,yaeH,0.10048488590417069,bcsB,0.09659945250649866,hyaF,0.07498427910200228,metA,0.07865769152795361
rpmC,0.08057944555080278,elaC,-0.1000157320656782,paaE,0.09575249024539785,yiaT,-0.0749492193538668,dusB,-0.0785759120261776
rplC,0.07985304629337267,yafK,0.09648947032824752,fimA,0.07851038994714948,clcA,-0.07483892046327677,fliS,-0.0784141884628857
ihfA,0.07775198279406177,gatR,0.09268652704250353,kdsA,0.07587035362385203,yaiS,0.07452947397408698,torY,-0.07323026829311631
rrmJ,0.07705363323351613,abgR,-0.09134249443076026,gph,0.07434745998367412,paaG,-0.07450184686168641,yidE,-0.07267857524609413
rpsA,0.07674921538208175,elbA,-0.0888478154559096,iscA,0.0738645298358269,inaA,-0.07320656688981167,yiaD,-0.07145502395742762
motB,0.07555324007520314,sirA,-0.08841163288502364,glmM,0.07252640318587394,ybhI,-0.07318301081063051,pyrH,0.07138778750566747
rpsK,0.07461591726168666,wzc,-0.080055097870901,lpxP,0.07074408291824211,yegZ,0.07316056243929206,glnK,-0.0705244715413031
rplF,0.07405038780931224,yqiI,0.07860157097761722,ompG,0.07037287052211882,wza,0.07309240032145711,ybcS,0.07043580624822832
yrbL,0.07169939901864185,gcvR,0.0777636389530098,puuR,0.07033421246075805,yiaU,0.07262730874656301,ygjK,-0.06986559771916302
rplE,0.07138119654841435,gspM,-0.07727861300000047,ygcL,0.06858746965564796,pphA,0.07130335153824174,stfQ,0.06876485975810245
rplW,0.07132565276694966,xthA,-0.07700138400413212,surA,0.06845066502839414,yohC,0.07059103125057647,yeaL,-0.0679312810134198
rplI,0.07112457921936007,yfbQ,-0.07584074431617523,nikA,0.06682503374882107,yffR,0.06920126099592616,yjhA,-0.06756045250149442
cysN,0.07074526977844625,yggT,0.07539994415549477,flgL,0.06677694242274644,yqfA,-0.06820995750030076,ycgY,0.06733927516385939
gapA,0.07073864508931925,ydhR,-0.0750578662082375,yghO,0.0645482190578455,yedD,-0.0676311133793008,amn,-0.06720229119353474
rplL,0.06945089750736724,agaB,-0.07477126950520867,yhaK,-0.0635236174565133,yoaC,0.06467730762856969,cheZ,-0.06712719295852615
pspA,0.06935886100599764,frsA,-0.07452385179242245,purU,-0.06262645754323456,purF,0.06364078959271814,serB,0.06687333414560169
