mode1_gene,mode1_loading,mode2_gene,mode2_loading,mode3_gene,mode3_loading,mode4_gene,mode4_loading,mode5_gene,mode5_loading
tff,0.17021412770181515,ffs,0.14074816132518767,trpE,-0.16613322702244235,ybhN,-0.1912675002678756,fecC,-0.18492706324832997
tyrT,-0.16761840245128512,Unnamed: 1,0.13850783342519551,usg,-0.1529605626368446,acrE,-0.17001967075747487,trpE,0.12196287114259623
aspv,-0.15898325847759162,csrb,-0.11824715574061259,yhjC,-0.12761539527332164,nrdF,-0.1435707911814256,cobB,-0.11845843184199399
rrfB,-0.15142903462030619,tff,-0.10729556965595168,nadC,-0.11058244679624654,cspE,-0.13085425890880617,ynjD,-0.10666154063098818
ffs,0.1380057563728045,vapC,0.10036814997346648,fecC,-0.10558005773689219,ydgD,-0.1292879618288946,usg,0.10598416607399837
kanR,0.1289382781865395,thrU---thrToperon,-0.09842558625680536,yfdY,-0.09345821316635458,purF,-0.12527923085622977,yhhS,-0.10494655619616086
serV,-0.11725423288960331,yeeE,0.09436649380768125,dsbA,-0.08810738301462336,gatZ,-0.10984020448548643,yhjC,0.10111335013699085
rpsK,-0.11563578270775325,mgtA,0.09152374800590148,emtA,-0.08473180026391815,caiT,-0.10867871876518317,bioH,-0.10055626700718984
mCherry,0.11435806586560292,purA,0.08853794561573473,yqfE,-0.07979657665873088,ycjY,-0.10545926252216621,cbrA,-0.09540167448264472
alaw,-0.11342330790486253,trpE,0.08677011930332182,wzc,-0.07790916806895447,ydjK,-0.10309452647833044,nrdF,-0.09460121062973159
rplO,-0.11339588163838583,yhjC,0.08116259176458199,rpsK,-0.07627043497489565,dicC,-0.09978491120886297,yfdY,-0.09381702877302661
rpsD,-0.11263398598259029,atpA,0.0736928585428867,dinF,-0.07619974114683878,arsC,-0.09875204477099864,ybhN,-0.09173573575255005
csrb,0.11167162497710734,yfgL,0.07341060494852762,rpoA,-0.07403964284090392,basS,-0.0985315382756824,citB,-0.09078538394981255
rplC,-0.09910206367213122,usg,0.07326983381573093,ffs,0.07289989403974907,yjbF,-0.09686307029339018,nadC,-0.09038242500321828
rpoA,-0.09409037859305396,ibpA,0.07316563377225771,yafF,-0.07272645609352407,ssuC,-0.09305596307332813,gcvP,-0.08889609138045484
rplD,-0.08952796624176058,lysT--lysQoperon,0.07253696655897246,napC,-0.07177128206223773,yqjA,-0.09246956894616164,dsbA,-0.08676036325679035
rplW,-0.08027989867192425,tetR,-0.07195451721562177,rplD,-0.0682504259584369,xapA,-0.08922242185918516,cysG,-0.08519350382112553
rpsN,-0.07608418097615824,aceE,0.06964951517625767,yggG,-0.06813201325067224,argD,-0.08830961441841878,pstC,-0.0826365202393648
tetR,0.07501766734469076,modB,0.0695767427423634,rpsN,-0.06801639108582709,yggG,0.08639182344429554,yneH,-0.08168529126369702
vapC,0.07407691235597064,fis,0.06470882313250072,ygfY,-0.06645146707091212,argR,-0.08319467454886784,hisL,-0.07863951195607768
thrU---thrToperon,0.07300050991222197,flgK,0.06422885654332185,ygbL,-0.06610487030650156,xylR,-0.08278092407924831,yqfE,0.0743386558180535
trpE,0.0719179513107662,yaaH,0.06407831529325665,nuoA,-0.0658539184517521,trpE,-0.08187622039298768,dapA,-0.07413193410830708
speC,0.07173864053086797,clpA,0.06400863980253907,yieG,-0.0655585890972476,rsd,-0.08020359943258655,caiB,-0.07270136788138569
ydfK,0.07134694144156495,yfiP,0.06386228670230037,ybgQ,-0.06553060136404985,ompT,-0.07993429327076063,wzc,-0.0709920916372395
rpmC,-0.07134684666426361,hfq,0.06374134540370209,cdsA,-0.06548210692835277,fadJ,-0.07967135012803685,yebR,-0.0707330709691332
yhjC,0.07124954456135567,yibK,-0.06330875359250245,rpsD,-0.06512114195878897,yfdY,0.07750182097074297,ydgD,-0.07013773064024072
rplR,-0.06958934055329523,pheT,0.06295155083626967,ibpA,-0.06405316559606379,fecC,0.07721628317180862,wcaJ,-0.06902838238262758
rplL,-0.06705348546634116,nuoA,0.06268861124063566,perR,-0.06394446662410659,yceH,-0.07540351067617665,nuoA,0.0666758320935254
rplV,-0.06695020532027385,mCherry,0.06252074265267477,frdC,-0.06375602778141803,pheA,-0.07492255960385245,argR,-0.06640560175534568
rplN,-0.06492853690408772,fabF,0.06034775109433866,ynhG,-0.06326124773908047,yhcB,-0.07396060883977897,aspS,-0.06557067832419762
