mode1_gene,mode1_loading,mode2_gene,mode2_loading,mode3_gene,mode3_loading,mode4_gene,mode4_loading,mode5_gene,mode5_loading
tyrT,-0.14700937540677397,rrfB,0.2053502576141937,phnC,-0.08617190873768073,dgoK,0.08537165414389584,ycdZ,0.09749724480792518
rpsK,-0.12421920853801376,rpmC,-0.12585163913814187,tsgA,-0.08525959387317139,mokB,0.08447762874205636,phnC,0.09549084726523423
alaw,-0.12370496841771761,aspv,0.12440247456651855,yfaS,-0.07862670933141257,appY,-0.08210083973362996,yeeW,0.07241576295529908
rpsD,-0.12302811797441215,rpsD,-0.11144384982049835,npr,-0.07767692342007139,ydiM,0.07775386667204258,yoeF,0.07031889463854504
rplO,-0.12296950113714636,serV,0.10976535932360747,yjeE,-0.07272012280323803,thiM,0.07757041509623473,fabR,0.06779226640265275
rpoA,-0.11569334971433647,rplC,-0.10888052299888196,bssS,-0.06654773001451803,ybhB,0.07408360909462533,visC,0.06633500718932776
rpmC,-0.113380648767257,rplW,-0.10679694056933525,treR,-0.06554448030957716,yfeO,-0.07211975213577547,yehY,0.06557950988411013
aspv,-0.11256967119311904,rplF,-0.10601999298827224,parE,0.06545364771449728,yddM,0.06999175458512777,yihM,-0.06535589375978786
rplC,-0.11188821430556735,rpsN,-0.10488107461643308,rpoH,-0.06528304390866717,folP,0.06811497063918151,yjhD,-0.06511100394776514
tff,0.11159356928232465,rpoA,-0.10431984490966514,ydcQ,0.06257275662444604,insE-4,-0.06778781303881697,wcaE,0.06353194973811795
rplL,-0.10969862735067014,rplL,-0.0998336372210556,kch,0.06182924131230833,fbp,-0.06739342946611503,srlE,-0.06331770447077656
rrfB,-0.10767916607901201,alaw,0.09903104208595036,yddM,-0.06173281701174442,yrhA,-0.0666450406217187,mhpC,-0.0631481452309911
rplD,-0.10384226599325773,rpsK,-0.09681624720855041,yidX,0.06100421320880149,yfeY,-0.06603413279034377,yfeY,0.061985146300124874
thrU---thrToperon,0.1023840596079206,rplO,-0.09569654106966877,recE,-0.06050747079650664,nudB,-0.06577113541389372,yfdP,-0.06198302597415886
rplW,-0.09958512721618511,rplN,-0.09476311772375938,fhuD,-0.06027023415763815,prpR,0.06501304412458195,rpmA,0.06152030476806865
rpsN,-0.0961161296216744,rplD,-0.09437047824226484,yihP,0.05983062180348382,elaA,-0.06261938870813041,yeaM,0.06041101258896903
tetR,0.09597558040068359,rpsE,-0.09256146275394633,manA,0.05929823576656226,hemB,-0.06247386674807916,rpiB,0.06032738471200313
rpsA,-0.09489649205281446,rplE,-0.09192343933249689,pin,0.05923203393078216,yadS,0.06161175038109775,bcr,0.05867757682220281
serV,-0.09308071883090127,rpsA,-0.09049593220713949,yjgP,0.05913920909291208,gpmA,0.06160296902482697,dapF,-0.057773762456467544
rplR,-0.09307526966577394,rplA,-0.08906343902071868,yfeU,-0.058566741125071035,sufC,-0.061569046506747244,ygdQ,0.05759830797615066
csrb,0.08908419758352126,rpoB,-0.08771864648538678,idi,-0.05847005360958395,xylG,0.06131289529501027,yidI,0.05759764934242697
rplF,-0.0873829139504683,Unnamed: 1,-0.08758188067105646,yjiY,-0.05835244920474239,gcvH,-0.06099602553021924,slyD,-0.05753154240945992
rpsE,-0.08631172202641942,rplR,-0.08483563453616169,ybiX,-0.057554069158596184,rarD,-0.06044590574314964,phoU,0.057521382615225866
rplE,-0.08309696854008229,rplJ,-0.08366035026104118,entF,-0.05750325508466571,ilvC,0.060099953344741996,fimE,-0.057520887631391335
rplJ,-0.08068373828844719,fusA,-0.08161125057727564,yijP,0.057364119196661706,yiiR,-0.05980993020196448,insE-4,-0.0574011807145457
rplV,-0.07766402832683711,nusG,-0.08064863474495555,hcaD,-0.05710138875171692,fruR,0.0596728985215075,idnD,-0.0573053745379554
rplN,-0.07538493840990984,rplX,-0.07673618817061448,yafO,0.05709978041773332,yqeK,-0.05949844993718541,ybdB,-0.056971230155640325
rpmD,-0.0751479410355545,rpsC,-0.0758909125234592,hsdM,-0.057056386174342194,livJ,-0.059427706876759856,leuO,-0.056771425605696334
rplA,-0.07206469962229418,tff,-0.07438247872481625,ompA,0.056871473528805644,aes,0.059295748502037504,yjcH,0.05637387222703048
secY,-0.07186816925579766,tyrT,0.0721945662476405,yheO,-0.05664575828049707,focB,0.058363795072857966,rplU,0.056345571169707745
